onset	duration	accuracy	trial_type	learning_stage	stimulus
21.131	0.708	correct	learning	LS1	learning/PICTURE_23.jpg
25.747	0.616	incorrect	learning	LS1	learning/PICTURE_235.jpg
30.38	0.794	correct	learning	LS1	learning/PICTURE_297.jpg
34.996	0.894	correct	learning	LS1	learning/PICTURE_235.jpg
39.612	0.754	correct	learning	LS1	learning/PICTURE_297.jpg
44.228	0.87	incorrect	learning	LS1	learning/PICTURE_720.jpg
48.827	0.891	correct	learning	LS1	learning/PICTURE_746.jpg
53.427	1.152	correct	learning	LS1	learning/PICTURE_720.jpg
58.01	0.806	correct	learning	LS1	learning/PICTURE_23.jpg
62.592	0.971	correct	learning	LS1	learning/PICTURE_746.jpg
71.691	0.729	correct	learning	LS2	learning/PICTURE_235.jpg
76.274	0.638	correct	learning	LS2	learning/PICTURE_746.jpg
80.856	1.188	incorrect	learning	LS2	learning/PICTURE_235.jpg
85.439	0.729	correct	learning	LS2	learning/PICTURE_720.jpg
90.005	0.879	correct	learning	LS2	learning/PICTURE_746.jpg
94.571	0.71	correct	learning	LS2	learning/PICTURE_297.jpg
99.138	0.843	correct	learning	LS2	learning/PICTURE_23.jpg
103.72	0.817	correct	learning	LS2	learning/PICTURE_297.jpg
108.303	0.742	correct	learning	LS2	learning/PICTURE_720.jpg
112.869	0.716	correct	learning	LS2	learning/PICTURE_23.jpg
121.951	0.715	correct	learning	LS3	learning/PICTURE_297.jpg
126.534	0.8	correct	learning	LS3	learning/PICTURE_235.jpg
131.1	0.678	correct	learning	LS3	learning/PICTURE_746.jpg
135.716	0.603	correct	learning	LS3	learning/PICTURE_23.jpg
140.332	0.671	incorrect	learning	LS3	learning/PICTURE_297.jpg
144.948	0.738	correct	learning	LS3	learning/PICTURE_746.jpg
149.564	0.871	correct	learning	LS3	learning/PICTURE_720.jpg
154.18	0.859	correct	learning	LS3	learning/PICTURE_23.jpg
158.78	0.768	correct	learning	LS3	learning/PICTURE_720.jpg
163.379	0.82	correct	learning	LS3	learning/PICTURE_235.jpg
172.478	0.722	correct	learning	LS4	learning/PICTURE_23.jpg
177.061	0.903	correct	learning	LS4	learning/PICTURE_297.jpg
181.643	0.621	correct	learning	LS4	learning/PICTURE_746.jpg
186.226	0.642	correct	learning	LS4	learning/PICTURE_235.jpg
190.809	0.696	correct	learning	LS4	learning/PICTURE_720.jpg
195.392	0.605	correct	learning	LS4	learning/PICTURE_297.jpg
199.958	0.659	correct	learning	LS4	learning/PICTURE_23.jpg
204.524	0.761	correct	learning	LS4	learning/PICTURE_720.jpg
209.09	0.688	correct	learning	LS4	learning/PICTURE_235.jpg
213.656	0.646	correct	learning	LS4	learning/PICTURE_746.jpg
240.819	0.868	correct	learning	LS1	learning/PICTURE_576.jpg
245.402	0.666	incorrect	learning	LS1	learning/PICTURE_581.jpg
250.018	0.989	correct	learning	LS1	learning/PICTURE_52.jpg
254.634	0.85	correct	learning	LS1	learning/PICTURE_605.jpg
259.25	0.806	correct	learning	LS1	learning/PICTURE_581.jpg
263.866	0.874	correct	learning	LS1	learning/PICTURE_594.jpg
268.466	1.007	correct	learning	LS1	learning/PICTURE_605.jpg
273.065	0.996	correct	learning	LS1	learning/PICTURE_594.jpg
277.664	1.017	correct	learning	LS1	learning/PICTURE_52.jpg
282.247	0.895	correct	learning	LS1	learning/PICTURE_576.jpg
291.346	0.797	correct	learning	LS2	learning/PICTURE_576.jpg
295.929	0.819	correct	learning	LS2	learning/PICTURE_594.jpg
300.511	0.616	correct	learning	LS2	learning/PICTURE_581.jpg
305.094	0.702	correct	learning	LS2	learning/PICTURE_605.jpg
309.677	0.739	correct	learning	LS2	learning/PICTURE_576.jpg
314.243	0.713	correct	learning	LS2	learning/PICTURE_52.jpg
318.826	0.782	correct	learning	LS2	learning/PICTURE_581.jpg
323.392	0.804	correct	learning	LS2	learning/PICTURE_594.jpg
327.974	0.73	correct	learning	LS2	learning/PICTURE_52.jpg
332.557	0.704	correct	learning	LS2	learning/PICTURE_605.jpg
