onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
0.000	9.395	incorrect	learning	LS1	PICTURE_610.jpg	i	false alarm
9.395	10.262	incorrect	learning	LS1	PICTURE_43.jpg	i	false alarm
19.657	7.930	incorrect	learning	LS1	PICTURE_599.jpg	i	false alarm
27.587	8.963	incorrect	learning	LS1	PICTURE_247.jpg	i	false alarm
36.550	12.874	incorrect	learning	LS1	PICTURE_741.jpg	i	false alarm
49.424	24.144	correct	learning	LS1	PICTURE_247.jpg	c	hit
73.568	10.943	correct	learning	LS1	PICTURE_741.jpg	c	hit
84.511	14.056	correct	learning	LS1	PICTURE_43.jpg	c	hit
98.567	13.497	correct	learning	LS1	PICTURE_599.jpg	c	hit
112.064	12.450	correct	learning	LS1	PICTURE_610.jpg	c	hit
124.514	8.793	correct	learning	LS2	PICTURE_43.jpg	c	hit
133.307	12.392	correct	learning	LS2	PICTURE_741.jpg	i	correct rejection
145.699	13.426	incorrect	learning	LS2	PICTURE_247.jpg	i	false alarm
159.125	18.785	incorrect	learning	LS2	PICTURE_599.jpg	i	false alarm
177.910	10.870	correct	learning	LS2	PICTURE_741.jpg	c	hit
188.780	11.430	correct	learning	LS2	PICTURE_599.jpg	c	hit
200.210	22.380	incorrect	learning	LS2	PICTURE_43.jpg	i	false alarm
222.590	14.303	correct	learning	LS2	PICTURE_610.jpg	i	correct rejection
236.893	9.426	correct	learning	LS2	PICTURE_247.jpg	c	hit
246.319	11.085	correct	learning	LS2	PICTURE_610.jpg	c	hit
257.404	7.080	correct	learning	LS3	PICTURE_599.jpg	c	hit
264.484	10.660	correct	learning	LS3	PICTURE_247.jpg	i	correct rejection
275.144	9.921	correct	learning	LS3	PICTURE_599.jpg	i	correct rejection
285.065	6.629	correct	learning	LS3	PICTURE_247.jpg	c	hit
291.694	12.773	incorrect	learning	LS3	PICTURE_741.jpg	i	false alarm
304.467	9.648	correct	learning	LS3	PICTURE_43.jpg	i	correct rejection
314.115	10.361	correct	learning	LS3	PICTURE_610.jpg	i	correct rejection
324.476	12.195	correct	learning	LS3	PICTURE_43.jpg	c	hit
336.671	9.230	correct	learning	LS3	PICTURE_610.jpg	c	hit
345.901	10.583	correct	learning	LS3	PICTURE_741.jpg	c	hit
356.484	7.081	correct	learning	LS4	PICTURE_43.jpg	c	hit
363.565	9.881	correct	learning	LS4	PICTURE_741.jpg	c	hit
373.446	7.396	correct	learning	LS4	PICTURE_610.jpg	i	correct rejection
380.842	8.915	correct	learning	LS4	PICTURE_599.jpg	c	hit
389.757	8.836	correct	learning	LS4	PICTURE_247.jpg	c	hit
398.593	13.395	incorrect	learning	LS4	PICTURE_741.jpg	i	false alarm
411.988	8.672	incorrect	learning	LS4	PICTURE_247.jpg	i	false alarm
420.660	12.110	correct	learning	LS4	PICTURE_43.jpg	i	correct rejection
432.770	8.032	correct	learning	LS4	PICTURE_610.jpg	c	hit
440.802	14.023	correct	learning	LS4	PICTURE_599.jpg	i	correct rejection
454.825	11.365	correct	learning	LS1	PICTURE_594.jpg	c	hit
466.190	8.388	correct	learning	LS1	PICTURE_52.jpg	c	hit
474.578	8.134	incorrect	learning	LS1	PICTURE_576.jpg	i	false alarm
482.712	10.601	incorrect	learning	LS1	PICTURE_581.jpg	i	false alarm
493.313	9.876	correct	learning	LS1	PICTURE_605.jpg	c	hit
503.189	11.709	correct	learning	LS1	PICTURE_581.jpg	c	hit
514.898	11.143	incorrect	learning	LS1	PICTURE_605.jpg	i	false alarm
526.041	11.537	correct	learning	LS1	PICTURE_594.jpg	i	correct rejection
537.578	16.090	correct	learning	LS1	PICTURE_576.jpg	c	hit
553.668	11.046	incorrect	learning	LS1	PICTURE_52.jpg	i	false alarm
564.714	16.665	incorrect	learning	LS2	PICTURE_605.jpg	i	false alarm
581.379	8.429	correct	learning	LS2	PICTURE_52.jpg	c	hit
589.808	16.179	correct	learning	LS2	PICTURE_605.jpg	c	hit
605.987	8.583	incorrect	learning	LS2	PICTURE_576.jpg	i	false alarm
614.570	10.742	correct	learning	LS2	PICTURE_594.jpg	c	hit
625.312	8.744	incorrect	learning	LS2	PICTURE_581.jpg	i	false alarm
634.056	10.417	correct	learning	LS2	PICTURE_52.jpg	i	correct rejection
644.473	16.575	correct	learning	LS2	PICTURE_576.jpg	c	hit
661.048	15.216	correct	learning	LS2	PICTURE_581.jpg	c	hit
676.264	9.853	correct	learning	LS2	PICTURE_594.jpg	i	correct rejection
686.117	14.325	incorrect	learning	LS3	PICTURE_581.jpg	i	false alarm
700.442	7.349	correct	learning	LS3	PICTURE_605.jpg	c	hit
707.791	11.722	correct	learning	LS3	PICTURE_581.jpg	c	hit
719.513	7.782	correct	learning	LS3	PICTURE_594.jpg	c	hit
727.295	9.129	incorrect	learning	LS3	PICTURE_52.jpg	i	false alarm
736.424	8.876	incorrect	learning	LS3	PICTURE_605.jpg	i	false alarm
745.300	7.991	correct	learning	LS3	PICTURE_576.jpg	c	hit
753.291	9.824	correct	learning	LS3	PICTURE_594.jpg	i	correct rejection
763.115	8.299	incorrect	learning	LS3	PICTURE_576.jpg	i	false alarm
771.414	7.734	correct	learning	LS3	PICTURE_52.jpg	c	hit
779.148	12.707	correct	learning	LS4	PICTURE_605.jpg	i	correct rejection
791.855	10.062	correct	learning	LS4	PICTURE_576.jpg	i	correct rejection
801.917	11.423	correct	learning	LS4	PICTURE_52.jpg	i	correct rejection
813.340	14.701	correct	learning	LS4	PICTURE_581.jpg	c	hit
828.041	9.344	correct	learning	LS4	PICTURE_576.jpg	c	hit
837.385	10.537	correct	learning	LS4	PICTURE_52.jpg	c	hit
847.922	9.497	correct	learning	LS4	PICTURE_581.jpg	i	correct rejection
857.419	8.459	correct	learning	LS4	PICTURE_594.jpg	c	hit
865.878	16.850	correct	learning	LS4	PICTURE_605.jpg	c	hit
882.728	7.335	correct	learning	LS4	PICTURE_594.jpg	i	correct rejection
890.063	9.332	correct	control	LS1	PICTURE_718.jpg	c	hit
899.395	8.434	correct	control	LS1	PICTURE_2.jpg	i	correct rejection
907.829	10.894	correct	control	LS1	PICTURE_292.jpg	c	hit
918.723	6.484	correct	control	LS1	PICTURE_430.jpg	c	hit
925.207	8.470	correct	control	LS1	PICTURE_718.jpg	i	correct rejection
933.677	11.422	correct	control	LS1	PICTURE_286.jpg	i	correct rejection
945.099	6.858	incorrect	control	LS1	PICTURE_430.jpg	i	false alarm
951.957	10.610	correct	control	LS1	PICTURE_292.jpg	i	correct rejection
