onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
0.000	13.327	13327.0	learning	LS1	PICTURE_358.jpg	c	n/a
13.327	14.135	14135.0	learning	LS1	PICTURE_165.jpg	c	n/a
27.462	16.546	16546.0	learning	LS1	PICTURE_453.jpg	c	n/a
44.008	15.598	15598.0	learning	LS1	PICTURE_202.jpg	i	n/a
59.606	10.971	10971.0	learning	LS1	PICTURE_148.jpg	i	n/a
70.577	21.376	21376.0	learning	LS1	PICTURE_165.jpg	i	n/a
91.953	n/a	n/a	learning	LS1	PICTURE_148.jpg	c	n/a
116.953	14.207	14207.0	learning	LS1	PICTURE_358.jpg	i	n/a
131.160	10.542	10542.0	learning	LS1	PICTURE_453.jpg	i	n/a
141.702	11.197	11197.0	learning	LS1	PICTURE_202.jpg	c	n/a
152.899	14.121	14121.0	learning	LS2	PICTURE_165.jpg	i	n/a
167.020	8.859	8859.0	learning	LS2	PICTURE_358.jpg	c	n/a
175.879	8.072	8072.0	learning	LS2	PICTURE_453.jpg	c	n/a
183.951	14.955	14955.0	learning	LS2	PICTURE_148.jpg	c	n/a
198.906	15.443	15443.0	learning	LS2	PICTURE_358.jpg	i	n/a
214.349	13.858	13858.0	learning	LS2	PICTURE_202.jpg	c	n/a
228.207	12.115	12115.0	learning	LS2	PICTURE_148.jpg	i	n/a
240.322	16.444	16444.0	learning	LS2	PICTURE_202.jpg	i	n/a
256.766	11.657	11657.0	learning	LS2	PICTURE_165.jpg	c	n/a
268.423	10.713	10713.0	learning	LS2	PICTURE_453.jpg	i	n/a
279.136	13.795	13795.0	learning	LS3	PICTURE_202.jpg	c	n/a
292.931	9.649	9649.0	learning	LS3	PICTURE_148.jpg	i	n/a
302.580	7.424	7424.0	learning	LS3	PICTURE_453.jpg	c	n/a
310.004	5.999	5999.0	learning	LS3	PICTURE_358.jpg	c	n/a
316.003	7.770	7770.0	learning	LS3	PICTURE_165.jpg	i	n/a
323.773	9.380	9380.0	learning	LS3	PICTURE_148.jpg	c	n/a
333.153	10.667	10667.0	learning	LS3	PICTURE_165.jpg	c	n/a
343.820	8.918	8918.0	learning	LS3	PICTURE_202.jpg	i	n/a
352.738	9.250	9250.0	learning	LS3	PICTURE_453.jpg	i	n/a
361.988	7.504	7504.0	learning	LS3	PICTURE_358.jpg	i	n/a
369.492	7.871	7871.0	learning	LS4	PICTURE_148.jpg	c	n/a
377.363	10.123	10123.0	learning	LS4	PICTURE_165.jpg	i	n/a
387.486	11.414	11414.0	learning	LS4	PICTURE_148.jpg	i	n/a
398.900	7.429	7429.0	learning	LS4	PICTURE_453.jpg	c	n/a
406.329	10.800	10800.0	learning	LS4	PICTURE_202.jpg	c	n/a
417.129	9.209	9209.0	learning	LS4	PICTURE_358.jpg	i	n/a
426.338	6.184	6184.0	learning	LS4	PICTURE_453.jpg	i	n/a
432.522	8.751	8751.0	learning	LS4	PICTURE_202.jpg	i	n/a
441.273	7.646	7646.0	learning	LS4	PICTURE_358.jpg	c	n/a
448.919	10.528	10528.0	learning	LS4	PICTURE_165.jpg	c	n/a
459.447	13.752	13752.0	control	LS1	PICTURE_338.jpg	i	n/a
473.199	8.972	8972.0	control	LS1	PICTURE_255.jpg	c	n/a
482.171	7.227	7227.0	control	LS1	PICTURE_368.jpg	c	n/a
489.398	6.760	6760.0	control	LS1	PICTURE_391.jpg	c	n/a
496.158	6.130	6130.0	control	LS1	PICTURE_398.jpg	c	n/a
502.288	8.218	8218.0	control	LS1	PICTURE_368.jpg	i	n/a
510.506	7.271	7271.0	control	LS1	PICTURE_398.jpg	i	n/a
517.777	8.559	8559.0	control	LS1	PICTURE_391.jpg	i	n/a
526.336	6.972	6972.0	control	LS1	PICTURE_255.jpg	i	n/a
533.308	7.141	7141.0	control	LS1	PICTURE_338.jpg	c	n/a
540.449	8.459	8459.0	control	LS2	PICTURE_338.jpg	i	n/a
548.908	6.392	6392.0	control	LS2	PICTURE_391.jpg	c	n/a
555.300	7.365	7365.0	control	LS2	PICTURE_398.jpg	i	n/a
562.665	6.255	6255.0	control	LS2	PICTURE_255.jpg	c	n/a
568.920	5.946	5946.0	control	LS2	PICTURE_398.jpg	c	n/a
574.866	6.116	6116.0	control	LS2	PICTURE_368.jpg	c	n/a
580.982	6.768	6768.0	control	LS2	PICTURE_255.jpg	i	n/a
587.750	6.618	6618.0	control	LS2	PICTURE_368.jpg	i	n/a
594.368	7.589	7589.0	control	LS2	PICTURE_391.jpg	i	n/a
601.957	7.284	7284.0	control	LS2	PICTURE_338.jpg	c	n/a
609.241	8.124	8124.0	control	LS3	PICTURE_19.jpg	c	n/a
617.365	8.135	8135.0	control	LS3	PICTURE_185.jpg	c	n/a
625.500	5.912	5912.0	control	LS3	PICTURE_551.jpg	c	n/a
631.412	5.765	5765.0	control	LS3	PICTURE_708.jpg	c	n/a
637.177	7.054	7054.0	control	LS3	PICTURE_551.jpg	i	n/a
644.231	6.905	6905.0	control	LS3	PICTURE_19.jpg	i	n/a
651.136	6.274	6274.0	control	LS3	PICTURE_185.jpg	i	n/a
657.410	7.085	7085.0	control	LS3	PICTURE_343.jpg	c	n/a
664.495	6.775	6775.0	control	LS3	PICTURE_708.jpg	i	n/a
671.270	6.465	6465.0	control	LS3	PICTURE_343.jpg	i	n/a
677.735	11.624	11624.0	control	LS4	PICTURE_551.jpg	c	n/a
689.359	6.358	6358.0	control	LS4	PICTURE_708.jpg	i	n/a
695.717	6.370	6370.0	control	LS4	PICTURE_19.jpg	i	n/a
702.087	6.698	6698.0	control	LS4	PICTURE_551.jpg	i	n/a
708.785	8.149	8149.0	control	LS4	PICTURE_185.jpg	i	n/a
716.934	6.880	6880.0	control	LS4	PICTURE_343.jpg	c	n/a
723.814	7.213	7213.0	control	LS4	PICTURE_19.jpg	c	n/a
731.027	8.024	8024.0	control	LS4	PICTURE_708.jpg	c	n/a
739.051	7.078	7078.0	control	LS4	PICTURE_185.jpg	c	n/a
746.129	8.048	8048.0	control	LS4	PICTURE_343.jpg	i	n/a
754.177	11.264	11264.0	learning	LS1	PICTURE_26.jpg	c	n/a
765.441	6.480	6480.0	learning	LS1	PICTURE_212.jpg	i	n/a
771.921	13.206	13206.0	learning	LS1	PICTURE_659.jpg	c	n/a
785.127	11.136	11136.0	learning	LS1	PICTURE_212.jpg	c	n/a
796.263	11.786	11786.0	learning	LS1	PICTURE_38.jpg	c	n/a
808.049	10.039	10039.0	learning	LS1	PICTURE_654.jpg	i	n/a
818.088	15.800	15800.0	learning	LS1	PICTURE_659.jpg	i	n/a
833.888	16.610	16610.0	learning	LS1	PICTURE_38.jpg	i	n/a
850.498	13.581	13581.0	learning	LS1	PICTURE_26.jpg	i	n/a
864.079	13.910	13910.0	learning	LS1	PICTURE_654.jpg	c	n/a
877.989	12.033	12033.0	learning	LS2	PICTURE_659.jpg	i	n/a
890.022	8.845	8845.0	learning	LS2	PICTURE_654.jpg	i	n/a
898.867	12.848	12848.0	learning	LS2	PICTURE_659.jpg	c	n/a
911.715	11.261	11261.0	learning	LS2	PICTURE_26.jpg	c	n/a
922.976	15.111	15111.0	learning	LS2	PICTURE_212.jpg	i	n/a
938.087	7.772	7772.0	learning	LS2	PICTURE_654.jpg	c	n/a
945.859	8.423	8423.0	learning	LS2	PICTURE_26.jpg	i	n/a
