onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
0.000	12.782	incorrect	learning	LS1	PICTURE_216.jpg	i	false alarm
12.782	11.994	incorrect	learning	LS1	PICTURE_703.jpg	i	false alarm
24.776	11.690	correct	learning	LS1	PICTURE_220.jpg	c	hit
36.466	13.135	correct	learning	LS1	PICTURE_695.jpg	c	hit
49.601	13.149	correct	learning	LS1	PICTURE_53.jpg	c	hit
62.750	15.877	correct	learning	LS1	PICTURE_220.jpg	i	correct rejection
78.627	11.733	correct	learning	LS1	PICTURE_703.jpg	c	hit
90.360	9.985	correct	learning	LS1	PICTURE_216.jpg	c	hit
100.345	8.243	correct	learning	LS1	PICTURE_53.jpg	i	correct rejection
108.588	10.649	correct	learning	LS1	PICTURE_695.jpg	i	correct rejection
119.237	7.818	correct	learning	LS2	PICTURE_695.jpg	c	hit
127.055	6.870	correct	learning	LS2	PICTURE_53.jpg	i	correct rejection
133.925	8.001	correct	learning	LS2	PICTURE_216.jpg	i	correct rejection
141.926	10.569	correct	learning	LS2	PICTURE_703.jpg	i	correct rejection
152.495	14.580	correct	learning	LS2	PICTURE_220.jpg	c	hit
167.075	8.681	correct	learning	LS2	PICTURE_53.jpg	c	hit
175.756	13.971	correct	learning	LS2	PICTURE_703.jpg	c	hit
189.727	9.349	correct	learning	LS2	PICTURE_695.jpg	i	correct rejection
199.076	6.958	correct	learning	LS2	PICTURE_216.jpg	c	hit
206.034	8.089	correct	learning	LS2	PICTURE_220.jpg	i	correct rejection
214.123	8.766	correct	learning	LS3	PICTURE_53.jpg	c	hit
222.889	8.620	correct	learning	LS3	PICTURE_216.jpg	c	hit
231.509	7.355	correct	learning	LS3	PICTURE_695.jpg	i	correct rejection
238.864	8.003	correct	learning	LS3	PICTURE_216.jpg	i	correct rejection
246.867	8.011	correct	learning	LS3	PICTURE_220.jpg	i	correct rejection
254.878	10.422	correct	learning	LS3	PICTURE_53.jpg	i	correct rejection
265.300	9.312	correct	learning	LS3	PICTURE_703.jpg	i	correct rejection
274.612	9.483	correct	learning	LS3	PICTURE_220.jpg	c	hit
284.095	8.376	correct	learning	LS3	PICTURE_703.jpg	c	hit
292.471	20.533	correct	learning	LS3	PICTURE_695.jpg	c	hit
313.004	10.829	correct	learning	LS4	PICTURE_703.jpg	i	correct rejection
323.833	6.047	correct	learning	LS4	PICTURE_216.jpg	c	hit
329.880	7.653	correct	learning	LS4	PICTURE_220.jpg	c	hit
337.533	8.623	correct	learning	LS4	PICTURE_53.jpg	i	correct rejection
