onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
0.000	19.922	19922.0	learning	LS1	PICTURE_480.jpg	i	n/a
19.922	16.733	16733.0	learning	LS1	PICTURE_15.jpg	i	n/a
36.655	11.946	11946.0	learning	LS1	PICTURE_488.jpg	i	n/a
48.601	10.509	10509.0	learning	LS1	PICTURE_508.jpg	i	n/a
59.110	11.477	11477.0	learning	LS1	PICTURE_488.jpg	c	n/a
70.587	11.166	11166.0	learning	LS1	PICTURE_95.jpg	c	n/a
81.753	11.975	11975.0	learning	LS1	PICTURE_15.jpg	c	n/a
93.728	8.947	8947.0	learning	LS1	PICTURE_480.jpg	c	n/a
102.675	9.918	9918.0	learning	LS1	PICTURE_508.jpg	c	n/a
112.593	13.278	13278.0	learning	LS1	PICTURE_95.jpg	i	n/a
125.871	9.639	9639.0	learning	LS2	PICTURE_480.jpg	i	n/a
135.510	8.209	8209.0	learning	LS2	PICTURE_508.jpg	c	n/a
143.719	9.177	9177.0	learning	LS2	PICTURE_15.jpg	i	n/a
152.896	8.226	8226.0	learning	LS2	PICTURE_95.jpg	i	n/a
161.122	8.234	8234.0	learning	LS2	PICTURE_508.jpg	i	n/a
169.356	9.837	9837.0	learning	LS2	PICTURE_480.jpg	c	n/a
179.193	9.047	9047.0	learning	LS2	PICTURE_95.jpg	c	n/a
188.240	11.296	11296.0	learning	LS2	PICTURE_488.jpg	c	n/a
199.536	8.265	8265.0	learning	LS2	PICTURE_15.jpg	c	n/a
207.801	19.781	19781.0	learning	LS2	PICTURE_488.jpg	i	n/a
227.582	8.315	8315.0	learning	LS3	PICTURE_508.jpg	c	n/a
235.897	7.844	7844.0	learning	LS3	PICTURE_15.jpg	i	n/a
243.741	7.692	7692.0	learning	LS3	PICTURE_480.jpg	i	n/a
251.433	7.382	7382.0	learning	LS3	PICTURE_488.jpg	i	n/a
258.815	6.910	6910.0	learning	LS3	PICTURE_95.jpg	c	n/a
265.725	6.755	6755.0	learning	LS3	PICTURE_15.jpg	c	n/a
272.480	7.721	7721.0	learning	LS3	PICTURE_480.jpg	c	n/a
280.201	7.567	7567.0	learning	LS3	PICTURE_488.jpg	c	n/a
287.768	6.936	6936.0	learning	LS3	PICTURE_95.jpg	i	n/a
294.704	8.543	8543.0	learning	LS3	PICTURE_508.jpg	i	n/a
303.247	8.578	8578.0	learning	LS4	PICTURE_480.jpg	c	n/a
311.825	7.948	7948.0	learning	LS4	PICTURE_95.jpg	c	n/a
319.773	8.434	8434.0	learning	LS4	PICTURE_508.jpg	c	n/a
328.207	7.804	7804.0	learning	LS4	PICTURE_488.jpg	i	n/a
336.011	7.333	7333.0	learning	LS4	PICTURE_95.jpg	i	n/a
343.344	9.738	9738.0	learning	LS4	PICTURE_480.jpg	i	n/a
353.082	6.711	6711.0	learning	LS4	PICTURE_15.jpg	i	n/a
359.793	11.672	11672.0	learning	LS4	PICTURE_508.jpg	i	n/a
371.465	8.644	8644.0	learning	LS4	PICTURE_488.jpg	c	n/a
380.109	7.214	7214.0	learning	LS4	PICTURE_15.jpg	c	n/a
387.323	9.306	9306.0	control	LS1	PICTURE_286.jpg	i	n/a
396.629	8.836	8836.0	control	LS1	PICTURE_292.jpg	c	n/a
405.465	9.962	9962.0	control	LS1	PICTURE_430.jpg	i	n/a
415.427	8.215	8215.0	control	LS1	PICTURE_718.jpg	i	n/a
