onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
0.000	19.922	0	learning	LS1	PICTURE_480.jpg	i
19.922	16.733	1	learning	LS1	PICTURE_15.jpg	i
36.655	11.946	0	learning	LS1	PICTURE_488.jpg	i
48.601	10.509	0	learning	LS1	PICTURE_508.jpg	i
59.110	11.477	1	learning	LS1	PICTURE_488.jpg	c
70.587	11.166	1	learning	LS1	PICTURE_95.jpg	c
81.753	11.975	1	learning	LS1	PICTURE_15.jpg	c
93.728	8.947	1	learning	LS1	PICTURE_480.jpg	c
102.675	9.918	1	learning	LS1	PICTURE_508.jpg	c
112.593	13.278	1	learning	LS1	PICTURE_95.jpg	i
125.871	9.639	1	learning	LS2	PICTURE_480.jpg	i
135.510	8.209	1	learning	LS2	PICTURE_508.jpg	c
143.719	9.177	1	learning	LS2	PICTURE_15.jpg	i
152.896	8.226	1	learning	LS2	PICTURE_95.jpg	i
161.122	8.234	1	learning	LS2	PICTURE_508.jpg	i
169.356	9.837	1	learning	LS2	PICTURE_480.jpg	c
179.193	9.047	1	learning	LS2	PICTURE_95.jpg	c
188.240	11.296	1	learning	LS2	PICTURE_488.jpg	c
199.536	8.265	1	learning	LS2	PICTURE_15.jpg	c
207.801	19.781	0	learning	LS2	PICTURE_488.jpg	i
227.582	8.315	1	learning	LS3	PICTURE_508.jpg	c
235.897	7.844	1	learning	LS3	PICTURE_15.jpg	i
243.741	7.692	1	learning	LS3	PICTURE_480.jpg	i
251.433	7.382	1	learning	LS3	PICTURE_488.jpg	i
258.815	6.910	1	learning	LS3	PICTURE_95.jpg	c
265.725	6.755	1	learning	LS3	PICTURE_15.jpg	c
272.480	7.721	1	learning	LS3	PICTURE_480.jpg	c
280.201	7.567	1	learning	LS3	PICTURE_488.jpg	c
287.768	6.936	1	learning	LS3	PICTURE_95.jpg	i
294.704	8.543	1	learning	LS3	PICTURE_508.jpg	i
303.247	8.578	1	learning	LS4	PICTURE_480.jpg	c
311.825	7.948	1	learning	LS4	PICTURE_95.jpg	c
319.773	8.434	1	learning	LS4	PICTURE_508.jpg	c
328.207	7.804	1	learning	LS4	PICTURE_488.jpg	i
336.011	7.333	1	learning	LS4	PICTURE_95.jpg	i
343.344	9.738	1	learning	LS4	PICTURE_480.jpg	i
353.082	6.711	1	learning	LS4	PICTURE_15.jpg	i
359.793	11.672	1	learning	LS4	PICTURE_508.jpg	i
371.465	8.644	1	learning	LS4	PICTURE_488.jpg	c
380.109	7.214	1	learning	LS4	PICTURE_15.jpg	c
387.323	9.306	1	control	LS1	PICTURE_286.jpg	i
396.629	8.836	1	control	LS1	PICTURE_292.jpg	c
405.465	9.962	1	control	LS1	PICTURE_430.jpg	i
415.427	8.215	1	control	LS1	PICTURE_718.jpg	i
423.642	8.540	1	control	LS1	PICTURE_2.jpg	i
432.182	7.431	1	control	LS1	PICTURE_718.jpg	c
439.613	8.874	1	control	LS1	PICTURE_2.jpg	c
448.487	7.925	1	control	LS1	PICTURE_430.jpg	c
456.412	7.456	1	control	LS1	PICTURE_292.jpg	i
463.868	10.499	1	control	LS1	PICTURE_286.jpg	c
474.367	8.461	1	control	LS2	PICTURE_430.jpg	i
482.828	9.427	1	control	LS2	PICTURE_286.jpg	c
492.255	7.038	1	control	LS2	PICTURE_430.jpg	c
499.293	7.204	1	control	LS2	PICTURE_2.jpg	c
506.497	7.373	1	control	LS2	PICTURE_292.jpg	c
513.870	10.575	1	control	LS2	PICTURE_718.jpg	i
524.445	8.346	1	control	LS2	PICTURE_2.jpg	i
