onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
0.000	12.543	0	learning	LS1	PICTURE_566.jpg	c
12.543	9.512	0	learning	LS1	PICTURE_203.jpg	i
22.055	11.908	0	learning	LS1	PICTURE_42.jpg	i
33.963	10.474	1	learning	LS1	PICTURE_414.jpg	c
44.437	12.399	1	learning	LS1	PICTURE_203.jpg	c
56.836	11.279	1	learning	LS1	PICTURE_224.jpg	i
68.115	11.762	1	learning	LS1	PICTURE_42.jpg	c
79.877	11.128	1	learning	LS1	PICTURE_224.jpg	c
91.005	10.495	1	learning	LS1	PICTURE_414.jpg	i
101.500	12.101	1	learning	LS1	PICTURE_566.jpg	i
113.601	13.407	1	learning	LS2	PICTURE_203.jpg	i
127.008	11.337	1	learning	LS2	PICTURE_566.jpg	c
138.345	7.668	1	learning	LS2	PICTURE_42.jpg	c
146.013	10.230	1	learning	LS2	PICTURE_414.jpg	c
156.243	10.713	0	learning	LS2	PICTURE_224.jpg	c
166.956	10.243	1	learning	LS2	PICTURE_566.jpg	i
177.199	9.608	1	learning	LS2	PICTURE_414.jpg	i
186.807	11.054	1	learning	LS2	PICTURE_224.jpg	i
197.861	8.184	1	learning	LS2	PICTURE_42.jpg	i
206.045	9.307	1	learning	LS2	PICTURE_203.jpg	c
215.352	10.937	1	learning	LS3	PICTURE_414.jpg	c
226.289	8.069	1	learning	LS3	PICTURE_42.jpg	i
234.358	10.316	1	learning	LS3	PICTURE_224.jpg	c
244.674	7.764	1	learning	LS3	PICTURE_566.jpg	c
252.438	8.727	1	learning	LS3	PICTURE_224.jpg	i
261.165	7.614	1	learning	LS3	PICTURE_42.jpg	c
268.779	8.418	1	learning	LS3	PICTURE_203.jpg	c
277.197	10.662	1	learning	LS3	PICTURE_566.jpg	i
287.859	7.633	1	learning	LS3	PICTURE_203.jpg	i
295.492	8.278	1	learning	LS3	PICTURE_414.jpg	i
303.770	7.511	1	learning	LS4	PICTURE_42.jpg	c
311.281	8.956	1	learning	LS4	PICTURE_203.jpg	c
320.237	7.361	1	learning	LS4	PICTURE_414.jpg	i
327.598	9.445	1	learning	LS4	PICTURE_566.jpg	c
337.043	8.012	1	learning	LS4	PICTURE_414.jpg	c
