onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
0.000	18.372	incorrect	learning	LS1	PICTURE_703.jpg	i	false alarm
18.372	11.667	incorrect	learning	LS1	PICTURE_695.jpg	i	false alarm
30.039	10.077	correct	learning	LS1	PICTURE_216.jpg	c	hit
40.116	13.274	correct	learning	LS1	PICTURE_695.jpg	c	hit
53.390	10.405	incorrect	learning	LS1	PICTURE_53.jpg	i	false alarm
63.795	13.449	incorrect	learning	LS1	PICTURE_220.jpg	i	false alarm
77.244	15.531	correct	learning	LS1	PICTURE_53.jpg	c	hit
92.775	15.858	correct	learning	LS1	PICTURE_703.jpg	c	hit
108.633	14.586	correct	learning	LS1	PICTURE_220.jpg	c	hit
123.219	12.196	correct	learning	LS1	PICTURE_216.jpg	i	correct rejection
135.415	12.710	correct	learning	LS2	PICTURE_216.jpg	c	hit
148.125	10.320	correct	learning	LS2	PICTURE_695.jpg	i	correct rejection
158.445	11.281	correct	learning	LS2	PICTURE_220.jpg	c	hit
169.726	8.732	correct	learning	LS2	PICTURE_703.jpg	c	hit
178.458	9.058	correct	learning	LS2	PICTURE_220.jpg	i	correct rejection
187.516	8.906	correct	learning	LS2	PICTURE_53.jpg	c	hit
196.422	8.431	correct	learning	LS2	PICTURE_216.jpg	i	correct rejection
204.853	15.471	incorrect	learning	LS2	PICTURE_695.jpg	c	miss
220.324	9.248	correct	learning	LS2	PICTURE_53.jpg	i	correct rejection
229.572	11.651	correct	learning	LS2	PICTURE_703.jpg	i	correct rejection
241.223	9.769	correct	learning	LS3	PICTURE_703.jpg	c	hit
250.992	11.214	correct	learning	LS3	PICTURE_220.jpg	c	hit
262.206	9.786	correct	learning	LS3	PICTURE_53.jpg	c	hit
271.992	8.518	correct	learning	LS3	PICTURE_695.jpg	c	hit
280.510	8.845	correct	learning	LS3	PICTURE_216.jpg	i	correct rejection
289.355	10.289	correct	learning	LS3	PICTURE_703.jpg	i	correct rejection
299.644	8.858	correct	learning	LS3	PICTURE_53.jpg	i	correct rejection
308.502	13.820	correct	learning	LS3	PICTURE_216.jpg	c	hit
322.322	9.669	correct	learning	LS3	PICTURE_220.jpg	i	correct rejection
331.991	9.522	correct	learning	LS3	PICTURE_695.jpg	i	correct rejection
341.513	9.079	correct	learning	LS4	PICTURE_53.jpg	i	correct rejection
350.592	11.162	correct	learning	LS4	PICTURE_216.jpg	i	correct rejection
361.754	8.933	correct	learning	LS4	PICTURE_695.jpg	i	correct rejection
370.687	8.776	correct	learning	LS4	PICTURE_703.jpg	c	hit
379.463	9.104	correct	learning	LS4	PICTURE_220.jpg	i	correct rejection
388.567	10.072	correct	learning	LS4	PICTURE_53.jpg	c	hit
398.639	9.117	correct	learning	LS4	PICTURE_703.jpg	i	correct rejection
407.756	8.325	correct	learning	LS4	PICTURE_695.jpg	c	hit
416.081	8.812	correct	learning	LS4	PICTURE_220.jpg	c	hit
424.893	8.820	correct	learning	LS4	PICTURE_216.jpg	c	hit
433.713	12.178	incorrect	learning	LS1	PICTURE_247.jpg	i	false alarm
445.891	8.990	correct	learning	LS1	PICTURE_610.jpg	c	hit
454.881	11.071	correct	learning	LS1	PICTURE_247.jpg	c	hit
465.952	8.038	incorrect	learning	LS1	PICTURE_43.jpg	i	false alarm
473.990	9.967	correct	learning	LS1	PICTURE_741.jpg	c	hit
483.957	10.934	incorrect	learning	LS1	PICTURE_599.jpg	i	false alarm
494.891	12.220	correct	learning	LS1	PICTURE_610.jpg	i	correct rejection
507.111	12.705	correct	learning	LS1	PICTURE_599.jpg	c	hit
519.816	10.791	correct	learning	LS1	PICTURE_741.jpg	i	correct rejection
530.607	12.718	correct	learning	LS1	PICTURE_43.jpg	c	hit
543.325	18.027	correct	learning	LS2	PICTURE_247.jpg	i	correct rejection
561.352	9.563	correct	learning	LS2	PICTURE_610.jpg	c	hit
570.915	15.804	correct	learning	LS2	PICTURE_247.jpg	c	hit
586.719	9.737	correct	learning	LS2	PICTURE_43.jpg	i	correct rejection
596.456	9.267	correct	learning	LS2	PICTURE_599.jpg	c	hit
605.723	10.071	correct	learning	LS2	PICTURE_741.jpg	c	hit
615.794	12.473	correct	learning	LS2	PICTURE_610.jpg	i	correct rejection
628.267	10.723	correct	learning	LS2	PICTURE_599.jpg	i	correct rejection
638.990	9.771	correct	learning	LS2	PICTURE_741.jpg	i	correct rejection
648.761	16.011	correct	learning	LS2	PICTURE_43.jpg	c	hit
664.772	9.495	correct	learning	LS3	PICTURE_741.jpg	i	correct rejection
674.267	11.741	correct	learning	LS3	PICTURE_247.jpg	c	hit
686.008	9.671	correct	learning	LS3	PICTURE_610.jpg	c	hit
695.679	11.274	correct	learning	LS3	PICTURE_599.jpg	i	correct rejection
706.953	9.206	correct	learning	LS3	PICTURE_610.jpg	i	correct rejection
716.159	11.769	correct	learning	LS3	PICTURE_741.jpg	c	hit
727.928	10.496	correct	learning	LS3	PICTURE_43.jpg	i	correct rejection
738.424	13.379	correct	learning	LS3	PICTURE_247.jpg	i	correct rejection
751.803	11.149	correct	learning	LS3	PICTURE_599.jpg	c	hit
762.952	10.677	correct	learning	LS3	PICTURE_43.jpg	c	hit
773.629	9.118	correct	learning	LS4	PICTURE_43.jpg	i	correct rejection
782.747	7.047	correct	learning	LS4	PICTURE_247.jpg	c	hit
789.794	9.611	correct	learning	LS4	PICTURE_43.jpg	c	hit
799.405	8.021	correct	learning	LS4	PICTURE_599.jpg	i	correct rejection
807.426	9.303	correct	learning	LS4	PICTURE_741.jpg	i	correct rejection
816.729	9.951	correct	learning	LS4	PICTURE_247.jpg	i	correct rejection
826.680	10.598	correct	learning	LS4	PICTURE_610.jpg	i	correct rejection
837.278	10.128	correct	learning	LS4	PICTURE_599.jpg	c	hit
847.406	9.814	correct	learning	LS4	PICTURE_741.jpg	c	hit
857.220	10.617	incorrect	learning	LS4	PICTURE_610.jpg	c	miss
867.837	9.972	correct	learning	LS1	PICTURE_297.jpg	c	hit
877.809	7.901	correct	learning	LS1	PICTURE_746.jpg	i	correct rejection
885.710	11.423	incorrect	learning	LS1	PICTURE_235.jpg	i	false alarm
897.133	11.110	correct	learning	LS1	PICTURE_746.jpg	c	hit
908.243	12.716	correct	learning	LS1	PICTURE_235.jpg	c	hit
920.959	10.644	correct	learning	LS1	PICTURE_23.jpg	c	hit
931.603	10.490	correct	learning	LS1	PICTURE_297.jpg	i	correct rejection
942.093	13.054	correct	learning	LS1	PICTURE_720.jpg	c	hit
955.147	9.705	correct	learning	LS1	PICTURE_23.jpg	i	correct rejection
964.852	12.272	correct	learning	LS1	PICTURE_720.jpg	i	correct rejection
977.124	9.109	correct	learning	LS2	PICTURE_297.jpg	c	hit
986.233	8.476	correct	learning	LS2	PICTURE_746.jpg	c	hit
994.709	16.629	correct	learning	LS2	PICTURE_720.jpg	i	correct rejection
1011.338	8.966	correct	learning	LS2	PICTURE_297.jpg	i	correct rejection
1020.304	9.132	correct	learning	LS2	PICTURE_23.jpg	c	hit
1029.436	9.462	correct	learning	LS2	PICTURE_720.jpg	c	hit
1038.898	7.391	correct	learning	LS2	PICTURE_746.jpg	i	correct rejection
1046.289	10.436	correct	learning	LS2	PICTURE_235.jpg	i	correct rejection
1056.725	10.280	correct	learning	LS2	PICTURE_23.jpg	i	correct rejection
1067.005	11.407	correct	learning	LS2	PICTURE_235.jpg	c	hit
1078.412	9.682	correct	learning	LS3	PICTURE_23.jpg	i	correct rejection
1088.094	8.729	correct	learning	LS3	PICTURE_720.jpg	i	correct rejection
1096.823	9.856	correct	learning	LS3	PICTURE_297.jpg	c	hit
1106.679	9.227	correct	learning	LS3	PICTURE_235.jpg	i	correct rejection
1115.906	8.435	correct	learning	LS3	PICTURE_720.jpg	c	hit
1124.341	8.921	correct	learning	LS3	PICTURE_235.jpg	c	hit
1133.262	10.206	correct	learning	LS3	PICTURE_23.jpg	c	hit
1143.468	9.251	correct	learning	LS3	PICTURE_746.jpg	c	hit
1152.719	9.417	correct	learning	LS3	PICTURE_297.jpg	i	correct rejection
1162.136	9.424	correct	learning	LS3	PICTURE_746.jpg	i	correct rejection
1171.560	8.339	correct	learning	LS4	PICTURE_746.jpg	c	hit
1179.899	10.581	correct	learning	LS4	PICTURE_23.jpg	i	correct rejection
1190.480	9.788	correct	learning	LS4	PICTURE_746.jpg	i	correct rejection
1200.268	8.517	correct	learning	LS4	PICTURE_720.jpg	i	correct rejection
1208.785	9.003	correct	learning	LS4	PICTURE_235.jpg	i	correct rejection
1217.788	9.970	correct	learning	LS4	PICTURE_23.jpg	c	hit
1227.758	9.658	correct	learning	LS4	PICTURE_297.jpg	c	hit
1237.416	8.708	correct	learning	LS4	PICTURE_720.jpg	c	hit
1246.124	16.063	correct	learning	LS4	PICTURE_297.jpg	i	correct rejection
1262.187	8.721	correct	learning	LS4	PICTURE_235.jpg	c	hit
1270.908	7.923	correct	learning	LS1	PICTURE_15.jpg	c	hit
1278.831	6.014	correct	learning	LS1	PICTURE_480.jpg	i	correct rejection
1284.845	12.089	correct	learning	LS1	PICTURE_95.jpg	c	hit
1296.934	9.538	incorrect	learning	LS1	PICTURE_488.jpg	c	miss
1306.472	7.631	correct	learning	LS1	PICTURE_508.jpg	c	hit
1314.103	10.515	correct	learning	LS1	PICTURE_488.jpg	i	correct rejection
1324.618	7.965	incorrect	learning	LS1	PICTURE_95.jpg	i	false alarm
1332.583	15.002	incorrect	learning	LS1	PICTURE_508.jpg	i	false alarm
1347.585	10.212	correct	learning	LS1	PICTURE_15.jpg	i	correct rejection
1357.797	10.698	correct	learning	LS1	PICTURE_480.jpg	c	hit
1368.495	11.211	correct	learning	LS2	PICTURE_15.jpg	i	correct rejection
1379.706	11.220	correct	learning	LS2	PICTURE_95.jpg	c	hit
1390.926	15.383	correct	learning	LS2	PICTURE_488.jpg	i	correct rejection
