onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
24.053	1.341	1340.5	learning	LS1	learning/PICTURE_212.jpg	99
28.623	1.006	1005.8	learning	LS1	learning/PICTURE_659.jpg	99
33.193	0.751	750.8	learning	LS1	learning/PICTURE_26.jpg	100
37.763	1.263	1263.1	learning	LS1	learning/PICTURE_38.jpg	99
42.332	1.392	1391.6	learning	LS1	learning/PICTURE_654.jpg	99
46.902	1.041	1041.1	learning	LS1	learning/PICTURE_212.jpg	100
51.472	1.138	1137.9	learning	LS1	learning/PICTURE_26.jpg	99
56.042	0.963	963.1	learning	LS1	learning/PICTURE_659.jpg	100
60.611	1.06	1059.7	learning	LS1	learning/PICTURE_654.jpg	100
65.181	1.332	1332.3	learning	LS1	learning/PICTURE_38.jpg	100
74.271	1.161	1160.6	learning	LS2	learning/PICTURE_659.jpg	100
78.841	0.778	777.8	learning	LS2	learning/PICTURE_38.jpg	99
83.41	0.906	906.3	learning	LS2	learning/PICTURE_654.jpg	100
87.98	1.115	1114.8	learning	LS2	learning/PICTURE_38.jpg	100
92.55	1.308	1307.7	learning	LS2	learning/PICTURE_212.jpg	100
97.12	0.909	909.1	learning	LS2	learning/PICTURE_26.jpg	99
101.69	1.23	1229.6	learning	LS2	learning/PICTURE_212.jpg	99
106.259	1.038	1038.5	learning	LS2	learning/PICTURE_654.jpg	99
110.829	1.055	1055.4	learning	LS2	learning/PICTURE_659.jpg	99
115.399	0.737	736.7	learning	LS2	learning/PICTURE_26.jpg	100
124.489	1.06	1059.8	learning	LS3	learning/PICTURE_38.jpg	100
129.058	0.805	804.9	learning	LS3	learning/PICTURE_659.jpg	100
133.628	0.822	821.8	learning	LS3	learning/PICTURE_212.jpg	100
138.198	1.238	1238.0	learning	LS3	learning/PICTURE_26.jpg	99
142.768	0.903	903.3	learning	LS3	learning/PICTURE_212.jpg	99
147.338	0.968	967.6	learning	LS3	learning/PICTURE_659.jpg	99
151.907	0.92	920.3	learning	LS3	learning/PICTURE_654.jpg	99
156.477	0.842	841.5	learning	LS3	learning/PICTURE_26.jpg	100
161.047	0.954	954.2	learning	LS3	learning/PICTURE_38.jpg	99
165.617	1.05	1050.5	learning	LS3	learning/PICTURE_654.jpg	100
174.706	0.799	798.8	learning	LS4	learning/PICTURE_659.jpg	99
179.276	0.975	975.2	learning	LS4	learning/PICTURE_212.jpg	99
183.846	0.88	879.8	learning	LS4	learning/PICTURE_26.jpg	99
188.416	0.88	880.2	learning	LS4	learning/PICTURE_654.jpg	99
192.985	0.849	849.1	learning	LS4	learning/PICTURE_659.jpg	100
197.555	0.882	881.8	learning	LS4	learning/PICTURE_654.jpg	100
202.125	1.042	1042.3	learning	LS4	learning/PICTURE_38.jpg	100
206.695	1.091	1091.4	learning	LS4	learning/PICTURE_26.jpg	100
211.265	1.3	1299.6	learning	LS4	learning/PICTURE_212.jpg	100
215.834	0.933	932.8	learning	LS4	learning/PICTURE_38.jpg	99
242.97	0.982	981.5	control	LS1	control/PICTURE_540.jpg	99
247.539	0.871	870.6	control	LS1	control/PICTURE_116.jpg	99
252.109	1.143	1143.0	control	LS1	control/PICTURE_491.jpg	100
256.679	0.904	904.0	control	LS1	control/PICTURE_263.jpg	99
261.249	0.889	889.1	control	LS1	control/PICTURE_116.jpg	100
265.818	1.162	1161.8	control	LS1	control/PICTURE_491.jpg	99
270.388	1.099	1098.7	control	LS1	control/PICTURE_135.jpg	99
274.958	0.988	987.5	control	LS1	control/PICTURE_263.jpg	100
279.528	0.844	844.4	control	LS1	control/PICTURE_135.jpg	100
284.098	1.565	1564.5	control	LS1	control/PICTURE_540.jpg	100
293.187	0.849	849.0	control	LS2	control/PICTURE_135.jpg	99
297.757	0.834	833.8	control	LS2	control/PICTURE_540.jpg	100
302.327	0.851	850.8	control	LS2	control/PICTURE_491.jpg	99
306.897	0.82	819.7	control	LS2	control/PICTURE_116.jpg	100
311.466	0.948	948.3	control	LS2	control/PICTURE_540.jpg	99
316.036	0.901	901.1	control	LS2	control/PICTURE_263.jpg	100
320.606	0.998	997.8	control	LS2	control/PICTURE_116.jpg	99
325.176	0.823	822.7	control	LS2	control/PICTURE_263.jpg	99
329.746	0.856	855.5	control	LS2	control/PICTURE_135.jpg	100
334.315	0.825	824.5	control	LS2	control/PICTURE_491.jpg	100
343.405	1.004	1004.1	control	LS3	control/PICTURE_151.jpg	99
347.975	0.877	876.9	control	LS3	control/PICTURE_119.jpg	100
352.545	0.941	941.4	control	LS3	control/PICTURE_111.jpg	100
357.114	0.91	910.1	control	LS3	control/PICTURE_234.jpg	100
361.684	1.135	1134.6	control	LS3	control/PICTURE_621.jpg	99
366.254	1.103	1103.3	control	LS3	control/PICTURE_151.jpg	100
370.824	1.248	1247.5	control	LS3	control/PICTURE_111.jpg	99
375.394	1.136	1136.4	control	LS3	control/PICTURE_234.jpg	99
379.963	0.753	753.4	control	LS3	control/PICTURE_119.jpg	99
384.533	0.834	834.4	control	LS3	control/PICTURE_621.jpg	100
393.623	0.95	949.6	control	LS4	control/PICTURE_621.jpg	100
398.192	0.807	806.8	control	LS4	control/PICTURE_111.jpg	99
402.762	1.271	1270.8	control	LS4	control/PICTURE_119.jpg	99
407.332	0.872	872.0	control	LS4	control/PICTURE_151.jpg	99
411.902	1.288	1288.2	control	LS4	control/PICTURE_234.jpg	100
416.472	1.401	1400.8	control	LS4	control/PICTURE_111.jpg	100
421.041	1.13	1129.9	control	LS4	control/PICTURE_151.jpg	100
425.611	1.339	1338.6	control	LS4	control/PICTURE_119.jpg	100
430.181	1.259	1259.3	control	LS4	control/PICTURE_234.jpg	99
434.751	0.876	876.5	control	LS4	control/PICTURE_621.jpg	99
461.886	0.813	813.2	learning	LS1	learning/PICTURE_100.jpg	100
466.456	0.862	862.0	learning	LS1	learning/PICTURE_97.jpg	99
471.026	0.783	782.6	learning	LS1	learning/PICTURE_32.jpg	99
475.595	0.879	879.3	learning	LS1	learning/PICTURE_267.jpg	99
480.165	1.2	1199.8	learning	LS1	learning/PICTURE_100.jpg	100
484.735	0.865	865.1	learning	LS1	learning/PICTURE_32.jpg	99
489.305	1.361	1361.2	learning	LS1	learning/PICTURE_77.jpg	99
