onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
0.000	17.153	17153.0	learning	LS1	PICTURE_165.jpg	c	n/a
17.153	6.821	6821.0	learning	LS1	PICTURE_202.jpg	c	n/a
23.974	7.204	7204.0	learning	LS1	PICTURE_148.jpg	c	n/a
31.178	7.268	7268.0	learning	LS1	PICTURE_358.jpg	i	n/a
38.446	5.579	5579.0	learning	LS1	PICTURE_165.jpg	i	n/a
44.025	12.368	12368.0	learning	LS1	PICTURE_453.jpg	c	n/a
56.393	11.646	11646.0	learning	LS1	PICTURE_358.jpg	c	n/a
68.039	11.404	11404.0	learning	LS1	PICTURE_453.jpg	i	n/a
79.443	13.560	13560.0	learning	LS1	PICTURE_202.jpg	i	n/a
93.003	13.637	13637.0	learning	LS1	PICTURE_148.jpg	i	n/a
106.640	13.658	13658.0	learning	LS2	PICTURE_148.jpg	i	n/a
120.298	12.623	12623.0	learning	LS2	PICTURE_202.jpg	c	n/a
132.921	8.543	8543.0	learning	LS2	PICTURE_148.jpg	c	n/a
141.464	7.026	7026.0	learning	LS2	PICTURE_358.jpg	c	n/a
148.490	7.429	7429.0	learning	LS2	PICTURE_165.jpg	i	n/a
155.919	10.226	10226.0	learning	LS2	PICTURE_453.jpg	c	n/a
166.145	17.668	17668.0	learning	LS2	PICTURE_165.jpg	c	n/a
183.813	7.995	7995.0	learning	LS2	PICTURE_358.jpg	i	n/a
191.808	9.192	9192.0	learning	LS2	PICTURE_453.jpg	i	n/a
201.000	8.316	8316.0	learning	LS2	PICTURE_202.jpg	i	n/a
209.316	13.295	13295.0	learning	LS3	PICTURE_202.jpg	i	n/a
222.611	7.936	7936.0	learning	LS3	PICTURE_358.jpg	c	n/a
230.547	9.918	9918.0	learning	LS3	PICTURE_148.jpg	c	n/a
240.465	18.619	18619.0	learning	LS3	PICTURE_453.jpg	c	n/a
259.084	7.967	7967.0	learning	LS3	PICTURE_358.jpg	i	n/a
267.051	19.854	19854.0	learning	LS3	PICTURE_165.jpg	c	n/a
286.905	8.729	8729.0	learning	LS3	PICTURE_453.jpg	i	n/a
295.634	8.479	8479.0	learning	LS3	PICTURE_148.jpg	i	n/a
304.113	9.830	9830.0	learning	LS3	PICTURE_165.jpg	i	n/a
313.943	10.548	10548.0	learning	LS3	PICTURE_202.jpg	c	n/a
324.491	14.096	14096.0	learning	LS4	PICTURE_358.jpg	c	n/a
338.587	7.768	7768.0	learning	LS4	PICTURE_148.jpg	i	n/a
346.355	8.005	8005.0	learning	LS4	PICTURE_453.jpg	i	n/a
354.360	8.725	8725.0	learning	LS4	PICTURE_202.jpg	i	n/a
363.085	n/a	n/a	learning	LS4	PICTURE_453.jpg	c	n/a
388.085	11.933	11933.0	learning	LS4	PICTURE_202.jpg	c	n/a
400.018	10.892	10892.0	learning	LS4	PICTURE_165.jpg	i	n/a
410.910	7.616	7616.0	learning	LS4	PICTURE_358.jpg	i	n/a
418.526	14.418	14418.0	learning	LS4	PICTURE_165.jpg	c	n/a
432.944	7.779	7779.0	learning	LS4	PICTURE_148.jpg	c	n/a
440.723	18.770	18770.0	control	LS1	PICTURE_391.jpg	c	n/a
459.493	8.116	8116.0	control	LS1	PICTURE_338.jpg	c	n/a
467.609	7.701	7701.0	control	LS1	PICTURE_391.jpg	i	n/a
475.310	10.005	10005.0	control	LS1	PICTURE_368.jpg	c	n/a
485.315	9.262	9262.0	control	LS1	PICTURE_255.jpg	c	n/a
494.577	8.693	8693.0	control	LS1	PICTURE_338.jpg	i	n/a
503.270	13.882	13882.0	control	LS1	PICTURE_255.jpg	i	n/a
517.152	11.553	11553.0	control	LS1	PICTURE_398.jpg	c	n/a
528.705	10.351	10351.0	control	LS1	PICTURE_368.jpg	i	n/a
539.056	10.908	10908.0	control	LS1	PICTURE_398.jpg	i	n/a
549.964	9.651	9651.0	control	LS2	PICTURE_398.jpg	c	n/a
559.615	7.650	7650.0	control	LS2	PICTURE_368.jpg	c	n/a
567.265	13.326	13326.0	control	LS2	PICTURE_398.jpg	i	n/a
580.591	9.572	9572.0	control	LS2	PICTURE_255.jpg	i	n/a
590.163	16.374	16374.0	control	LS2	PICTURE_368.jpg	i	n/a
606.537	10.539	10539.0	control	LS2	PICTURE_391.jpg	c	n/a
617.076	8.857	8857.0	control	LS2	PICTURE_338.jpg	i	n/a
625.933	11.340	11340.0	control	LS2	PICTURE_391.jpg	i	n/a
637.273	8.865	8865.0	control	LS2	PICTURE_338.jpg	c	n/a
646.138	9.589	9589.0	control	LS2	PICTURE_255.jpg	c	n/a
655.727	n/a	n/a	control	LS3	PICTURE_185.jpg	i	n/a
680.727	13.534	13534.0	control	LS3	PICTURE_19.jpg	c	n/a
694.261	10.413	10413.0	control	LS3	PICTURE_343.jpg	i	n/a
704.674	9.677	9677.0	control	LS3	PICTURE_708.jpg	i	n/a
714.351	12.941	12941.0	control	LS3	PICTURE_551.jpg	i	n/a
727.292	9.007	9007.0	control	LS3	PICTURE_708.jpg	c	n/a
736.299	7.631	7631.0	control	LS3	PICTURE_185.jpg	c	n/a
743.930	8.975	8975.0	control	LS3	PICTURE_19.jpg	i	n/a
752.905	8.726	8726.0	control	LS3	PICTURE_551.jpg	c	n/a
761.631	7.997	7997.0	control	LS3	PICTURE_343.jpg	c	n/a
