onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
0.000	13.270	1	learning	LS1	PICTURE_43.jpg	i
13.270	9.984	1	learning	LS1	PICTURE_247.jpg	c
23.254	11.017	1	learning	LS1	PICTURE_43.jpg	c
34.271	16.367	1	learning	LS1	PICTURE_610.jpg	c
50.638	10.684	1	learning	LS1	PICTURE_247.jpg	i
61.322	14.115	1	learning	LS1	PICTURE_741.jpg	i
75.437	13.708	0	learning	LS1	PICTURE_599.jpg	i
89.145	15.867	0	learning	LS1	PICTURE_610.jpg	i
105.012	8.750	1	learning	LS1	PICTURE_741.jpg	c
113.762	10.909	1	learning	LS1	PICTURE_599.jpg	c
124.671	11.569	1	learning	LS2	PICTURE_247.jpg	c
136.240	12.607	1	learning	LS2	PICTURE_599.jpg	i
148.847	8.202	1	learning	LS2	PICTURE_610.jpg	c
157.049	12.420	1	learning	LS2	PICTURE_247.jpg	i
169.469	9.121	1	learning	LS2	PICTURE_43.jpg	c
178.590	8.220	1	learning	LS2	PICTURE_741.jpg	i
186.810	8.600	1	learning	LS2	PICTURE_610.jpg	i
195.410	7.707	1	learning	LS2	PICTURE_599.jpg	c
203.117	9.523	1	learning	LS2	PICTURE_43.jpg	i
212.640	10.868	1	learning	LS2	PICTURE_741.jpg	c
223.508	10.401	1	learning	LS3	PICTURE_247.jpg	c
233.909	7.115	1	learning	LS3	PICTURE_599.jpg	c
241.024	7.348	1	learning	LS3	PICTURE_741.jpg	i
248.372	8.061	1	learning	LS3	PICTURE_610.jpg	i
256.433	12.612	1	learning	LS3	PICTURE_599.jpg	i
269.045	16.364	1	learning	LS3	PICTURE_43.jpg	i
285.409	7.007	1	learning	LS3	PICTURE_247.jpg	i
292.416	7.727	1	learning	LS3	PICTURE_741.jpg	c
300.143	7.488	1	learning	LS3	PICTURE_610.jpg	c
307.631	10.440	1	learning	LS3	PICTURE_43.jpg	c
318.071	8.379	1	learning	LS4	PICTURE_247.jpg	i
326.450	9.253	1	learning	LS4	PICTURE_599.jpg	c
335.703	7.094	1	learning	LS4	PICTURE_43.jpg	c
342.797	7.973	1	learning	LS4	PICTURE_741.jpg	i
350.770	10.126	1	learning	LS4	PICTURE_43.jpg	i
360.896	7.300	1	learning	LS4	PICTURE_741.jpg	c
368.196	7.520	1	learning	LS4	PICTURE_610.jpg	c
375.716	8.699	1	learning	LS4	PICTURE_247.jpg	c
384.415	8.120	1	learning	LS4	PICTURE_610.jpg	i
392.535	6.580	1	learning	LS4	PICTURE_599.jpg	i
399.115	11.458	0	learning	LS1	PICTURE_235.jpg	i
410.573	8.653	1	learning	LS1	PICTURE_23.jpg	c
419.226	14.003	1	learning	LS1	PICTURE_297.jpg	i
433.229	11.998	0	learning	LS1	PICTURE_746.jpg	i
445.227	11.271	1	learning	LS1	PICTURE_720.jpg	c
456.498	15.670	1	learning	LS1	PICTURE_23.jpg	i
472.168	8.073	0	learning	LS1	PICTURE_720.jpg	i
480.241	8.154	1	learning	LS1	PICTURE_746.jpg	c
488.395	10.625	1	learning	LS1	PICTURE_297.jpg	c
499.020	8.945	1	learning	LS1	PICTURE_235.jpg	c
507.965	11.197	1	learning	LS2	PICTURE_235.jpg	i
519.162	6.639	1	learning	LS2	PICTURE_297.jpg	i
525.801	7.991	1	learning	LS2	PICTURE_720.jpg	c
533.792	11.103	0	learning	LS2	PICTURE_746.jpg	i
544.895	8.284	1	learning	LS2	PICTURE_235.jpg	c
553.179	8.823	1	learning	LS2	PICTURE_23.jpg	c
562.002	7.764	1	learning	LS2	PICTURE_297.jpg	c
569.766	12.143	0	learning	LS2	PICTURE_720.jpg	i
581.909	13.009	1	learning	LS2	PICTURE_23.jpg	i
594.918	8.758	1	learning	LS2	PICTURE_746.jpg	c
603.676	6.205	1	learning	LS3	PICTURE_235.jpg	c
609.881	8.038	1	learning	LS3	PICTURE_720.jpg	c
617.919	10.511	1	learning	LS3	PICTURE_23.jpg	i
628.430	6.905	1	learning	LS3	PICTURE_297.jpg	c
635.335	7.779	1	learning	LS3	PICTURE_23.jpg	c
643.114	9.771	1	learning	LS3	PICTURE_720.jpg	i
652.885	7.613	1	learning	LS3	PICTURE_235.jpg	i
660.498	9.126	1	learning	LS3	PICTURE_746.jpg	c
669.624	6.806	1	learning	LS3	PICTURE_297.jpg	i
676.430	7.846	1	learning	LS3	PICTURE_746.jpg	i
684.276	12.184	1	learning	LS4	PICTURE_23.jpg	i
696.460	12.258	1	learning	LS4	PICTURE_297.jpg	c
708.718	9.939	1	learning	LS4	PICTURE_746.jpg	i
718.657	7.620	1	learning	LS4	PICTURE_23.jpg	c
726.277	7.053	1	learning	LS4	PICTURE_720.jpg	c
733.330	7.133	1	learning	LS4	PICTURE_235.jpg	i
740.463	8.472	1	learning	LS4	PICTURE_720.jpg	i
748.935	8.052	1	learning	LS4	PICTURE_297.jpg	i
756.987	6.992	1	learning	LS4	PICTURE_235.jpg	c
763.979	6.252	1	learning	LS4	PICTURE_746.jpg	c
770.231	14.470	1	learning	LS1	PICTURE_594.jpg	i
784.701	18.381	0	learning	LS1	PICTURE_52.jpg	i
803.082	10.457	1	learning	LS1	PICTURE_576.jpg	c
813.539	6.692	1	learning	LS1	PICTURE_594.jpg	c
820.231	8.852	1	learning	LS1	PICTURE_52.jpg	c
829.083	15.483	1	learning	LS1	PICTURE_581.jpg	i
844.566	10.918	1	learning	LS1	PICTURE_605.jpg	c
855.484	8.912	0	learning	LS1	PICTURE_576.jpg	i
864.396	9.311	1	learning	LS1	PICTURE_581.jpg	c
873.707	13.870	0	learning	LS1	PICTURE_605.jpg	i
887.577	7.326	1	learning	LS2	PICTURE_52.jpg	c
894.903	7.567	1	learning	LS2	PICTURE_581.jpg	c
902.470	6.681	1	learning	LS2	PICTURE_605.jpg	c
909.151	13.638	0	learning	LS2	PICTURE_52.jpg	i
922.789	9.713	1	learning	LS2	PICTURE_594.jpg	i
932.502	12.492	1	learning	LS2	PICTURE_581.jpg	i
944.994	11.433	1	learning	LS2	PICTURE_594.jpg	c
956.427	14.053	0	learning	LS2	PICTURE_576.jpg	i
970.480	13.953	1	learning	LS2	PICTURE_605.jpg	i
984.433	11.294	1	learning	LS2	PICTURE_576.jpg	c
995.727	7.461	1	learning	LS3	PICTURE_581.jpg	c
1003.188	10.095	1	learning	LS3	PICTURE_576.jpg	c
1013.283	6.969	1	learning	LS3	PICTURE_605.jpg	i
1020.252	9.921	1	learning	LS3	PICTURE_594.jpg	i
1030.173	10.314	1	learning	LS3	PICTURE_581.jpg	i
1040.487	7.508	1	learning	LS3	PICTURE_52.jpg	c
1047.995	7.580	1	learning	LS3	PICTURE_576.jpg	i
1055.575	6.845	1	learning	LS3	PICTURE_594.jpg	c
1062.420	11.724	0	learning	LS3	PICTURE_52.jpg	i
1074.144	7.799	1	learning	LS3	PICTURE_605.jpg	c
1081.943	7.180	1	learning	LS4	PICTURE_594.jpg	i
1089.123	10.298	1	learning	LS4	PICTURE_581.jpg	i
