onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
112.848	1.055	0	learning	LS1	learning/PICTURE_68.jpg
117.431	1.079	1	learning	LS1	learning/PICTURE_71.jpg
121.997	1.087	0	learning	LS1	learning/PICTURE_74.jpg
126.596	0.981	0	learning	LS1	learning/PICTURE_72.jpg
131.212	1.067	1	learning	LS1	learning/PICTURE_74.jpg
135.828	1.089	0	learning	LS1	learning/PICTURE_67.jpg
140.445	0.951	1	learning	LS1	learning/PICTURE_68.jpg
145.061	0.941	1	learning	LS1	learning/PICTURE_67.jpg
149.677	0.979	1	learning	LS1	learning/PICTURE_71.jpg
154.276	1.082	1	learning	LS1	learning/PICTURE_72.jpg
163.392	1.162	1	learning	LS2	learning/PICTURE_67.jpg
167.974	0.881	1	learning	LS2	learning/PICTURE_74.jpg
172.557	1.192	1	learning	LS2	learning/PICTURE_72.jpg
177.14	1.439	0	learning	LS2	learning/PICTURE_68.jpg
181.722	1.111	0	learning	LS2	learning/PICTURE_72.jpg
186.305	1.022	1	learning	LS2	learning/PICTURE_74.jpg
190.888	0.934	1	learning	LS2	learning/PICTURE_71.jpg
195.454	0.83	1	learning	LS2	learning/PICTURE_68.jpg
200.02	0.95	1	learning	LS2	learning/PICTURE_71.jpg
204.603	1.117	1	learning	LS2	learning/PICTURE_67.jpg
213.685	0.815	1	learning	LS3	learning/PICTURE_71.jpg
218.268	0.806	1	learning	LS3	learning/PICTURE_67.jpg
222.834	0.798	1	learning	LS3	learning/PICTURE_72.jpg
227.4	1.382	0	learning	LS3	learning/PICTURE_67.jpg
231.983	1.821	0	learning	LS3	learning/PICTURE_72.jpg
236.549	0.694	1	learning	LS3	learning/PICTURE_68.jpg
241.165	0.763	1	learning	LS3	learning/PICTURE_74.jpg
245.781	0.834	1	learning	LS3	learning/PICTURE_71.jpg
250.397	0.839	1	learning	LS3	learning/PICTURE_68.jpg
255.013	0.717	1	learning	LS3	learning/PICTURE_74.jpg
264.162	1.1	1	learning	LS4	learning/PICTURE_68.jpg
268.778	0.867	1	learning	LS4	learning/PICTURE_72.jpg
273.361	0.874	0	learning	LS4	learning/PICTURE_74.jpg
277.943	1.377	1	learning	LS4	learning/PICTURE_72.jpg
282.526	0.744	1	learning	LS4	learning/PICTURE_67.jpg
287.109	0.736	1	learning	LS4	learning/PICTURE_71.jpg
291.691	0.679	1	learning	LS4	learning/PICTURE_74.jpg
296.274	0.734	1	learning	LS4	learning/PICTURE_68.jpg
300.84	0.838	1	learning	LS4	learning/PICTURE_67.jpg
305.423	1.037	1	learning	LS4	learning/PICTURE_71.jpg
332.586	0.919	1	learning	LS1	learning/PICTURE_100.jpg
337.152	1.423	0	learning	LS1	learning/PICTURE_32.jpg
341.718	0.951	0	learning	LS1	learning/PICTURE_97.jpg
346.284	1.135	1	learning	LS1	learning/PICTURE_267.jpg
350.85	1.159	1	learning	LS1	learning/PICTURE_100.jpg
355.466	0.813	1	learning	LS1	learning/PICTURE_32.jpg
360.082	0.899	1	learning	LS1	learning/PICTURE_77.jpg
364.699	0.921	1	learning	LS1	learning/PICTURE_267.jpg
369.315	0.943	1	learning	LS1	learning/PICTURE_97.jpg
373.931	1.044	0	learning	LS1	learning/PICTURE_77.jpg
383.046	1.045	1	learning	LS2	learning/PICTURE_100.jpg
387.629	0.973	1	learning	LS2	learning/PICTURE_97.jpg
392.212	0.852	1	learning	LS2	learning/PICTURE_267.jpg
396.794	0.875	1	learning	LS2	learning/PICTURE_32.jpg
401.377	0.883	1	learning	LS2	learning/PICTURE_97.jpg
405.96	1.05	1	learning	LS2	learning/PICTURE_100.jpg
410.543	1.009	1	learning	LS2	learning/PICTURE_77.jpg
415.125	0.857	1	learning	LS2	learning/PICTURE_32.jpg
419.691	0.913	1	learning	LS2	learning/PICTURE_267.jpg
424.257	0.969	1	learning	LS2	learning/PICTURE_77.jpg
433.34	0.907	1	learning	LS3	learning/PICTURE_77.jpg
437.922	0.946	1	learning	LS3	learning/PICTURE_267.jpg
442.488	0.746	1	learning	LS3	learning/PICTURE_77.jpg
447.055	0.834	1	learning	LS3	learning/PICTURE_97.jpg
451.621	0.698	0	learning	LS3	learning/PICTURE_32.jpg
456.187	0.834	1	learning	LS3	learning/PICTURE_267.jpg
460.753	0.858	1	learning	LS3	learning/PICTURE_97.jpg
465.335	0.977	1	learning	LS3	learning/PICTURE_100.jpg
469.968	0.902	1	learning	LS3	learning/PICTURE_32.jpg
474.584	0.908	1	learning	LS3	learning/PICTURE_100.jpg
483.733	0.876	1	learning	LS4	learning/PICTURE_32.jpg
488.332	0.658	1	learning	LS4	learning/PICTURE_97.jpg
492.932	0.825	1	learning	LS4	learning/PICTURE_77.jpg
497.531	0.88	1	learning	LS4	learning/PICTURE_267.jpg
502.114	0.887	1	learning	LS4	learning/PICTURE_100.jpg
506.697	0.926	1	learning	LS4	learning/PICTURE_267.jpg
511.279	0.949	1	learning	LS4	learning/PICTURE_97.jpg
515.862	0.909	1	learning	LS4	learning/PICTURE_77.jpg
520.445	1.044	1	learning	LS4	learning/PICTURE_32.jpg
525.028	0.923	1	learning	LS4	learning/PICTURE_100.jpg
552.191	0.965	0	learning	LS1	learning/PICTURE_224.jpg
556.757	1.101	0	learning	LS1	learning/PICTURE_42.jpg
561.323	0.837	1	learning	LS1	learning/PICTURE_224.jpg
565.889	0.685	0	learning	LS1	learning/PICTURE_414.jpg
570.455	0.981	0	learning	LS1	learning/PICTURE_566.jpg
575.021	0.861	1	learning	LS1	learning/PICTURE_203.jpg
579.637	1.058	1	learning	LS1	learning/PICTURE_566.jpg
584.253	1.032	1	learning	LS1	learning/PICTURE_42.jpg
588.869	0.926	1	learning	LS1	learning/PICTURE_203.jpg
593.485	0.996	1	learning	LS1	learning/PICTURE_414.jpg
602.617	0.693	1	learning	LS2	learning/PICTURE_414.jpg
607.217	1.291	1	learning	LS2	learning/PICTURE_224.jpg
611.8	0.834	1	learning	LS2	learning/PICTURE_203.jpg
616.382	1.033	1	learning	LS2	learning/PICTURE_42.jpg
620.965	0.881	1	learning	LS2	learning/PICTURE_414.jpg
625.548	0.76	1	learning	LS2	learning/PICTURE_203.jpg
630.131	1.103	1	learning	LS2	learning/PICTURE_224.jpg
634.713	0.871	1	learning	LS2	learning/PICTURE_566.jpg
639.296	0.814	1	learning	LS2	learning/PICTURE_42.jpg
643.862	0.774	1	learning	LS2	learning/PICTURE_566.jpg
652.944	1.448	1	learning	LS3	learning/PICTURE_566.jpg
657.51	1.232	1	learning	LS3	learning/PICTURE_414.jpg
662.077	0.968	1	learning	LS3	learning/PICTURE_224.jpg
666.643	0.96	1	learning	LS3	learning/PICTURE_42.jpg
671.209	0.824	1	learning	LS3	learning/PICTURE_224.jpg
675.775	0.784	1	learning	LS3	learning/PICTURE_203.jpg
680.357	n/a	n/a	learning	LS3	learning/PICTURE_566.jpg
684.923	1.727	0	learning	LS3	learning/PICTURE_42.jpg
689.523	0.838	1	learning	LS3	learning/PICTURE_203.jpg
694.139	1.196	1	learning	LS3	learning/PICTURE_414.jpg
703.288	1.035	1	learning	LS4	learning/PICTURE_566.jpg
707.904	0.673	1	learning	LS4	learning/PICTURE_203.jpg
712.503	1.079	1	learning	LS4	learning/PICTURE_224.jpg
717.103	0.718	1	learning	LS4	learning/PICTURE_203.jpg
721.702	0.852	1	learning	LS4	learning/PICTURE_42.jpg
726.285	0.924	1	learning	LS4	learning/PICTURE_414.jpg
730.867	0.787	1	learning	LS4	learning/PICTURE_566.jpg
735.45	0.827	1	learning	LS4	learning/PICTURE_224.jpg
740.033	0.818	1	learning	LS4	learning/PICTURE_414.jpg
744.616	0.777	1	learning	LS4	learning/PICTURE_42.jpg
771.812	1.041	1	control	LS1	control/PICTURE_116.jpg
776.395	0.936	1	control	LS1	control/PICTURE_135.jpg
780.978	1.183	1	control	LS1	control/PICTURE_491.jpg
785.56	0.951	1	control	LS1	control/PICTURE_540.jpg
790.126	0.975	1	control	LS1	control/PICTURE_263.jpg
794.692	0.903	1	control	LS1	control/PICTURE_135.jpg
799.259	0.799	1	control	LS1	control/PICTURE_263.jpg
803.875	0.789	1	control	LS1	control/PICTURE_491.jpg
808.491	0.827	1	control	LS1	control/PICTURE_116.jpg
813.107	1.696	1	control	LS1	control/PICTURE_540.jpg
822.256	0.784	1	control	LS2	control/PICTURE_540.jpg
826.855	0.791	1	control	LS2	control/PICTURE_263.jpg
831.454	0.813	1	control	LS2	control/PICTURE_135.jpg
836.037	0.885	1	control	LS2	control/PICTURE_491.jpg
840.62	0.844	1	control	LS2	control/PICTURE_540.jpg
845.203	0.723	1	control	LS2	control/PICTURE_135.jpg
849.785	0.859	1	control	LS2	control/PICTURE_491.jpg
854.368	0.77	1	control	LS2	control/PICTURE_116.jpg
858.951	0.761	1	control	LS2	control/PICTURE_263.jpg
863.534	0.72	1	control	LS2	control/PICTURE_116.jpg
872.632	0.77	1	control	LS3	control/PICTURE_621.jpg
877.215	0.921	1	control	LS3	control/PICTURE_111.jpg
881.798	0.88	1	control	LS3	control/PICTURE_234.jpg
886.38	1.079	1	control	LS3	control/PICTURE_151.jpg
890.963	0.975	1	control	LS3	control/PICTURE_119.jpg
895.546	0.774	1	control	LS3	control/PICTURE_151.jpg
900.112	0.814	1	control	LS3	control/PICTURE_621.jpg
904.678	0.838	1	control	LS3	control/PICTURE_111.jpg
909.261	1.069	1	control	LS3	control/PICTURE_234.jpg
913.844	1.044	1	control	LS3	control/PICTURE_119.jpg
923.009	0.755	1	control	LS4	control/PICTURE_111.jpg
927.625	0.601	1	control	LS4	control/PICTURE_119.jpg
932.241	0.767	1	control	LS4	control/PICTURE_151.jpg
936.841	0.822	1	control	LS4	control/PICTURE_119.jpg
941.44	0.78	1	control	LS4	control/PICTURE_621.jpg
946.039	0.643	1	control	LS4	control/PICTURE_151.jpg
950.622	0.778	1	control	LS4	control/PICTURE_234.jpg
955.205	0.594	1	control	LS4	control/PICTURE_621.jpg
959.788	0.761	1	control	LS4	control/PICTURE_234.jpg
964.37	0.784	1	control	LS4	control/PICTURE_111.jpg
991.567	1.112	0	learning	LS1	learning/PICTURE_26.jpg
996.15	0.863	0	learning	LS1	learning/PICTURE_654.jpg
1000.732	1.191	1	learning	LS1	learning/PICTURE_38.jpg
1005.315	1.214	1	learning	LS1	learning/PICTURE_212.jpg
1009.898	0.933	0	learning	LS1	learning/PICTURE_659.jpg
1014.481	1.053	1	learning	LS1	learning/PICTURE_38.jpg
1019.047	1.22	0	learning	LS1	learning/PICTURE_659.jpg
1023.613	1.42	1	learning	LS1	learning/PICTURE_212.jpg
1028.229	1.123	0	learning	LS1	learning/PICTURE_654.jpg
1032.845	1.016	1	learning	LS1	learning/PICTURE_26.jpg
1041.994	1.08	1	learning	LS2	learning/PICTURE_212.jpg
1046.61	1.086	1	learning	LS2	learning/PICTURE_659.jpg
1051.209	1.028	0	learning	LS2	learning/PICTURE_26.jpg
1055.808	1.691	1	learning	LS2	learning/PICTURE_654.jpg
1060.391	1.426	1	learning	LS2	learning/PICTURE_26.jpg
1064.974	0.778	1	learning	LS2	learning/PICTURE_38.jpg
1069.557	1.217	1	learning	LS2	learning/PICTURE_654.jpg
1074.139	0.776	1	learning	LS2	learning/PICTURE_659.jpg
1078.722	0.848	1	learning	LS2	learning/PICTURE_38.jpg
1083.305	2.086	1	learning	LS2	learning/PICTURE_212.jpg
1092.387	0.857	1	learning	LS3	learning/PICTURE_38.jpg
