onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
0.0	1.908	1907.7	regulate	Run1	regulate/STIM_000.jpg	100
3.987	2.112	2112.1	regulate	Run1	regulate/STIM_000.jpg	100
9.657	1.546	1546.4	regulate	Run1	regulate/STIM_000.jpg	99
14.111	1.341	1340.6	regulate	Run1	regulate/STIM_000.jpg	99
19.378	2.34	2340.0	regulate	Run1	regulate/STIM_001.jpg	99
24.542	2.857	2856.8	regulate	Run1	regulate/STIM_001.jpg	100
29.834	2.937	2936.6	regulate	Run1	regulate/STIM_001.jpg	100
35.613	2.216	2215.7	regulate	Run1	regulate/STIM_001.jpg	100
41.562	2.293	2292.9	regulate	Run1	regulate/STIM_002.jpg	100
46.488	2.263	2263.4	regulate	Run1	regulate/STIM_002.jpg	99
52.496	2.425	2425.4	regulate	Run1	regulate/STIM_002.jpg	99
58.647	2.238	2238.2	regulate	Run1	regulate/STIM_002.jpg	99
63.761	3.023	3023.2	regulate	Run1	regulate/STIM_003.jpg	99
69.901	1.969	1969.0	regulate	Run1	regulate/STIM_003.jpg	100
75.524	2.638	2638.5	regulate	Run1	regulate/STIM_003.jpg	99
80.813	1.948	1948.2	regulate	Run1	regulate/STIM_003.jpg	99
85.973	2.476	2475.9	regulate	Run1	regulate/STIM_004.jpg	100
91.524	2.291	2291.1	regulate	Run1	regulate/STIM_004.jpg	100
96.213	1.482	1482.2	regulate	Run1	regulate/STIM_004.jpg	100
100.796	2.461	2461.3	regulate	Run1	regulate/STIM_004.jpg	100
106.771	2.116	2116.0	regulate	Run1	regulate/STIM_005.jpg	99
112.019	1.643	1643.0	regulate	Run1	regulate/STIM_005.jpg	100
117.009	2.164	2163.8	regulate	Run1	regulate/STIM_005.jpg	99
122.808	2.108	2108.3	regulate	Run1	regulate/STIM_005.jpg	99
127.274	2.889	2889.2	regulate	Run1	regulate/STIM_006.jpg	100
132.41	3.241	3240.8	regulate	Run1	regulate/STIM_006.jpg	100
139.225	2.976	2976.1	regulate	Run1	regulate/STIM_006.jpg	99
145.204	2.126	2125.9	regulate	Run1	regulate/STIM_006.jpg	99
151.374	3.323	3323.0	regulate	Run1	regulate/STIM_007.jpg	99
156.69	3.033	3033.0	regulate	Run1	regulate/STIM_007.jpg	100
163.425	1.6	1599.6	regulate	Run1	regulate/STIM_007.jpg	100
168.789	2.006	2005.6	regulate	Run1	regulate/STIM_007.jpg	100
174.282	3.021	3020.7	regulate	Run1	regulate/STIM_008.jpg	99
179.592	1.854	1853.8	regulate	Run1	regulate/STIM_008.jpg	100
184.167	1.7	1699.6	regulate	Run1	regulate/STIM_008.jpg	100
188.387	2.084	2084.5	regulate	Run1	regulate/STIM_008.jpg	100
194.27	2.279	2279.3	regulate	Run1	regulate/STIM_009.jpg	99
198.997	3.041	3041.2	regulate	Run1	regulate/STIM_009.jpg	99
205.618	2.687	2687.2	regulate	Run1	regulate/STIM_009.jpg	100
210.465	2.791	2790.9	regulate	Run1	regulate/STIM_009.jpg	99
216.074	3.269	3268.9	regulate	Run1	regulate/STIM_010.jpg	100
221.862	1.57	1569.5	regulate	Run1	regulate/STIM_010.jpg	100
225.63	1.7	1699.6	regulate	Run1	regulate/STIM_010.jpg	100
230.72	2.454	2454.4	regulate	Run1	regulate/STIM_010.jpg	99
237.018	2.797	2797.2	regulate	Run1	regulate/STIM_011.jpg	99
242.651	2.011	2010.9	regulate	Run1	regulate/STIM_011.jpg	100
248.154	2.251	2251.1	regulate	Run1	regulate/STIM_011.jpg	100
252.363	2.773	2773.1	regulate	Run1	regulate/STIM_011.jpg	100
257.286	3.103	3102.9	regulate	Run1	regulate/STIM_012.jpg	100
262.691	1.812	1812.0	regulate	Run1	regulate/STIM_012.jpg	100
268.348	3.12	3119.7	regulate	Run1	regulate/STIM_012.jpg	99
275.248	2.086	2085.8	regulate	Run1	regulate/STIM_012.jpg	100
280.413	1.78	1779.5	regulate	Run1	regulate/STIM_013.jpg	100
285.52	1.689	1688.6	regulate	Run1	regulate/STIM_013.jpg	99
289.54	2.654	2654.1	regulate	Run1	regulate/STIM_013.jpg	100
295.423	2.191	2191.0	regulate	Run1	regulate/STIM_013.jpg	99
299.727	2.722	2722.3	regulate	Run1	regulate/STIM_014.jpg	100
306.09	2.34	2340.3	regulate	Run1	regulate/STIM_014.jpg	100
311.107	3.152	3151.6	regulate	Run1	regulate/STIM_014.jpg	100
316.374	2.953	2952.6	regulate	Run1	regulate/STIM_014.jpg	100
321.837	1.911	1910.9	regulate	Run1	regulate/STIM_015.jpg	99
326.881	2.171	2170.7	regulate	Run1	regulate/STIM_015.jpg	99
332.254	2.756	2756.3	regulate	Run1	regulate/STIM_015.jpg	99
337.504	2.084	2084.0	regulate	Run1	regulate/STIM_015.jpg	100
342.584	3.319	3318.8	regulate	Run1	regulate/STIM_016.jpg	99
349.594	2.193	2192.6	regulate	Run1	regulate/STIM_016.jpg	100
353.75	2.88	2879.5	regulate	Run1	regulate/STIM_016.jpg	100
359.656	1.507	1506.6	regulate	Run1	regulate/STIM_016.jpg	99
364.591	3.256	3256.3	regulate	Run1	regulate/STIM_017.jpg	99
371.071	3.179	3179.0	regulate	Run1	regulate/STIM_017.jpg	100
376.334	1.889	1889.1	regulate	Run1	regulate/STIM_017.jpg	100
380.778	2.173	2173.0	regulate	Run1	regulate/STIM_017.jpg	99
386.442	2.167	2167.4	regulate	Run1	regulate/STIM_018.jpg	100
390.509	1.795	1794.8	regulate	Run1	regulate/STIM_018.jpg	100
395.668	2.346	2345.9	regulate	Run1	regulate/STIM_018.jpg	99
400.314	1.508	1508.4	regulate	Run1	regulate/STIM_018.jpg	99
404.378	3.175	3175.4	regulate	Run1	regulate/STIM_019.jpg	99
409.975	1.699	1699.1	regulate	Run1	regulate/STIM_019.jpg	99
414.801	1.852	1851.6	regulate	Run1	regulate/STIM_019.jpg	99
419.763	2.281	2280.7	regulate	Run1	regulate/STIM_019.jpg	99
425.305	2.747	2746.7	regulate	Run1	regulate/STIM_020.jpg	99
431.029	2.349	2349.0	regulate	Run1	regulate/STIM_020.jpg	99
437.196	1.973	1972.7	regulate	Run1	regulate/STIM_020.jpg	99
442.584	2.627	2627.4	regulate	Run1	regulate/STIM_020.jpg	100
448.91	2.482	2482.4	regulate	Run1	regulate/STIM_021.jpg	100
455.067	1.548	1548.2	regulate	Run1	regulate/STIM_021.jpg	100
460.487	2.494	2494.5	regulate	Run1	regulate/STIM_021.jpg	100
466.739	2.966	2966.4	regulate	Run1	regulate/STIM_021.jpg	100
471.629	3.036	3035.8	regulate	Run1	regulate/STIM_022.jpg	99
477.457	3.218	3218.1	regulate	Run1	regulate/STIM_022.jpg	100
483.687	2.536	2536.2	regulate	Run1	regulate/STIM_022.jpg	99
488.392	2.105	2105.3	regulate	Run1	regulate/STIM_022.jpg	99
493.404	2.845	2844.6	regulate	Run1	regulate/STIM_023.jpg	99
499.956	2.001	2001.0	regulate	Run1	regulate/STIM_023.jpg	100
505.661	1.755	1755.3	regulate	Run1	regulate/STIM_023.jpg	100
509.58	2.167	2167.2	regulate	Run1	regulate/STIM_023.jpg	99
513.96	3.474	3473.5	regulate	Run1	regulate/STIM_024.jpg	100
519.903	2.997	2997.4	regulate	Run1	regulate/STIM_024.jpg	100
526.601	2.411	2410.9	regulate	Run1	regulate/STIM_024.jpg	100
532.029	1.562	1562.3	regulate	Run1	regulate/STIM_024.jpg	99
536.823	3.117	3117.2	regulate	Run1	regulate/STIM_025.jpg	99
543.06	2.217	2217.1	regulate	Run1	regulate/STIM_025.jpg	100
549.189	2.528	2528.0	regulate	Run1	regulate/STIM_025.jpg	100
555.049	2.208	2207.6	regulate	Run1	regulate/STIM_025.jpg	100
560.815	2.135	2134.6	regulate	Run1	regulate/STIM_026.jpg	99
566.246	1.697	1696.9	regulate	Run1	regulate/STIM_026.jpg	100
571.771	2.937	2937.2	regulate	Run1	regulate/STIM_026.jpg	100
578.402	2.969	2968.9	regulate	Run1	regulate/STIM_026.jpg	99
584.568	1.602	1602.3	regulate	Run1	regulate/STIM_027.jpg	100
588.807	2.226	2226.5	regulate	Run1	regulate/STIM_027.jpg	100
593.085	1.796	1795.6	regulate	Run1	regulate/STIM_027.jpg	100
597.713	2.442	2442.4	regulate	Run1	regulate/STIM_027.jpg	99
