onset	duration	accuracy	trial_type	learning_stage	stimulus
0.0	1.79	incorrect	regulate	Run1	regulate/STIM_000.jpg
3.917	2.331	incorrect	regulate	Run1	regulate/STIM_000.jpg
9.592	2.273	correct	regulate	Run1	regulate/STIM_000.jpg
14.664	2.637	correct	regulate	Run1	regulate/STIM_000.jpg
19.905	2.322	correct	regulate	Run1	regulate/STIM_001.jpg
24.929	3.039	correct	regulate	Run1	regulate/STIM_001.jpg
30.639	2.545	correct	regulate	Run1	regulate/STIM_001.jpg
35.653	2.205	correct	regulate	Run1	regulate/STIM_001.jpg
41.121	1.959	correct	regulate	Run1	regulate/STIM_002.jpg
46.322	3.233	correct	regulate	Run1	regulate/STIM_002.jpg
52.935	1.86	incorrect	regulate	Run1	regulate/STIM_002.jpg
57.356	2.725	incorrect	regulate	Run1	regulate/STIM_002.jpg
62.394	2.752	incorrect	regulate	Run1	regulate/STIM_003.jpg
68.039	1.488	correct	regulate	Run1	regulate/STIM_003.jpg
73.56	2.292	incorrect	regulate	Run1	regulate/STIM_003.jpg
78.251	1.554	correct	regulate	Run1	regulate/STIM_003.jpg
82.936	3.038	correct	regulate	Run1	regulate/STIM_004.jpg
89.846	2.799	correct	regulate	Run1	regulate/STIM_004.jpg
95.916	1.942	correct	regulate	Run1	regulate/STIM_004.jpg
101.605	1.691	correct	regulate	Run1	regulate/STIM_004.jpg
107.306	1.652	correct	regulate	Run1	regulate/STIM_005.jpg
112.467	1.906	correct	regulate	Run1	regulate/STIM_005.jpg
117.907	2.99	correct	regulate	Run1	regulate/STIM_005.jpg
123.273	1.488	correct	regulate	Run1	regulate/STIM_005.jpg
126.975	1.509	incorrect	regulate	Run1	regulate/STIM_006.jpg
130.653	1.789	incorrect	regulate	Run1	regulate/STIM_006.jpg
135.911	1.986	correct	regulate	Run1	regulate/STIM_006.jpg
139.941	1.526	correct	regulate	Run1	regulate/STIM_006.jpg
144.795	3.306	correct	regulate	Run1	regulate/STIM_007.jpg
151.696	2.674	correct	regulate	Run1	regulate/STIM_007.jpg
158.534	2.674	incorrect	regulate	Run1	regulate/STIM_007.jpg
164.643	2.628	correct	regulate	Run1	regulate/STIM_007.jpg
170.568	2.844	incorrect	regulate	Run1	regulate/STIM_008.jpg
176.249	2.935	incorrect	regulate	Run1	regulate/STIM_008.jpg
182.416	1.659	correct	regulate	Run1	regulate/STIM_008.jpg
187.279	2.38	correct	regulate	Run1	regulate/STIM_008.jpg
192.073	3.195	correct	regulate	Run1	regulate/STIM_009.jpg
197.531	2.671	correct	regulate	Run1	regulate/STIM_009.jpg
202.547	2.255	correct	regulate	Run1	regulate/STIM_009.jpg
207.308	1.805	correct	regulate	Run1	regulate/STIM_009.jpg
211.255	2.265	correct	regulate	Run1	regulate/STIM_010.jpg
217.049	2.638	correct	regulate	Run1	regulate/STIM_010.jpg
223.558	1.624	correct	regulate	Run1	regulate/STIM_010.jpg
227.488	2.013	correct	regulate	Run1	regulate/STIM_010.jpg
232.529	2.69	correct	regulate	Run1	regulate/STIM_011.jpg
237.391	3.111	correct	regulate	Run1	regulate/STIM_011.jpg
243.943	2.904	correct	regulate	Run1	regulate/STIM_011.jpg
249.333	1.528	correct	regulate	Run1	regulate/STIM_011.jpg
252.973	2.994	incorrect	regulate	Run1	regulate/STIM_012.jpg
258.258	3.124	incorrect	regulate	Run1	regulate/STIM_012.jpg
264.156	1.359	incorrect	regulate	Run1	regulate/STIM_012.jpg
268.327	2.127	correct	regulate	Run1	regulate/STIM_012.jpg
273.305	3.092	correct	regulate	Run1	regulate/STIM_013.jpg
280.014	1.996	correct	regulate	Run1	regulate/STIM_013.jpg
284.675	2.152	correct	regulate	Run1	regulate/STIM_013.jpg
290.713	2.688	correct	regulate	Run1	regulate/STIM_013.jpg
296.984	2.38	incorrect	regulate	Run1	regulate/STIM_014.jpg
302.003	3.053	correct	regulate	Run1	regulate/STIM_014.jpg
308.51	2.246	correct	regulate	Run1	regulate/STIM_014.jpg
314.427	2.015	correct	regulate	Run1	regulate/STIM_014.jpg
319.614	2.8	correct	regulate	Run1	regulate/STIM_015.jpg
