onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
0.0	2.881	1	regulate	Run1	regulate/STIM_000.jpg
6.239	1.511	1	regulate	Run1	regulate/STIM_000.jpg
9.811	2.194	1	regulate	Run1	regulate/STIM_000.jpg
15.72	2.145	0	regulate	Run1	regulate/STIM_000.jpg
21.673	2.434	1	regulate	Run1	regulate/STIM_001.jpg
26.258	2.168	1	regulate	Run1	regulate/STIM_001.jpg
31.999	1.617	1	regulate	Run1	regulate/STIM_001.jpg
37.313	1.966	1	regulate	Run1	regulate/STIM_001.jpg
43.207	2.507	1	regulate	Run1	regulate/STIM_002.jpg
47.995	2.372	1	regulate	Run1	regulate/STIM_002.jpg
53.549	1.545	0	regulate	Run1	regulate/STIM_002.jpg
57.105	1.282	1	regulate	Run1	regulate/STIM_002.jpg
61.568	1.29	1	regulate	Run1	regulate/STIM_003.jpg
65.712	2.825	1	regulate	Run1	regulate/STIM_003.jpg
70.661	2.267	1	regulate	Run1	regulate/STIM_003.jpg
76.621	1.875	1	regulate	Run1	regulate/STIM_003.jpg
82.266	1.517	1	regulate	Run1	regulate/STIM_004.jpg
86.575	2.015	0	regulate	Run1	regulate/STIM_004.jpg
92.293	2.139	0	regulate	Run1	regulate/STIM_004.jpg
97.789	1.727	1	regulate	Run1	regulate/STIM_004.jpg
103.401	1.804	1	regulate	Run1	regulate/STIM_005.jpg
109.134	2.581	0	regulate	Run1	regulate/STIM_005.jpg
114.951	1.258	0	regulate	Run1	regulate/STIM_005.jpg
119.524	2.14	1	regulate	Run1	regulate/STIM_005.jpg
124.704	2.262	1	regulate	Run1	regulate/STIM_006.jpg
129.86	2.606	1	regulate	Run1	regulate/STIM_006.jpg
135.002	1.634	1	regulate	Run1	regulate/STIM_006.jpg
139.569	1.756	1	regulate	Run1	regulate/STIM_006.jpg
144.196	1.63	0	regulate	Run1	regulate/STIM_007.jpg
148.757	1.22	1	regulate	Run1	regulate/STIM_007.jpg
152.947	1.44	0	regulate	Run1	regulate/STIM_007.jpg
156.638	2.18	1	regulate	Run1	regulate/STIM_007.jpg
161.587	1.816	0	regulate	Run1	regulate/STIM_008.jpg
165.745	2.27	1	regulate	Run1	regulate/STIM_008.jpg
170.261	1.485	1	regulate	Run1	regulate/STIM_008.jpg
175.521	1.303	1	regulate	Run1	regulate/STIM_008.jpg
180.417	1.927	1	regulate	Run1	regulate/STIM_009.jpg
184.792	2.836	1	regulate	Run1	regulate/STIM_009.jpg
190.391	2.074	1	regulate	Run1	regulate/STIM_009.jpg
195.903	2.528	1	regulate	Run1	regulate/STIM_009.jpg
201.586	1.785	0	regulate	Run1	regulate/STIM_010.jpg
206.026	1.927	0	regulate	Run1	regulate/STIM_010.jpg
210.353	2.641	0	regulate	Run1	regulate/STIM_010.jpg
216.178	2.276	1	regulate	Run1	regulate/STIM_010.jpg
221.662	2.796	1	regulate	Run1	regulate/STIM_011.jpg
227.981	1.777	1	regulate	Run1	regulate/STIM_011.jpg
232.323	2.381	0	regulate	Run1	regulate/STIM_011.jpg
237.081	1.48	0	regulate	Run1	regulate/STIM_011.jpg
242.112	2.127	1	regulate	Run1	regulate/STIM_012.jpg
247.824	2.774	1	regulate	Run1	regulate/STIM_012.jpg
