participant_id	sex	age
n/a	n/a	n/a
n/a	n/a	n/a
sub-003	female	41.5
sub-004	female	20.5
sub-005	female	34.5
sub-006	male	19.1
sub-007	female	25.0
n/a	n/a	n/a
n/a	n/a	n/a
n/a	n/a	n/a
sub-011	female	27.2
sub-012	female	26.3
sub-013	non binary	31.1
sub-014	male	24.4
sub-015	female	29.5
n/a	n/a	n/a
sub-017	female	19.1
sub-018	male	32.2
sub-019	female	26.2
sub-020	female	27.6
sub-021	female	27.7
sub-022	male	28.6
n/a	n/a	n/a
sub-024	female	20.4
sub-025	male	28.9
sub-026	non binary	32.9
sub-027	male	27.0
sub-028	female	30.2
sub-029	female	25.0
sub-030	female	31.3
sub-031	male	26.7
sub-032	female	24.5
n/a	n/a	n/a
sub-034	male	23.4
sub-035	female	31.1
sub-036	male	23.3
sub-037	female	22.6
sub-038	male	29.8
sub-039	male	24.2
sub-040	female	26.9
sub-041	female	31.7
sub-042	male	23.0
sub-043	female	34.0
n/a	n/a	n/a
sub-045	female	40.3
n/a	n/a	n/a
sub-047	female	26.9
sub-048	female	28.1
sub-049	female	20.7
sub-050	female	18.2
