onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
0.0	1.039	1	study	Phase1	study/STIM_000.jpg
4.714	0.763	0	study	Phase1	study/STIM_000.jpg
9.035	1.05	1	study	Phase1	study/STIM_000.jpg
13.761	1.327	1	study	Phase1	study/STIM_001.jpg
18.16	1.013	1	study	Phase1	study/STIM_001.jpg
21.481	1.023	1	study	Phase1	study/STIM_001.jpg
26.346	1.145	1	study	Phase1	study/STIM_002.jpg
30.201	0.67	1	study	Phase1	study/STIM_002.jpg
33.717	0.659	1	study	Phase1	study/STIM_002.jpg
38.138	1.393	1	study	Phase1	study/STIM_003.jpg
41.954	1.308	1	study	Phase1	study/STIM_003.jpg
45.655	1.145	1	study	Phase1	study/STIM_003.jpg
50.406	1.488	0	study	Phase1	study/STIM_004.jpg
55.688	1.119	1	study	Phase1	study/STIM_004.jpg
59.737	1.227	1	study	Phase1	study/STIM_004.jpg
63.635	0.718	1	study	Phase1	study/STIM_005.jpg
67.987	1.3	1	study	Phase1	study/STIM_005.jpg
71.457	0.883	1	study	Phase1	study/STIM_005.jpg
74.762	0.852	1	study	Phase1	study/STIM_006.jpg
78.151	0.709	1	study	Phase1	study/STIM_006.jpg
81.154	1.321	1	study	Phase1	study/STIM_006.jpg
86.411	1.026	1	study	Phase1	study/STIM_007.jpg
91.033	0.886	1	study	Phase1	study/STIM_007.jpg
94.384	0.693	1	study	Phase1	study/STIM_007.jpg
97.787	1.22	1	study	Phase1	study/STIM_008.jpg
101.429	1.265	1	study	Phase1	study/STIM_008.jpg
105.379	1.24	1	study	Phase1	study/STIM_008.jpg
108.785	1.063	1	study	Phase1	study/STIM_009.jpg
112.975	1.261	1	study	Phase1	study/STIM_009.jpg
117.398	0.973	1	study	Phase1	study/STIM_009.jpg
121.619	0.889	1	study	Phase1	study/STIM_010.jpg
124.672	0.991	0	study	Phase1	study/STIM_010.jpg
129.307	0.638	1	study	Phase1	study/STIM_010.jpg
132.863	1.262	1	study	Phase1	study/STIM_011.jpg
137.459	1.24	1	study	Phase1	study/STIM_011.jpg
141.327	0.997	1	study	Phase1	study/STIM_011.jpg
146.303	1.399	1	study	Phase1	study/STIM_012.jpg
150.092	1.014	1	study	Phase1	study/STIM_012.jpg
154.091	0.956	1	study	Phase1	study/STIM_012.jpg
157.77	1.374	1	study	Phase1	study/STIM_013.jpg
161.801	0.986	1	study	Phase1	study/STIM_013.jpg
165.039	0.742	1	study	Phase1	study/STIM_013.jpg
168.132	1.132	1	study	Phase1	study/STIM_014.jpg
172.244	1.136	0	study	Phase1	study/STIM_014.jpg
176.485	0.873	1	study	Phase1	study/STIM_014.jpg
179.641	1.135	0	study	Phase1	study/STIM_015.jpg
183.333	0.801	1	study	Phase1	study/STIM_015.jpg
187.786	0.809	1	study	Phase1	study/STIM_015.jpg
192.534	1.135	1	study	Phase1	study/STIM_016.jpg
196.419	1.256	1	study	Phase1	study/STIM_016.jpg
199.849	1.011	1	study	Phase1	study/STIM_016.jpg
204.452	0.807	1	study	Phase1	study/STIM_017.jpg
207.7	0.801	1	study	Phase1	study/STIM_017.jpg
211.0	0.792	1	study	Phase1	study/STIM_017.jpg
215.534	1.318	1	study	Phase1	study/STIM_018.jpg
220.353	0.749	1	study	Phase1	study/STIM_018.jpg
223.804	0.666	1	study	Phase1	study/STIM_018.jpg
228.311	0.695	1	study	Phase1	study/STIM_019.jpg
231.422	0.816	1	study	Phase1	study/STIM_019.jpg
235.174	0.943	1	study	Phase1	study/STIM_019.jpg
238.427	1.066	1	study	Phase1	study/STIM_020.jpg
242.686	1.415	1	study	Phase1	study/STIM_020.jpg
246.897	1.213	1	study	Phase1	study/STIM_020.jpg
250.171	0.832	0	study	Phase1	study/STIM_021.jpg
254.023	1.113	1	study	Phase1	study/STIM_021.jpg
258.156	0.97	1	study	Phase1	study/STIM_021.jpg
261.195	1.118	1	study	Phase1	study/STIM_022.jpg
265.992	0.756	0	study	Phase1	study/STIM_022.jpg
269.646	0.773	1	study	Phase1	study/STIM_022.jpg
273.868	0.755	1	study	Phase1	study/STIM_023.jpg
277.184	0.766	1	study	Phase1	study/STIM_023.jpg
281.553	0.888	1	study	Phase1	study/STIM_023.jpg
284.692	1.302	1	study	Phase1	study/STIM_024.jpg
289.349	1.074	1	study	Phase1	study/STIM_024.jpg
293.198	0.645	0	study	Phase1	study/STIM_024.jpg
297.497	1.097	1	study	Phase1	study/STIM_025.jpg
301.062	0.9	0	study	Phase1	study/STIM_025.jpg
305.886	1.094	1	study	Phase1	study/STIM_025.jpg
309.51	1.168	1	study	Phase1	study/STIM_026.jpg
313.314	1.296	1	study	Phase1	study/STIM_026.jpg
318.38	1.147	1	study	Phase1	study/STIM_026.jpg
322.09	1.46	1	study	Phase1	study/STIM_027.jpg
326.981	1.185	1	study	Phase1	study/STIM_027.jpg
332.146	0.828	1	study	Phase1	study/STIM_027.jpg
335.132	1.029	1	study	Phase1	study/STIM_028.jpg
338.848	1.286	1	study	Phase1	study/STIM_028.jpg
342.505	0.874	1	study	Phase1	study/STIM_028.jpg
345.502	0.739	1	study	Phase1	study/STIM_029.jpg
349.431	0.748	1	study	Phase1	study/STIM_029.jpg
353.072	0.97	1	study	Phase1	study/STIM_029.jpg
356.984	0.88	1	test	Phase1	test/STIM_000.jpg
361.372	0.832	1	test	Phase1	test/STIM_000.jpg
365.838	0.935	1	test	Phase1	test/STIM_000.jpg
368.787	0.62	1	test	Phase1	test/STIM_001.jpg
372.229	0.73	1	test	Phase1	test/STIM_001.jpg
376.75	1.024	1	test	Phase1	test/STIM_001.jpg
381.156	0.654	1	test	Phase1	test/STIM_002.jpg
384.18	0.695	1	test	Phase1	test/STIM_002.jpg
388.536	0.566	1	test	Phase1	test/STIM_002.jpg
392.165	0.664	1	test	Phase1	test/STIM_003.jpg
395.429	0.842	1	test	Phase1	test/STIM_003.jpg
398.6	0.564	0	test	Phase1	test/STIM_003.jpg
402.969	0.696	1	test	Phase1	test/STIM_004.jpg
406.982	1.036	1	test	Phase1	test/STIM_004.jpg
411.152	0.877	1	test	Phase1	test/STIM_004.jpg
414.828	0.686	1	test	Phase1	test/STIM_005.jpg
419.168	0.961	1	test	Phase1	test/STIM_005.jpg
423.282	0.766	1	test	Phase1	test/STIM_005.jpg
428.009	0.621	1	test	Phase1	test/STIM_006.jpg
431.82	0.925	1	test	Phase1	test/STIM_006.jpg
436.062	0.805	1	test	Phase1	test/STIM_006.jpg
439.212	0.826	1	test	Phase1	test/STIM_007.jpg
443.914	0.971	1	test	Phase1	test/STIM_007.jpg
447.405	1.059	1	test	Phase1	test/STIM_007.jpg
451.159	0.526	1	test	Phase1	test/STIM_008.jpg
