onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
0.0	1.191	1190.8	study	Phase1	study/STIM_000.jpg	99
3.645	0.943	943.1	study	Phase1	study/STIM_000.jpg	99
7.604	1.023	1022.8	study	Phase1	study/STIM_000.jpg	99
12.298	0.77	770.3	study	Phase1	study/STIM_001.jpg	99
16.523	0.842	842.4	study	Phase1	study/STIM_001.jpg	99
19.388	0.887	887.0	study	Phase1	study/STIM_001.jpg	99
24.237	1.32	1319.8	study	Phase1	study/STIM_002.jpg	100
27.814	0.907	907.2	study	Phase1	study/STIM_002.jpg	100
32.079	1.112	1111.8	study	Phase1	study/STIM_002.jpg	99
36.139	1.556	1555.8	study	Phase1	study/STIM_003.jpg	100
41.553	1.607	1607.3	study	Phase1	study/STIM_003.jpg	99
46.428	1.183	1183.0	study	Phase1	study/STIM_003.jpg	100
49.969	0.956	955.8	study	Phase1	study/STIM_004.jpg	99
53.859	0.938	938.2	study	Phase1	study/STIM_004.jpg	100
58.715	1.29	1289.8	study	Phase1	study/STIM_004.jpg	99
63.504	0.933	933.1	study	Phase1	study/STIM_005.jpg	99
67.572	0.831	830.8	study	Phase1	study/STIM_005.jpg	100
71.517	1.388	1388.2	study	Phase1	study/STIM_005.jpg	100
76.32	1.062	1062.4	study	Phase1	study/STIM_006.jpg	100
80.006	1.522	1521.6	study	Phase1	study/STIM_006.jpg	99
85.445	1.261	1260.8	study	Phase1	study/STIM_006.jpg	100
90.503	1.338	1337.9	study	Phase1	study/STIM_007.jpg	100
94.839	1.279	1279.3	study	Phase1	study/STIM_007.jpg	100
99.871	0.934	934.1	study	Phase1	study/STIM_007.jpg	100
103.576	1.189	1189.3	study	Phase1	study/STIM_008.jpg	99
107.532	1.258	1257.7	study	Phase1	study/STIM_008.jpg	100
111.135	1.413	1412.9	study	Phase1	study/STIM_008.jpg	100
116.035	1.675	1675.3	study	Phase1	study/STIM_009.jpg	100
120.945	1.009	1009.4	study	Phase1	study/STIM_009.jpg	99
124.074	1.231	1231.2	study	Phase1	study/STIM_009.jpg	99
128.693	1.042	1042.1	study	Phase1	study/STIM_010.jpg	99
133.329	0.826	826.5	study	Phase1	study/STIM_010.jpg	100
138.096	1.452	1452.2	study	Phase1	study/STIM_010.jpg	99
142.442	1.0	1000.2	study	Phase1	study/STIM_011.jpg	100
147.023	1.492	1491.6	study	Phase1	study/STIM_011.jpg	99
150.697	0.76	760.1	study	Phase1	study/STIM_011.jpg	99
155.261	0.939	939.4	study	Phase1	study/STIM_012.jpg	100
159.199	0.967	966.9	study	Phase1	study/STIM_012.jpg	100
163.071	0.824	823.6	study	Phase1	study/STIM_012.jpg	100
167.237	0.893	892.8	study	Phase1	study/STIM_013.jpg	100
171.825	0.836	835.9	study	Phase1	study/STIM_013.jpg	100
176.616	0.74	739.8	study	Phase1	study/STIM_013.jpg	99
181.252	0.857	857.3	study	Phase1	study/STIM_014.jpg	100
185.058	0.876	876.5	study	Phase1	study/STIM_014.jpg	99
189.789	1.462	1462.0	study	Phase1	study/STIM_014.jpg	100
195.139	1.455	1454.7	study	Phase1	study/STIM_015.jpg	100
198.948	0.791	791.2	study	Phase1	study/STIM_015.jpg	99
203.717	1.088	1088.0	study	Phase1	study/STIM_015.jpg	99
207.88	1.633	1632.6	study	Phase1	study/STIM_016.jpg	100
213.436	1.29	1289.6	study	Phase1	study/STIM_016.jpg	99
216.853	0.96	960.5	study	Phase1	study/STIM_016.jpg	99
220.821	0.889	888.7	study	Phase1	study/STIM_017.jpg	99
224.237	1.619	1618.7	study	Phase1	study/STIM_017.jpg	100
228.204	1.139	1138.9	study	Phase1	study/STIM_017.jpg	100
231.564	1.654	1653.8	study	Phase1	study/STIM_018.jpg	99
235.562	0.877	876.6	study	Phase1	study/STIM_018.jpg	99
239.941	1.061	1061.2	study	Phase1	study/STIM_018.jpg	100
243.659	1.222	1222.0	study	Phase1	study/STIM_019.jpg	100
247.812	1.096	1096.0	study	Phase1	study/STIM_019.jpg	100
252.601	1.046	1046.2	study	Phase1	study/STIM_019.jpg	100
256.035	1.444	1443.7	study	Phase1	study/STIM_020.jpg	100
260.837	0.81	809.8	study	Phase1	study/STIM_020.jpg	99
264.867	1.189	1188.9	study	Phase1	study/STIM_020.jpg	100
269.388	0.788	788.1	study	Phase1	study/STIM_021.jpg	100
272.705	1.613	1613.1	study	Phase1	study/STIM_021.jpg	99
276.457	1.552	1551.5	study	Phase1	study/STIM_021.jpg	99
281.137	1.112	1112.4	study	Phase1	study/STIM_022.jpg	99
285.141	0.979	979.1	study	Phase1	study/STIM_022.jpg	100
289.997	0.841	841.3	study	Phase1	study/STIM_022.jpg	100
294.648	1.51	1509.9	study	Phase1	study/STIM_023.jpg	99
299.721	0.761	760.7	study	Phase1	study/STIM_023.jpg	99
304.344	1.516	1516.5	study	Phase1	study/STIM_023.jpg	100
308.761	1.371	1371.2	study	Phase1	study/STIM_024.jpg	99
313.067	1.318	1317.5	study	Phase1	study/STIM_024.jpg	100
317.487	0.81	810.2	study	Phase1	study/STIM_024.jpg	100
321.448	1.441	1441.4	study	Phase1	study/STIM_025.jpg	100
