onset	duration	accuracy	trial_type	learning_stage	stimulus
0.0	1.467	correct	study	Phase1	study/STIM_000.jpg
3.75	1.597	correct	study	Phase1	study/STIM_000.jpg
8.415	0.848	correct	study	Phase1	study/STIM_000.jpg
12.981	1.987	correct	study	Phase1	study/STIM_001.jpg
17.024	1.85	correct	study	Phase1	study/STIM_001.jpg
21.545	1.128	correct	study	Phase1	study/STIM_001.jpg
26.183	1.222	incorrect	study	Phase1	study/STIM_002.jpg
30.497	0.997	correct	study	Phase1	study/STIM_002.jpg
34.952	1.5	correct	study	Phase1	study/STIM_002.jpg
38.576	1.691	correct	study	Phase1	study/STIM_003.jpg
42.421	1.15	correct	study	Phase1	study/STIM_003.jpg
45.694	1.498	correct	study	Phase1	study/STIM_003.jpg
49.563	1.765	correct	study	Phase1	study/STIM_004.jpg
54.904	1.505	correct	study	Phase1	study/STIM_004.jpg
59.926	1.293	correct	study	Phase1	study/STIM_004.jpg
64.484	1.124	correct	study	Phase1	study/STIM_005.jpg
68.276	1.226	correct	study	Phase1	study/STIM_005.jpg
72.299	1.846	correct	study	Phase1	study/STIM_005.jpg
77.222	1.185	correct	study	Phase1	study/STIM_006.jpg
80.612	1.729	correct	study	Phase1	study/STIM_006.jpg
84.576	1.279	incorrect	study	Phase1	study/STIM_006.jpg
87.712	2.026	correct	study	Phase1	study/STIM_007.jpg
93.054	1.949	incorrect	study	Phase1	study/STIM_007.jpg
96.999	1.434	correct	study	Phase1	study/STIM_007.jpg
100.921	1.504	correct	study	Phase1	study/STIM_008.jpg
105.493	1.031	correct	study	Phase1	study/STIM_008.jpg
108.422	1.285	correct	study	Phase1	study/STIM_008.jpg
111.577	1.981	incorrect	study	Phase1	study/STIM_009.jpg
117.246	1.763	correct	study	Phase1	study/STIM_009.jpg
122.413	0.953	correct	study	Phase1	study/STIM_009.jpg
126.912	1.154	incorrect	study	Phase1	study/STIM_010.jpg
130.446	1.898	correct	study	Phase1	study/STIM_010.jpg
136.075	1.839	incorrect	study	Phase1	study/STIM_010.jpg
141.048	2.021	correct	study	Phase1	study/STIM_011.jpg
146.496	1.071	correct	study	Phase1	study/STIM_011.jpg
149.606	1.12	correct	study	Phase1	study/STIM_011.jpg
153.042	0.972	correct	study	Phase1	study/STIM_012.jpg
156.878	1.551	correct	study	Phase1	study/STIM_012.jpg
161.849	0.874	correct	study	Phase1	study/STIM_012.jpg
166.598	1.902	correct	study	Phase1	study/STIM_013.jpg
171.996	1.538	correct	study	Phase1	study/STIM_013.jpg
176.445	1.633	correct	study	Phase1	study/STIM_013.jpg
181.409	1.881	correct	study	Phase1	study/STIM_014.jpg
185.097	1.914	correct	study	Phase1	study/STIM_014.jpg
189.378	0.986	incorrect	study	Phase1	study/STIM_014.jpg
192.414	1.375	correct	study	Phase1	study/STIM_015.jpg
196.836	1.86	correct	study	Phase1	study/STIM_015.jpg
