participant_id	sex	age
sub-001	male	28.0
sub-002	female	25.4
sub-003	male	28.6
sub-004	female	32.1
sub-005	female	25.1
sub-006	male	25.1
n/a	n/a	n/a
sub-008	female	32.3
sub-009	female	29.1
sub-010	male	24.1
sub-011	male	28.2
sub-012	female	24.1
sub-013	female	24.1
n/a	n/a	n/a
sub-015	male	27.0
sub-016	non binary	18.3
n/a	n/a	n/a
n/a	n/a	n/a
sub-019	female	19.1
sub-020	female	23.8
sub-021	male	21.9
sub-022	male	27.3
sub-023	female	22.4
sub-024	male	20.4
sub-025	female	31.9
sub-026	male	25.1
n/a	n/a	n/a
sub-028	male	26.3
sub-029	female	26.5
sub-030	female	23.8
sub-031	female	26.4
sub-032	non binary	21.4
sub-033	female	27.5
n/a	n/a	n/a
sub-035	female	23.6
sub-036	female	24.8
sub-037	female	23.6
n/a	n/a	n/a
sub-039	female	33.4
sub-040	male	25.9
sub-041	male	21.8
sub-042	non binary	29.3
sub-043	male	21.1
sub-044	female	36.3
sub-045	male	18.2
n/a	n/a	n/a
n/a	n/a	n/a
n/a	n/a	n/a
sub-049	male	20.7
sub-050	female	36.2
sub-051	female	29.0
sub-052	female	26.7
n/a	n/a	n/a
sub-054	female	25.5
n/a	n/a	n/a
sub-056	female	24.8
n/a	n/a	n/a
n/a	n/a	n/a
sub-059	female	20.1
sub-060	male	23.1
n/a	n/a	n/a
sub-062	male	24.2
sub-063	female	30.2
sub-064	male	27.4
sub-065	male	18.9
sub-066	female	27.3
sub-067	female	24.5
sub-068	female	23.3
sub-069	female	28.4
sub-070	female	30.1
