onset	duration	trial_type	condition	block	trial	difficulty_level	expression	correct_answer	user_answer	response_time_ms	is_correct	is_timeout
0.0	4.977	FLOW_B	B	1	1	1	7 + 106	113	113.0	4977.1	1	0
9.017	2.964	FLOW_B	B	1	2	1	100 + 6	106	106.0	2964.2	1	0
16.031	3.284	FLOW_B	B	1	3	1	101 + 2	103	103.0	3283.8	1	0
23.369	5.497	FLOW_B	B	1	4	1	5 + 108	113	113.0	5496.6	1	0
32.881	4.428	FLOW_B	B	1	5	1	6 + 105	111	111.0	4427.7	1	0
41.314	4.852	FLOW_B	B	1	6	1	3 + 108	111	111.0	4852.2	1	0
50.209	2.844	FLOW_B	B	1	7	1	100 + 7	107	107.0	2843.8	1	0
57.094	4.455	FLOW_B	B	1	8	1	8 + 104	112	112.0	4454.6	1	0
65.602	2.387	FLOW_B	B	1	9	1	104 + 1	105	105.0	2387.0	1	0
72.039	2.087	FLOW_B	B	1	10	1	1 + 109	110	110.0	2087.3	1	0
78.13	2.389	FLOW_B	B	1	11	1	9 + 100	109	109.0	2389.4	1	0
84.575	2.866	FLOW_B	B	1	12	1	102 + 5	107	107.0	2866.2	1	0
91.494	2.258	FLOW_B	B	1	13	1	1 + 100	101	101.0	2257.5	1	0
97.796	4.539	FLOW_B	B	1	14	1	3 + 108	111	111.0	4539.0	1	0
106.336	2.442	FLOW_B	B	1	15	1	100 + 8	108	108.0	2442.2	1	0
112.784	3.466	FLOW_B	B	1	16	1	103 + 4	107	107.0	3466.3	1	0
120.301	3.218	FLOW_B	B	1	17	1	105 + 6	111	111.0	3217.9	1	0
127.571	3.489	FLOW_B	B	1	18	1	7 + 107	114	114.0	3488.8	1	0
135.098	2.171	FLOW_B	B	1	19	1	109 + 2	111	111.0	2171.2	1	0
141.323	2.636	FLOW_B	B	1	20	1	107 + 1	108	108.0	2636.0	1	0
147.964	2.575	FLOW_B	B	1	21	1	5 + 101	106	106.0	2575.1	1	0
154.54	2.454	FLOW_B	B	1	22	1	9 + 102	111	111.0	2453.6	1	0
160.996	4.725	FLOW_B	B	1	23	1	107 + 4	111	111.0	4724.6	1	0
169.776	0.234	FLOW_B	B	1	24	1	6 + 100	106	n/a	234.3	0	1
206.443	17.7	FLOW_F	F	2	1	5	7 + 38 + 107 + 70	222	224.0	17700.1	0	0
228.187	18.019	FLOW_F	F	2	2	5	13 + 109 + 74 + 7	203	n/a	18019.2	0	1
250.223	7.824	FLOW_F	F	2	3	4	98 + 100 + 12	210	210.0	7824.2	1	0
262.049	14.493	FLOW_F	F	2	4	4	86 + 109 + 84	279	279.0	14493.2	1	0
280.576	8.537	FLOW_F	F	2	5	5	3 + 100 + 76 + 74	253	253.0	8537.1	1	0
293.162	18.016	FLOW_F	F	2	6	5	103 + 73 + 27 + 6	209	n/a	18016.0	0	1
315.223	17.422	FLOW_F	F	2	7	5	8 + 89 + 106 + 12	215	215.0	17422.1	1	0
336.689	11.787	FLOW_F	F	2	8	5	2 + 101 + 89 + 30	222	222.0	11787.3	1	0
