sub	ses	block_number	n_go	n_nogo	n_total
sub-001	ses-01	1	18	0	18
sub-001	ses-01	2	14	4	18
sub-001	ses-01	3	18	0	18
sub-001	ses-01	4	48	12	60
sub-001	ses-01	5	48	12	60
sub-001	ses-01	6	18	0	18
sub-001	ses-01	7	48	12	60
sub-001	ses-01	8	48	12	60
sub-001	ses-01	9	18	0	18
sub-001	ses-01	10	48	12	60
sub-001	ses-01	11	48	12	60
sub-001	ses-01	12	18	0	18
sub-001	ses-01	13	48	12	60
sub-001	ses-01	14	48	12	60
sub-001	ses-01	15	18	0	18
sub-001	ses-02	1	18	0	18
sub-001	ses-02	2	14	4	18
sub-001	ses-02	3	18	0	18
sub-001	ses-02	4	48	12	60
sub-001	ses-02	5	48	12	60
sub-001	ses-02	6	18	0	18
sub-001	ses-02	7	48	12	60
sub-001	ses-02	8	48	12	60
sub-001	ses-02	9	18	0	18
sub-001	ses-02	10	48	12	60
sub-001	ses-02	11	48	12	60
sub-001	ses-02	12	18	0	18
sub-001	ses-02	13	48	12	60
sub-001	ses-02	14	48	12	60
sub-001	ses-02	15	18	0	18
sub-002	ses-01	1	18	0	18
sub-002	ses-01	2	14	4	18
sub-002	ses-01	3	18	0	18
sub-002	ses-01	4	48	12	60
sub-002	ses-01	5	48	12	60
sub-002	ses-01	6	18	0	18
sub-002	ses-01	7	48	12	60
sub-002	ses-01	8	48	12	60
sub-002	ses-01	9	18	0	18
sub-002	ses-01	10	48	12	60
sub-002	ses-01	11	48	12	60
sub-002	ses-01	12	18	0	18
sub-002	ses-01	13	48	12	60
sub-002	ses-01	14	48	12	60
sub-002	ses-01	15	18	0	18
sub-003	ses-01	1	18	0	18
sub-003	ses-01	2	14	4	18
sub-003	ses-01	3	18	0	18
sub-003	ses-01	4	48	12	60
sub-003	ses-01	5	48	12	60
sub-003	ses-01	6	18	0	18
sub-003	ses-01	7	48	12	60
sub-003	ses-01	8	48	12	60
sub-003	ses-01	9	18	0	18
sub-003	ses-01	10	48	12	60
sub-003	ses-01	11	48	12	60
sub-003	ses-01	12	18	0	18
sub-003	ses-01	13	48	12	60
sub-003	ses-01	14	48	12	60
sub-003	ses-01	15	18	0	18
sub-003	ses-02	1	18	0	18
sub-003	ses-02	2	14	4	18
sub-003	ses-02	3	18	0	18
sub-003	ses-02	4	48	12	60
sub-003	ses-02	5	48	12	60
sub-003	ses-02	6	18	0	18
sub-003	ses-02	7	48	12	60
sub-003	ses-02	8	48	12	60
sub-003	ses-02	9	18	0	18
sub-003	ses-02	10	48	12	60
sub-003	ses-02	11	48	12	60
sub-003	ses-02	12	18	0	18
sub-003	ses-02	13	48	12	60
sub-003	ses-02	14	48	12	60
sub-003	ses-02	15	18	0	18
sub-004	ses-01	1	18	0	18
sub-004	ses-01	2	14	4	18
sub-004	ses-01	3	18	0	18
sub-004	ses-01	4	48	12	60
sub-004	ses-01	5	48	12	60
sub-004	ses-01	6	18	0	18
sub-004	ses-01	7	48	12	60
sub-004	ses-01	8	48	12	60
sub-004	ses-01	9	18	0	18
sub-004	ses-01	10	48	12	60
sub-004	ses-01	11	48	12	60
sub-004	ses-01	12	18	0	18
sub-004	ses-01	13	48	12	60
sub-004	ses-01	14	48	12	60
sub-004	ses-01	15	18	0	18
sub-005	ses-01	1	18	0	18
sub-005	ses-01	2	14	4	18
sub-005	ses-01	3	18	0	18
sub-005	ses-01	4	48	12	60
sub-005	ses-01	5	48	12	60
sub-005	ses-01	6	18	0	18
sub-005	ses-01	7	48	12	60
sub-005	ses-01	8	48	12	60
sub-005	ses-01	9	18	0	18
sub-005	ses-01	10	48	12	60
sub-005	ses-01	11	48	12	60
sub-005	ses-01	12	18	0	18
sub-005	ses-01	13	48	12	60
sub-005	ses-01	14	48	12	60
sub-005	ses-01	15	18	0	18
sub-005	ses-02	1	18	0	18
sub-005	ses-02	2	14	4	18
sub-005	ses-02	3	18	0	18
sub-005	ses-02	4	48	12	60
sub-005	ses-02	5	48	12	60
sub-005	ses-02	6	18	0	18
sub-005	ses-02	7	48	12	60
sub-005	ses-02	8	48	12	60
sub-005	ses-02	9	18	0	18
sub-005	ses-02	10	48	12	60
sub-005	ses-02	11	48	12	60
sub-005	ses-02	12	18	0	18
sub-005	ses-02	13	48	12	60
sub-005	ses-02	14	48	12	60
sub-005	ses-02	15	18	0	18
sub-006	ses-01	1	18	0	18
sub-006	ses-01	2	14	4	18
sub-006	ses-01	3	18	0	18
sub-006	ses-01	4	48	12	60
sub-006	ses-01	5	48	12	60
sub-006	ses-01	6	18	0	18
sub-006	ses-01	7	48	12	60
sub-006	ses-01	8	48	12	60
sub-006	ses-01	9	18	0	18
sub-006	ses-01	10	48	12	60
sub-006	ses-01	11	48	12	60
sub-006	ses-01	12	18	0	18
sub-006	ses-01	13	48	12	60
sub-006	ses-01	14	48	12	60
sub-006	ses-01	15	18	0	18
sub-006	ses-02	1	18	0	18
sub-006	ses-02	2	14	4	18
sub-006	ses-02	3	18	0	18
sub-006	ses-02	4	48	12	60
sub-006	ses-02	5	48	12	60
sub-006	ses-02	6	18	0	18
sub-006	ses-02	7	48	12	60
sub-006	ses-02	8	48	12	60
sub-006	ses-02	9	18	0	18
sub-006	ses-02	10	48	12	60
sub-006	ses-02	11	48	12	60
sub-006	ses-02	12	18	0	18
sub-006	ses-02	13	48	12	60
sub-006	ses-02	14	48	12	60
sub-006	ses-02	15	18	0	18
sub-007	ses-01	1	18	0	18
sub-007	ses-01	2	14	4	18
sub-007	ses-01	3	18	0	18
sub-007	ses-01	4	48	12	60
sub-007	ses-01	5	48	12	60
sub-007	ses-01	6	18	0	18
sub-007	ses-01	7	48	12	60
sub-007	ses-01	8	48	12	60
sub-007	ses-01	9	18	0	18
sub-007	ses-01	10	48	12	60
sub-007	ses-01	11	48	12	60
sub-007	ses-01	12	18	0	18
sub-007	ses-01	13	48	12	60
sub-007	ses-01	14	48	12	60
sub-007	ses-01	15	18	0	18
sub-007	ses-02	1	18	0	18
sub-007	ses-02	2	14	4	18
sub-007	ses-02	3	18	0	18
sub-007	ses-02	4	48	12	60
sub-007	ses-02	5	48	12	60
sub-007	ses-02	6	18	0	18
sub-007	ses-02	7	48	12	60
sub-007	ses-02	8	48	12	60
sub-007	ses-02	9	18	0	18
sub-007	ses-02	10	48	12	60
sub-007	ses-02	11	48	12	60
sub-007	ses-02	12	18	0	18
sub-007	ses-02	13	48	12	60
sub-007	ses-02	14	48	12	60
sub-007	ses-02	15	18	0	18
sub-008	ses-01	1	18	0	18
sub-008	ses-01	2	14	4	18
sub-008	ses-01	3	18	0	18
sub-008	ses-01	4	48	12	60
sub-008	ses-01	5	48	12	60
sub-008	ses-01	6	18	0	18
sub-008	ses-01	7	48	12	60
sub-008	ses-01	8	48	12	60
sub-008	ses-01	9	18	0	18
sub-008	ses-01	10	48	12	60
sub-008	ses-01	11	48	12	60
sub-008	ses-01	12	18	0	18
sub-008	ses-01	13	48	12	60
sub-008	ses-01	14	48	12	60
sub-008	ses-01	15	18	0	18
sub-008	ses-02	1	18	0	18
sub-008	ses-02	2	14	4	18
sub-008	ses-02	3	18	0	18
sub-008	ses-02	4	48	12	60
sub-008	ses-02	5	48	12	60
sub-008	ses-02	6	18	0	18
sub-008	ses-02	7	48	12	60
sub-008	ses-02	8	48	12	60
sub-008	ses-02	9	18	0	18
sub-008	ses-02	10	48	12	60
sub-008	ses-02	11	48	12	60
sub-008	ses-02	12	18	0	18
sub-008	ses-02	13	48	12	60
sub-008	ses-02	14	48	12	60
sub-008	ses-02	15	18	0	18
sub-009	ses-01	1	18	0	18
sub-009	ses-01	2	14	4	18
sub-009	ses-01	3	18	0	18
sub-009	ses-01	4	48	12	60
sub-009	ses-01	5	48	12	60
sub-009	ses-01	6	18	0	18
sub-009	ses-01	7	48	12	60
sub-009	ses-01	8	48	12	60
sub-009	ses-01	9	18	0	18
sub-009	ses-01	10	48	12	60
sub-009	ses-01	11	48	12	60
sub-009	ses-01	12	18	0	18
sub-009	ses-01	13	48	12	60
sub-009	ses-01	14	48	12	60
sub-009	ses-01	15	18	0	18
sub-009	ses-02	1	18	0	18
sub-009	ses-02	2	14	4	18
sub-009	ses-02	3	18	0	18
sub-009	ses-02	4	48	12	60
sub-009	ses-02	5	48	12	60
sub-009	ses-02	6	18	0	18
sub-009	ses-02	7	48	12	60
sub-009	ses-02	8	48	12	60
sub-009	ses-02	9	18	0	18
sub-009	ses-02	10	48	12	60
sub-009	ses-02	11	48	12	60
sub-009	ses-02	12	18	0	18
sub-009	ses-02	13	48	12	60
sub-009	ses-02	14	48	12	60
sub-009	ses-02	15	18	0	18
sub-010	ses-01	1	18	0	18
sub-010	ses-01	2	14	4	18
sub-010	ses-01	3	18	0	18
sub-010	ses-01	4	48	12	60
sub-010	ses-01	5	48	12	60
sub-010	ses-01	6	18	0	18
sub-010	ses-01	7	48	12	60
sub-010	ses-01	8	48	12	60
sub-010	ses-01	9	18	0	18
sub-010	ses-01	10	48	12	60
sub-010	ses-01	11	48	12	60
sub-010	ses-01	12	18	0	18
sub-010	ses-01	13	48	12	60
sub-010	ses-01	14	48	12	60
sub-010	ses-01	15	18	0	18
sub-010	ses-02	1	18	0	18
sub-010	ses-02	2	14	4	18
sub-010	ses-02	3	18	0	18
sub-010	ses-02	4	48	12	60
sub-010	ses-02	5	48	12	60
sub-010	ses-02	6	18	0	18
sub-010	ses-02	7	48	12	60
sub-010	ses-02	8	48	12	60
sub-010	ses-02	9	18	0	18
sub-010	ses-02	10	48	12	60
sub-010	ses-02	11	48	12	60
sub-010	ses-02	12	18	0	18
sub-010	ses-02	13	48	12	60
sub-010	ses-02	14	48	12	60
sub-010	ses-02	15	18	0	18
sub-011	ses-01	1	18	0	18
sub-011	ses-01	2	14	4	18
sub-011	ses-01	3	18	0	18
sub-011	ses-01	4	48	12	60
sub-011	ses-01	5	48	12	60
sub-011	ses-01	6	18	0	18
sub-011	ses-01	7	48	12	60
sub-011	ses-01	8	48	12	60
sub-011	ses-01	9	18	0	18
sub-011	ses-01	10	48	12	60
sub-011	ses-01	11	48	12	60
sub-011	ses-01	12	18	0	18
sub-011	ses-01	13	48	12	60
sub-011	ses-01	14	48	12	60
sub-011	ses-01	15	18	0	18
sub-011	ses-02	1	18	0	18
sub-011	ses-02	2	14	4	18
sub-011	ses-02	3	18	0	18
sub-011	ses-02	4	48	12	60
sub-011	ses-02	5	48	12	60
sub-011	ses-02	6	18	0	18
sub-011	ses-02	7	48	12	60
sub-011	ses-02	8	48	12	60
sub-011	ses-02	9	18	0	18
sub-011	ses-02	10	48	12	60
sub-011	ses-02	11	48	12	60
sub-011	ses-02	12	18	0	18
sub-011	ses-02	13	48	12	60
sub-011	ses-02	14	48	12	60
sub-011	ses-02	15	18	0	18
sub-012	ses-01	1	18	0	18
sub-012	ses-01	2	14	4	18
sub-012	ses-01	3	18	0	18
sub-012	ses-01	4	48	12	60
sub-012	ses-01	5	48	12	60
sub-012	ses-01	6	18	0	18
sub-012	ses-01	7	48	12	60
sub-012	ses-01	8	48	12	60
sub-012	ses-01	9	18	0	18
sub-012	ses-01	10	48	12	60
sub-012	ses-01	11	48	12	60
sub-012	ses-01	12	18	0	18
sub-012	ses-01	13	48	12	60
sub-012	ses-01	14	48	12	60
sub-012	ses-01	15	18	0	18
sub-012	ses-02	1	18	0	18
sub-012	ses-02	2	14	4	18
sub-012	ses-02	3	18	0	18
sub-012	ses-02	4	48	12	60
sub-012	ses-02	5	48	12	60
sub-012	ses-02	6	18	0	18
sub-012	ses-02	7	48	12	60
sub-012	ses-02	8	48	12	60
sub-012	ses-02	9	18	0	18
sub-012	ses-02	10	48	12	60
sub-012	ses-02	11	48	12	60
sub-012	ses-02	12	18	0	18
sub-012	ses-02	13	48	12	60
sub-012	ses-02	14	48	12	60
sub-012	ses-02	15	18	0	18
sub-013	ses-01	1	18	0	18
sub-013	ses-01	2	14	4	18
sub-013	ses-01	3	18	0	18
sub-013	ses-01	4	48	12	60
sub-013	ses-01	5	48	12	60
sub-013	ses-01	6	18	0	18
sub-013	ses-01	7	48	12	60
sub-013	ses-01	8	48	12	60
sub-013	ses-01	9	18	0	18
sub-013	ses-01	10	48	12	60
sub-013	ses-01	11	48	12	60
sub-013	ses-01	12	18	0	18
sub-013	ses-01	13	48	12	60
sub-013	ses-01	14	48	12	60
sub-013	ses-01	15	18	0	18
sub-013	ses-02	1	18	0	18
sub-013	ses-02	2	14	4	18
sub-013	ses-02	3	18	0	18
sub-013	ses-02	4	48	12	60
sub-013	ses-02	5	48	12	60
sub-013	ses-02	6	18	0	18
sub-013	ses-02	7	48	12	60
sub-013	ses-02	8	48	12	60
sub-013	ses-02	9	18	0	18
sub-013	ses-02	10	48	12	60
sub-013	ses-02	11	48	12	60
sub-013	ses-02	12	18	0	18
sub-013	ses-02	13	48	12	60
sub-013	ses-02	14	48	12	60
sub-013	ses-02	15	18	0	18
sub-014	ses-01	1	18	0	18
sub-014	ses-01	2	14	4	18
sub-014	ses-01	3	18	0	18
sub-014	ses-01	4	48	12	60
