sub	ses	n_go	go_accuracy
sub-025	ses-01	456	0.4474
sub-017	ses-02	456	0.8728
sub-019	ses-01	456	0.8750
sub-017	ses-01	456	0.8947
sub-019	ses-02	456	0.9189
sub-007	ses-01	456	0.9232
sub-008	ses-01	456	0.9254
sub-013	ses-01	456	0.9254
sub-011	ses-02	456	0.9320
sub-024	ses-01	456	0.9320
sub-011	ses-01	456	0.9342
sub-012	ses-01	456	0.9430
sub-023	ses-01	456	0.9452
sub-025	ses-02	456	0.9452
sub-013	ses-02	456	0.9474
sub-014	ses-02	456	0.9474
sub-005	ses-02	456	0.9496
sub-014	ses-01	456	0.9496
sub-005	ses-01	456	0.9561
sub-023	ses-02	456	0.9561
sub-003	ses-01	456	0.9583
sub-022	ses-01	456	0.9583
sub-015	ses-02	456	0.9605
sub-024	ses-02	456	0.9605
sub-009	ses-01	456	0.9627
sub-018	ses-02	456	0.9627
sub-021	ses-01	456	0.9627
sub-018	ses-01	456	0.9649
sub-021	ses-02	456	0.9649
sub-007	ses-02	456	0.9671
sub-009	ses-02	456	0.9671
sub-015	ses-01	456	0.9693
sub-001	ses-02	456	0.9715
sub-002	ses-01	456	0.9715
sub-003	ses-02	456	0.9715
sub-004	ses-01	456	0.9715
sub-010	ses-01	456	0.9715
sub-006	ses-01	456	0.9737
sub-022	ses-02	456	0.9737
sub-020	ses-01	456	0.9759
sub-008	ses-02	456	0.9781
sub-012	ses-02	456	0.9803
sub-001	ses-01	456	0.9825
sub-010	ses-02	456	0.9825
sub-016	ses-02	456	0.9825
sub-020	ses-02	456	0.9825
sub-026	ses-01	456	0.9846
sub-016	ses-01	456	0.9868
sub-006	ses-02	456	0.9890
sub-026	ses-02	456	0.9890
