trial_index	trial_type	block_number	mean_velocity
55	go	4	729.524693
56	go	4	629.786904
57	go	4	740.653054
58	nogo	4	522.680730
59	go	4	685.789936
60	go	4	775.502988
61	nogo	4	545.771151
62	go	4	731.551230
63	go	4	654.970701
64	nogo	4	436.390757
65	go	4	645.813739
66	go	4	728.452306
67	go	4	630.809134
68	nogo	4	459.367227
69	go	4	585.458602
70	go	4	524.742148
71	go	4	638.524515
72	nogo	4	724.565498
73	go	4	537.335721
74	nogo	4	816.717127
75	go	4	674.861161
76	go	4	467.182637
77	go	4	581.417666
78	go	4	689.457386
79	go	4	642.877373
80	nogo	4	530.014777
81	go	4	781.645915
82	nogo	4	520.595408
83	go	4	609.206090
84	nogo	4	428.632154
85	go	4	677.305044
86	nogo	4	338.811143
87	go	4	522.515873
88	go	4	630.016191
89	go	4	567.353164
90	go	4	645.649682
91	go	4	673.660137
92	go	4	711.905271
93	go	4	670.107733
94	go	4	858.595337
95	go	4	708.101308
96	nogo	4	372.336238
97	go	4	646.449934
98	go	4	537.095956
99	go	4	664.890789
100	go	4	722.563702
101	go	4	n/a
102	go	4	600.104099
103	go	4	664.086534
104	nogo	4	721.884259
105	go	4	580.605678
106	go	4	683.459134
107	go	4	783.206275
108	go	4	578.267647
109	go	4	509.551999
110	go	4	566.950900
111	go	4	604.195049
112	go	4	707.643298
113	go	4	596.419899
114	go	4	1020.126793
115	nogo	5	931.800768
116	go	5	740.484930
117	go	5	782.440939
118	go	5	683.089486
119	go	5	636.271643
120	go	5	629.226974
121	go	5	674.741082
122	go	5	444.087542
123	nogo	5	820.953081
124	go	5	579.218828
125	go	5	761.205618
126	nogo	5	615.641922
127	go	5	673.158137
128	go	5	598.756205
129	nogo	5	890.709669
130	go	5	676.296125
131	go	5	724.173477
132	go	5	883.694099
133	go	5	824.729690
134	go	5	728.076695
135	go	5	517.119775
136	go	5	558.221751
137	go	5	716.847759
138	nogo	5	655.206906
139	go	5	875.847848
140	go	5	744.167368
141	go	5	734.806914
142	go	5	765.675121
143	go	5	687.201691
144	nogo	5	779.105682
145	go	5	699.815194
146	go	5	783.869648
147	nogo	5	883.704064
148	go	5	n/a
149	go	5	658.844477
150	go	5	430.606331
151	go	5	821.195624
152	go	5	608.928037
153	nogo	5	704.142907
154	go	5	772.014218
155	go	5	689.229321
156	go	5	829.892724
157	go	5	531.870307
158	nogo	5	578.094556
159	go	5	702.694827
160	go	5	787.690627
161	go	5	643.934782
162	go	5	511.931809
163	go	5	653.484641
164	go	5	874.426685
165	go	5	755.070382
166	nogo	5	822.663089
167	go	5	786.495768
168	go	5	577.260422
169	go	5	864.908079
170	go	5	713.569676
171	nogo	5	432.318239
172	go	5	560.535062
173	go	5	498.679220
174	nogo	5	603.099250
193	go	7	905.030516
194	nogo	7	552.364703
195	go	7	548.183184
196	go	7	641.452112
197	go	7	529.773758
198	go	7	540.757203
199	go	7	485.381710
200	go	7	721.924684
201	go	7	807.659862
202	go	7	n/a
203	go	7	552.743005
204	nogo	7	612.185670
205	go	7	546.263734
206	nogo	7	658.340030
207	go	7	667.328030
208	nogo	7	538.445619
209	go	7	705.073429
210	go	7	531.866526
211	go	7	665.709401
212	go	7	622.823580
213	nogo	7	749.696380
214	go	7	524.945111
215	go	7	n/a
216	go	7	632.778736
217	go	7	620.105648
218	nogo	7	471.519884
219	go	7	639.867727
220	go	7	539.017159
221	go	7	521.712131
222	nogo	7	763.915546
223	go	7	568.813071
224	go	7	720.140540
225	nogo	7	624.058598
226	go	7	636.438540
227	go	7	662.103592
228	go	7	695.182083
229	go	7	540.842761
230	go	7	606.909671
231	go	7	705.424038
232	go	7	886.046134
233	go	7	663.980551
234	go	7	568.193638
235	go	7	764.433022
236	go	7	680.472459
237	go	7	634.376224
238	nogo	7	682.854094
239	go	7	549.337420
240	go	7	498.500407
241	go	7	645.861234
242	go	7	801.311612
243	nogo	7	937.321797
244	go	7	530.407622
245	go	7	n/a
