trial_index	trial_type	block_number	mean_acceleration
55	go	4	n/a
56	go	4	31257.478753
57	go	4	n/a
58	nogo	4	16330.792616
59	go	4	35313.785819
60	go	4	50197.114432
61	go	4	46357.762579
62	nogo	4	24239.012181
63	go	4	42443.466459
64	go	4	28103.547629
65	nogo	4	24425.988444
66	go	4	23745.314646
67	nogo	4	16067.753706
68	go	4	33759.316287
69	go	4	33110.997867
70	go	4	29135.100617
71	nogo	4	16218.684623
72	go	4	21728.600550
73	go	4	31806.204040
74	go	4	56617.529944
75	nogo	4	41220.562727
76	go	4	41174.837443
77	nogo	4	20518.559534
78	go	4	n/a
79	go	4	22856.522104
80	go	4	48309.924501
81	go	4	33793.582320
82	nogo	4	23143.509782
83	go	4	35938.845483
84	go	4	20809.494921
85	go	4	35454.593822
86	go	4	42600.454428
87	go	4	43878.181179
88	go	4	31503.303470
89	go	4	44162.514208
90	go	4	71937.378255
91	go	4	n/a
92	go	4	27685.261857
93	nogo	4	33180.069068
94	go	4	30978.524948
95	nogo	4	18268.054149
96	go	4	n/a
97	go	4	28847.143368
98	go	4	30785.274897
99	go	4	34583.160807
100	nogo	4	28094.713435
101	go	4	30884.673793
102	go	4	25965.081405
103	go	4	48263.981030
104	go	4	28032.767663
105	go	4	27368.322037
106	go	4	49516.106814
107	go	4	33453.953039
108	go	4	n/a
109	go	4	21369.091082
110	go	4	33935.211018
111	nogo	4	27334.411016
112	go	4	n/a
113	go	4	56038.061423
114	go	4	38022.082609
115	go	5	32933.378862
116	go	5	35373.166894
117	go	5	49087.273024
118	go	5	54968.018618
119	go	5	42879.672622
120	go	5	61792.280993
121	nogo	5	27344.292048
122	go	5	27303.928983
123	nogo	5	37949.588569
124	go	5	34341.171840
125	go	5	34655.557823
126	go	5	52246.782905
127	go	5	45494.676273
128	go	5	32370.869820
129	go	5	n/a
130	go	5	31550.220403
131	go	5	34073.706911
132	go	5	54357.087206
133	nogo	5	34045.377379
134	go	5	40652.874001
135	go	5	34916.585508
136	go	5	45832.127584
137	nogo	5	36686.842710
138	go	5	29812.653129
139	nogo	5	24835.987582
140	go	5	27083.440550
141	nogo	5	25812.980159
142	go	5	44037.788851
143	go	5	58729.476172
144	go	5	16106.605307
145	go	5	44900.157335
146	go	5	39168.252351
147	go	5	46892.090832
148	go	5	60188.335225
149	nogo	5	42214.576403
150	go	5	47682.582555
151	go	5	34542.382621
152	go	5	39961.102146
153	go	5	37302.421400
154	go	5	33722.496468
155	go	5	46676.126806
156	nogo	5	19501.127729
157	go	5	47639.041545
158	nogo	5	n/a
159	go	5	16977.007922
160	go	5	30489.427839
161	go	5	31952.285265
162	nogo	5	14620.789514
163	go	5	37443.811870
164	nogo	5	27546.631150
165	go	5	60048.793352
166	go	5	25402.626971
167	go	5	25838.341301
168	go	5	44820.970824
169	nogo	5	19973.827930
170	go	5	41036.476457
171	go	5	28319.061589
172	go	5	36960.362961
173	go	5	20499.824851
174	go	5	34698.140016
193	nogo	7	28505.008514
194	go	7	n/a
195	nogo	7	31064.952478
196	go	7	41025.657283
197	go	7	45233.132121
198	go	7	26259.423337
199	go	7	51316.169397
200	go	7	35452.478381
201	go	7	78871.687141
202	go	7	48786.498317
203	nogo	7	24677.710096
204	go	7	22566.547874
205	go	7	49611.074272
206	go	7	33786.819960
207	nogo	7	28405.281101
208	go	7	36067.841022
209	go	7	44138.095710
210	go	7	33896.579525
211	go	7	18625.255174
212	go	7	24183.398217
213	go	7	58813.004296
214	go	7	38044.126453
215	nogo	7	16154.836401
216	go	7	48711.837579
217	go	7	44560.893532
218	go	7	51262.922536
219	go	7	31817.794963
220	go	7	44980.630489
221	nogo	7	n/a
222	go	7	28482.028987
223	go	7	31808.807806
224	go	7	56149.305145
225	go	7	34045.180818
226	nogo	7	n/a
227	go	7	50273.088076
228	go	7	n/a
229	go	7	23346.139425
230	nogo	7	n/a
231	go	7	55760.198972
232	go	7	33367.307855
233	go	7	21626.081404
234	go	7	40333.193060
235	go	7	33659.884058
236	go	7	52816.129049
237	go	7	31676.284239
238	go	7	40067.725388
239	go	7	33948.528846
240	go	7	33952.622898
241	nogo	7	36648.892405
242	go	7	69988.129797
243	nogo	7	29715.925201
244	go	7	40198.370699
245	nogo	7	28311.713035
246	go	7	32800.726504
247	go	7	18986.977939
248	go	7	44607.831243
249	go	7	44784.228300
250	go	7	39630.048270
251	go	7	25430.512918
252	nogo	7	38249.074913
253	nogo	8	34403.421066
254	go	8	42613.775299
255	go	8	43842.617458
256	go	8	47044.398887
257	go	8	n/a
258	go	8	22379.981132
259	go	8	n/a
260	go	8	32684.213309
261	nogo	8	32052.810275
262	go	8	67922.353963
263	go	8	24176.559198
264	go	8	48418.623997
265	go	8	72045.773147
266	go	8	n/a
267	nogo	8	30026.563800
268	go	8	43994.518008
269	go	8	33609.524497
270	go	8	61144.162245
271	go	8	45817.317696
272	go	8	43866.424710
273	go	8	54806.632721
274	nogo	8	28223.531870
275	go	8	36440.219167
276	nogo	8	37680.673677
277	go	8	48915.064702
278	go	8	49241.046174
279	go	8	31958.269537
280	go	8	n/a
281	go	8	45572.595769
282	go	8	43787.511728
283	nogo	8	24158.660657
284	go	8	41692.142984
285	go	8	57723.932434
286	go	8	42157.557178
287	go	8	33596.964720
288	go	8	n/a
289	nogo	8	23355.102945
290	go	8	9587.603355
291	go	8	31111.878390
292	go	8	41026.513902
293	go	8	28700.900560
294	go	8	33762.585859
295	nogo	8	35219.324469
296	go	8	49118.276154
297	go	8	77789.777215
298	go	8	49866.261207
299	go	8	45681.670235
300	go	8	50963.598383
301	go	8	53896.849406
302	nogo	8	24716.945973
303	go	8	50975.210556
304	nogo	8	24868.220697
305	go	8	51435.271988
306	nogo	8	n/a
307	go	8	59077.338414
308	nogo	8	30650.929396
309	go	8	48032.308603
310	go	8	52069.545690
311	go	8	40746.078937
312	go	8	31673.402365
331	go	10	36748.286435
332	go	10	n/a
333	go	10	24269.625586
334	go	10	39208.889941
335	go	10	33899.321372
336	go	10	44225.262216
337	go	10	26048.598629
338	go	10	23667.763059
339	go	10	22274.198368
340	nogo	10	22187.643153
341	go	10	27458.501208
342	go	10	38770.558571
343	go	10	33288.974625
344	nogo	10	31256.215685
345	go	10	43467.819001
346	go	10	40011.262756
347	go	10	51203.397866
348	go	10	73102.028970
349	go	10	18173.168667
350	go	10	21152.126870
351	go	10	30128.970246
352	nogo	10	27106.530482
353	go	10	19633.390199
354	go	10	31476.499923
355	nogo	10	n/a
356	go	10	37908.523150
357	nogo	10	21556.179610
358	go	10	49184.702201
359	nogo	10	62989.728869
360	go	10	39211.732056
361	go	10	39365.032268
362	go	10	67491.505074
363	nogo	10	30967.741553
364	go	10	53720.860878
365	nogo	10	29900.142559
366	go	10	29181.763882
367	go	10	19522.573572
368	go	10	46435.886444
369	go	10	n/a
370	go	10	61757.560971
371	go	10	n/a
372	go	10	46939.095073
373	go	10	31088.246689
374	go	10	32885.614713
375	go	10	33393.425638
376	go	10	40265.251001
377	nogo	10	41578.851863
378	go	10	46563.256371
379	go	10	46735.272373
380	nogo	10	n/a
381	go	10	26470.547342
382	nogo	10	22224.278948
383	go	10	27373.041336
384	go	10	36587.050329
385	go	10	28054.252652
386	go	10	44843.455111
387	nogo	10	30079.484649
388	go	10	37808.963220
