trial_index	block_number	block_type	is_practice	trials_count	digit	trial_type	correct_response	mouse_resp.x	mouse_resp.y	mouse_resp.leftButton	mouse_resp.midButton	mouse_resp.rightButton	mouse_resp.time	click_pos_x	click_pos_y	iti_duration	participant
1	1	go_only	1	18	6	go	click	[43.0, 43.0, 49.0, 60.0, 70.0, 81.0, 90.0, 98.0, 107.0, 113.0, 120.0, 127.0, 131.0, 137.0, 141.0, 143.0, 147.0, 150.0, 154.0, 157.0, 161.0, 163.0, 167.0, 172.0, 173.0, 176.0, 179.0, 183.0, 185.0, 187.0, 188.0, 188.0, 188.0, 188.0, 188.0, 188.0, 188.0]	[-270.0, -270.0, -257.0, -230.0, -204.0, -179.0, -156.0, -131.0, -101.0, -80.0, -59.0, -36.0, -15.0, 4.0, 21.0, 38.0, 55.0, 70.0, 87.0, 106.0, 138.0, 149.0, 182.0, 201.0, 219.0, 238.0, 251.0, 262.0, 273.0, 281.0, 285.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.0001996000064536929, 0.007868300002883188, 0.02458670000487473, 0.04147910000756383, 0.05777270000544377, 0.07470160000957549, 0.09154300000227522, 0.10803770000347868, 0.12467930000275373, 0.14133179999771528, 0.15763270000752527, 0.17470220000541303, 0.19201680000696797, 0.2079541999992216, 0.22476100000494625, 0.2413139999989653, 0.2583130999992136, 0.27455670000927057, 0.2912749000097392, 0.30844740000611637, 0.3246089000022039, 0.3417914000019664, 0.35820909999893047, 0.3750754000066081, 0.3912548000080278, 0.4079063999961363, 0.4245132000069134, 0.44113400000787806, 0.45766339999681804, 0.474785400001565, 0.49119440000504255, 0.5075502999970922, 0.5243076000042493, 0.5410265999962576, 0.5578627000068082, 0.5746244000038132, 0.5916068000078667]	188.0	286.0	0.5	16b
2	1	go_only	1	18	2	go	click	[41.0, 41.0, 46.0, 56.0, 71.0, 84.0, 99.0, 113.0, 119.0, 124.0, 131.0, 138.0, 143.0, 147.0, 150.0, 154.0, 157.0, 162.0, 166.0, 169.0, 175.0, 178.0, 179.0, 182.0, 184.0, 186.0, 188.0, 191.0, 192.0, 192.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0]	[-277.0, -277.0, -259.0, -216.0, -167.0, -122.0, -76.0, -13.0, 23.0, 55.0, 86.0, 113.0, 136.0, 155.0, 168.0, 179.0, 186.0, 192.0, 201.0, 208.0, 215.0, 221.0, 227.0, 234.0, 241.0, 250.0, 260.0, 269.0, 278.0, 286.0, 289.0, 290.0, 290.0, 290.0, 290.0, 290.0, 290.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00019459999748505652, 0.008927600007154979, 0.02589309999893885, 0.042347199996584095, 0.05944929999532178, 0.07584780000615865, 0.09242519999679644, 0.10981890000402927, 0.1261612999951467, 0.14231880000443198, 0.15907690000312869, 0.1756803000025684, 0.1923335000028601, 0.20907810000062454, 0.22577980000642128, 0.2425435000041034, 0.25892449999810196, 0.2760049000062281, 0.2925212999980431, 0.30917029999545775, 0.32598649999999907, 0.3428894999960903, 0.3586737000005087, 0.37561859999550506, 0.3926045999978669, 0.4090998000028776, 0.4256889999960549, 0.4421637000050396, 0.4589533999969717, 0.475591299997177, 0.49258380000537727, 0.5087921999947866, 0.5255455000005895, 0.5421060000080615, 0.5590134999947622, 0.5753449000039836, 0.5924375000031432]	193.0	290.0	0.8	16b
3	1	go_only	1	18	2	go	click	[15.0, 18.0, 21.0, 28.0, 35.0, 44.0, 54.0, 71.0, 79.0, 84.0, 90.0, 97.0, 104.0, 111.0, 119.0, 125.0, 128.0, 135.0, 142.0, 149.0, 152.0, 156.0, 160.0, 162.0, 164.0, 166.0, 167.0, 170.0, 175.0, 184.0, 188.0, 188.0, 188.0, 188.0, 189.0, 189.0, 189.0, 189.0]	[-290.0, -272.0, -254.0, -213.0, -173.0, -127.0, -86.0, -31.0, 6.0, 36.0, 67.0, 92.0, 111.0, 131.0, 150.0, 167.0, 176.0, 193.0, 209.0, 227.0, 237.0, 245.0, 252.0, 258.0, 265.0, 267.0, 269.0, 271.0, 273.0, 280.0, 285.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0, 286.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00013010000111535192, 0.012924199996632524, 0.029449199995724484, 0.04615239999839105, 0.0627972999936901, 0.0795015999901807, 0.09628230000089388, 0.11271109999506734, 0.1297093000030145, 0.1465736999962246, 0.16267550000338815, 0.17946339999616612, 0.19618319999426603, 0.2125674999988405, 0.22972839999420103, 0.24611339998955373, 0.2626466999936383, 0.27948969999852125, 0.29611280000244733, 0.31275250000180677, 0.3294731999922078, 0.3466115999908652, 0.3625694999936968, 0.37927720000152476, 0.39597430000139866, 0.4125985999999102, 0.4293656999943778, 0.4461574000015389, 0.46318479999899864, 0.47937249999085907, 0.49612229999911506, 0.512559599999804, 0.5292331999953603, 0.5457170000008773, 0.5624817999923835, 0.5790577000007033, 0.5958609999943292, 0.6128452999982983]	189.0	286.0	0.7	16b
4	1	go_only	1	18	8	go	click	[17.0, 17.0, 21.0, 26.0, 30.0, 35.0, 40.0, 47.0, 51.0, 56.0, 61.0, 65.0, 72.0, 78.0, 86.0, 92.0, 99.0, 107.0, 114.0, 118.0, 123.0, 130.0, 135.0, 143.0, 149.0, 155.0, 159.0, 163.0, 166.0, 169.0, 171.0, 172.0, 173.0, 175.0, 176.0, 179.0, 179.0, 180.0, 180.0, 180.0, 180.0]	[-280.0, -280.0, -264.0, -228.0, -193.0, -161.0, -129.0, -100.0, -69.0, -43.0, -20.0, 1.0, 28.0, 48.0, 67.0, 88.0, 107.0, 125.0, 142.0, 156.0, 167.0, 179.0, 191.0, 208.0, 218.0, 228.0, 238.0, 247.0, 257.0, 263.0, 269.0, 274.0, 277.0, 281.0, 283.0, 288.0, 289.0, 289.0, 289.0, 289.0, 289.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00018990000535268337, 0.006536100001540035, 0.023538599998573773, 0.040100900005199946, 0.05675449999398552, 0.0732265999977244, 0.08985889999894425, 0.10659640000085346, 0.12308039999334142, 0.1398745000042254, 0.15661269999691285, 0.17335620000085328, 0.19063789999927394, 0.20658539999567438, 0.22348329999658745, 0.24026479999884032, 0.25666220000130124, 0.273226599994814, 0.29015919999801554, 0.3066347999993013, 0.3234931000042707, 0.3398442000034265, 0.35676059999968857, 0.3734656000015093, 0.3898235999949975, 0.4069749000045704, 0.42376859999785665, 0.4397591000015382, 0.4568806000024779, 0.4731878000020515, 0.48987039999337867, 0.5067311000020709, 0.5230395999969915, 0.5398888000054285, 0.5565800000040326, 0.5734981999994488, 0.5899116999935359, 0.6065207999927225, 0.6230288999940967, 0.6396592999954009, 0.6566640999953961]	180.0	289.0	0.7	16b
5	1	go_only	1	18	7	go	click	[17.0, 17.0, 23.0, 36.0, 48.0, 60.0, 66.0, 71.0, 76.0, 79.0, 82.0, 83.0, 86.0, 89.0, 93.0, 100.0, 105.0, 114.0, 123.0, 131.0, 138.0, 151.0, 157.0, 163.0, 167.0, 171.0, 174.0, 176.0, 177.0, 177.0, 177.0, 177.0, 177.0, 177.0, 177.0, 177.0, 177.0, 177.0, 177.0]	[-256.0, -256.0, -232.0, -187.0, -139.0, -91.0, -48.0, -13.0, 13.0, 36.0, 63.0, 79.0, 94.0, 109.0, 124.0, 140.0, 153.0, 171.0, 189.0, 206.0, 224.0, 252.0, 269.0, 287.0, 302.0, 311.0, 317.0, 320.0, 321.0, 321.0, 321.0, 321.0, 321.0, 321.0, 321.0, 321.0, 321.0, 321.0, 321.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.0001871999993454665, 0.00802059999841731, 0.02508069999748841, 0.04160779999801889, 0.05828890000702813, 0.07468410000728909, 0.09167080000042915, 0.10832420000224374, 0.12499890000617597, 0.14188100000319537, 0.15834960000938736, 0.17500070000824053, 0.19138740000198595, 0.20821160000923555, 0.22494420000293758, 0.24159390000568237, 0.2582886000018334, 0.27494850000948645, 0.29192719999991823, 0.3084466000000248, 0.32520610000938177, 0.34230550000211224, 0.3588261999975657, 0.3756254000036279, 0.3915312000026461, 0.4079916000046069, 0.4248066000000108, 0.44155299999692943, 0.4579890000022715, 0.47468909999588504, 0.49131330000818707, 0.508009299999685, 0.5246636000083527, 0.5414815999974962, 0.5579777999955695, 0.5747893000079785, 0.5913463000033516, 0.6081784999987576, 0.624978200008627]	177.0	321.0	0.7	16b
6	1	go_only	1	18	7	go	click	[-12.0, -12.0, -8.0, -3.0, 2.0, 8.0, 14.0, 20.0, 28.0, 36.0, 44.0, 56.0, 66.0, 76.0, 84.0, 95.0, 103.0, 111.0, 116.0, 122.0, 127.0, 135.0, 147.0, 153.0, 160.0, 165.0, 168.0, 172.0, 173.0, 175.0, 175.0, 175.0, 176.0, 176.0, 176.0, 176.0, 176.0, 176.0, 176.0]	[-298.0, -298.0, -276.0, -253.0, -230.0, -207.0, -182.0, -157.0, -130.0, -102.0, -69.0, -14.0, 22.0, 59.0, 92.0, 121.0, 148.0, 169.0, 184.0, 198.0, 208.0, 220.0, 236.0, 248.0, 258.0, 268.0, 276.0, 285.0, 292.0, 296.0, 298.0, 298.0, 298.0, 298.0, 298.0, 298.0, 298.0, 298.0, 298.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00014659999578725547, 0.011124799988465384, 0.02743459999328479, 0.04444839998905081, 0.06095479999203235, 0.0775483999896096, 0.09412509998946916, 0.11077279999153689, 0.12753739999607205, 0.14429779999773018, 0.16106800000125077, 0.17762659999425523, 0.19568399999116082, 0.21108899998944253, 0.22804180000093766, 0.24464699999953154, 0.26085520000196993, 0.27762839999923017, 0.2945196999935433, 0.31101559998933226, 0.3274282999918796, 0.34439159999601543, 0.36087589999078773, 0.3776079999952344, 0.39462759999150876, 0.4116467999992892, 0.42735699999320786, 0.4443637999938801, 0.4607947999902535, 0.4773073999967892, 0.4941275000019232, 0.5108049999980722, 0.5273543999937829, 0.5441473999962909, 0.5606778999936068, 0.5772442000015872, 0.5939217999984976, 0.6105898999958299, 0.6277096999983769]	176.0	298.0	1.0	16b
7	1	go_only	1	18	7	go	click	[26.0, 26.0, 27.0, 34.0, 38.0, 41.0, 49.0, 53.0, 59.0, 63.0, 66.0, 70.0, 74.0, 80.0, 87.0, 95.0, 103.0, 117.0, 122.0, 140.0, 147.0, 168.0, 180.0, 192.0, 196.0, 201.0, 203.0, 203.0, 203.0, 203.0, 203.0, 203.0, 203.0, 203.0, 203.0, 203.0, 203.0, 203.0]	[-276.0, -276.0, -268.0, -245.0, -224.0, -204.0, -182.0, -161.0, -138.0, -123.0, -106.0, -87.0, -70.0, -54.0, -35.0, -16.0, 9.0, 51.0, 67.0, 117.0, 133.0, 189.0, 225.0, 258.0, 283.0, 298.0, 308.0, 313.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0, 314.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.0002891999902203679, 0.01135939999949187, 0.028093000000808388, 0.04465489998983685, 0.061499899995396845, 0.07807809999212623, 0.0948072999890428, 0.11227109999163076, 0.12812739999208134, 0.1447866999951657, 0.16122100000211503, 0.17803080000157934, 0.1945971999957692, 0.21119859999453183, 0.22804079999332316, 0.24471729999640957, 0.2616195000009611, 0.2780205000017304, 0.294605799994315, 0.31132249999791384, 0.32803669999702834, 0.3450799999991432, 0.3613172999903327, 0.3781706000008853, 0.39476660000218544, 0.41141739999875426, 0.42829640000127256, 0.4448656000022311, 0.4611811999930069, 0.47779889999947045, 0.4945284999994328, 0.5111458999890601, 0.5278899999975692, 0.5443244999914896, 0.561034500002279, 0.5779858000023523, 0.5946375999919837, 0.6115420999994967]	203.0	314.0	0.5	16b
8	1	go_only	1	18	3	go	click	[14.0, 14.0, 14.0, 18.0, 26.0, 32.0, 42.0, 51.0, 64.0, 81.0, 91.0, 102.0, 110.0, 117.0, 124.0, 130.0, 136.0, 139.0, 143.0, 146.0, 148.0, 150.0, 154.0, 158.0, 162.0, 167.0, 169.0, 172.0, 174.0, 175.0, 178.0, 179.0, 181.0, 183.0, 188.0, 191.0, 196.0, 198.0, 199.0, 199.0, 199.0, 199.0, 199.0]	[-294.0, -294.0, -288.0, -273.0, -248.0, -219.0, -182.0, -142.0, -103.0, -46.0, -11.0, 22.0, 51.0, 76.0, 97.0, 114.0, 130.0, 141.0, 151.0, 159.0, 164.0, 169.0, 182.0, 192.0, 201.0, 213.0, 221.0, 226.0, 230.0, 234.0, 238.0, 241.0, 244.0, 247.0, 256.0, 264.0, 272.0, 277.0, 280.0, 280.0, 281.0, 281.0, 281.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00019489999976940453, 0.006790300001739524, 0.023523700001533143, 0.040033600002061576, 0.056960799993248656, 0.07373150000057649, 0.09028789999138098, 0.10693589999573305, 0.12347469999804161, 0.14020539999182802, 0.15751869999803603, 0.17391070000303444, 0.19008410000242293, 0.20682550000492483, 0.22324720000324305, 0.23982819999218918, 0.2566058999946108, 0.2731948000000557, 0.28999589999148156, 0.30658970000513364, 0.3233422000048449, 0.3401425000047311, 0.35686749999877065, 0.3738644999975804, 0.3902126000029966, 0.40684650000184774, 0.42355559999123216, 0.43985609999799635, 0.4566101999953389, 0.4732934999919962, 0.4903219999978319, 0.5069088000018382, 0.5232977999985451, 0.5401064000034239, 0.5567255999922054, 0.5736175999918487, 0.5901739999972051, 0.6071574999950826, 0.6231966999912402, 0.6401926999969874, 0.6563688000023831, 0.6732263000012608, 0.6902189999964321]	199.0	281.0	0.9	16b
9	1	go_only	1	18	6	go	click	[26.0, 26.0, 44.0, 71.0, 91.0, 111.0, 130.0, 143.0, 151.0, 156.0, 162.0, 166.0, 172.0, 173.0, 174.0, 174.0, 174.0, 174.0, 175.0, 177.0, 180.0, 181.0, 182.0, 188.0, 191.0, 191.0, 191.0, 191.0, 191.0]	[-253.0, -253.0, -181.0, -102.0, -32.0, 37.0, 95.0, 144.0, 183.0, 211.0, 232.0, 246.0, 259.0, 264.0, 266.0, 266.0, 266.0, 266.0, 268.0, 274.0, 280.0, 283.0, 284.0, 286.0, 287.0, 287.0, 287.0, 287.0, 287.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00021529999503400177, 0.009635099995648488, 0.02666230000613723, 0.042652499992982484, 0.0596471000026213, 0.07640599999285769, 0.09297440000227652, 0.10973919999378268, 0.12607090000528842, 0.14311869999801274, 0.15974610000557732, 0.17640850000316277, 0.19269149999308866, 0.20969920000061393, 0.22570769999583717, 0.2425191999936942, 0.25918340000498574, 0.2758871999976691, 0.29313099999853875, 0.30949990000226535, 0.32647369999904186, 0.34258919999410864, 0.3594362000003457, 0.3762293000036152, 0.3925463000050513, 0.40911579999374226, 0.426127999991877, 0.4424851999938255, 0.45976129999326076]	191.0	287.0	0.9	16b
10	1	go_only	1	18	8	go	click	[5.0, 5.0, 5.0, 9.0, 13.0, 28.0, 40.0, 48.0, 55.0, 61.0, 67.0, 72.0, 78.0, 82.0, 86.0, 92.0, 102.0, 118.0, 128.0, 131.0, 133.0, 134.0, 138.0, 148.0, 156.0, 162.0, 166.0, 172.0, 176.0, 180.0, 182.0, 185.0, 189.0, 195.0, 198.0, 200.0, 201.0, 202.0, 202.0, 202.0, 203.0, 203.0, 203.0, 203.0, 203.0]	[-270.0, -270.0, -250.0, -190.0, -168.0, -93.0, -30.0, 24.0, 60.0, 81.0, 99.0, 116.0, 133.0, 149.0, 155.0, 162.0, 168.0, 176.0, 186.0, 189.0, 190.0, 190.0, 192.0, 197.0, 203.0, 209.0, 215.0, 221.0, 230.0, 236.0, 240.0, 244.0, 249.0, 256.0, 264.0, 268.0, 271.0, 272.0, 273.0, 273.0, 273.0, 274.0, 276.0, 276.0, 276.0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0.00019920000340789557, 0.009420999995199963, 0.02629710000474006, 0.042990999994799495, 0.059544200004893355, 0.07622590000391938, 0.092972300000838, 0.10956869999063201, 0.1263796999992337, 0.14282969999476336, 0.1597701999999117, 0.17637010000180453, 0.19295559999591205, 0.20991890000004787, 0.2265043999941554, 0.24273329999414273, 0.2599440999911167, 0.2761478000029456, 0.29284670000197366, 0.31025539999245666, 0.32603759999619797, 0.34292830000049435, 0.3595830999984173, 0.37633800000185147, 0.39316589999361895, 0.4095117999968352, 0.42631719999189954, 0.44290139999066014, 0.45987189999141265, 0.476495499999146, 0.49277929999516346, 0.5097911999910139, 0.5265703000040958, 0.543368400001782, 0.5595266000018455, 0.5762125000037486, 0.5928524000046309, 0.6094330999912927, 0.6259128999954555, 0.6426662000012584, 0.6595173999958206, 0.6772630999912508, 0.6925979999941774, 0.7093186999991303, 0.726401399995666]	203.0	276.0	0.5	16b
