trial_index	trial_type	block_number	response_time_ms
55	go	4	446.195
56	go	4	427.649
57	go	4	328.043
58	go	4	361.830
59	go	4	495.032
60	nogo	4	361.109
61	go	4	359.981
62	nogo	4	361.658
63	go	4	376.757
64	go	4	n/a
65	go	4	493.691
66	nogo	4	478.838
67	go	4	345.162
68	go	4	n/a
69	go	4	344.787
70	nogo	4	427.065
71	go	4	344.576
72	go	4	345.504
73	go	4	344.697
74	nogo	4	392.799
75	go	4	444.676
76	go	4	428.357
77	go	4	478.692
78	go	4	362.108
79	nogo	4	410.784
80	go	4	478.129
81	nogo	4	427.171
82	go	4	444.392
83	go	4	362.614
84	go	4	n/a
85	nogo	4	376.712
86	go	4	n/a
87	go	4	411.724
88	go	4	513.275
89	go	4	392.693
90	go	4	610.822
91	go	4	446.090
92	go	4	343.893
93	nogo	4	342.970
94	go	4	492.680
95	go	4	346.103
96	go	4	478.198
97	go	4	361.444
98	go	4	379.140
99	go	4	378.071
100	go	4	362.202
101	nogo	4	361.554
102	go	4	377.622
103	go	4	n/a
104	nogo	4	243.981
105	go	4	395.219
106	go	4	342.744
107	nogo	4	344.535
108	go	4	411.438
109	go	4	545.694
110	go	4	377.030
111	go	4	393.893
112	go	4	377.727
113	go	4	361.076
114	go	4	377.007
115	go	5	n/a
116	go	5	294.877
117	go	5	393.109
118	go	5	344.177
119	nogo	5	477.889
120	go	5	510.224
121	go	5	411.686
122	go	5	528.043
123	nogo	5	243.243
124	go	5	342.883
125	go	5	494.169
126	go	5	494.441
127	go	5	n/a
128	go	5	461.208
129	nogo	5	509.424
130	go	5	478.361
131	go	5	344.262
132	go	5	495.195
133	go	5	361.070
134	go	5	578.933
135	nogo	5	392.512
136	go	5	429.025
137	go	5	379.868
138	go	5	461.822
139	go	5	426.747
140	go	5	376.250
141	go	5	377.906
142	go	5	494.137
143	go	5	392.925
144	nogo	5	394.960
145	go	5	408.777
146	go	5	412.881
147	nogo	5	361.748
148	go	5	394.154
149	go	5	360.000
150	go	5	n/a
151	nogo	5	241.414
152	go	5	443.038
153	go	5	346.226
154	go	5	n/a
155	nogo	5	343.166
156	go	5	377.702
157	go	5	n/a
158	go	5	359.592
159	go	5	460.147
160	go	5	494.109
