trial_index	trial_type	block_number	path_length
55	go	4	550.696029
56	go	4	539.714236
57	nogo	4	n/a
58	go	4	700.896381
59	go	4	577.734147
60	go	4	661.346558
61	go	4	529.941005
62	go	4	580.670552
63	nogo	4	619.510939
64	go	4	653.566073
65	go	4	544.175227
66	go	4	411.642075
67	go	4	434.063519
68	nogo	4	n/a
69	go	4	568.005095
70	nogo	4	605.742605
71	go	4	544.685049
72	go	4	578.422230
73	go	4	n/a
74	go	4	n/a
75	go	4	653.071096
76	nogo	4	n/a
77	go	4	n/a
78	go	4	549.884243
79	go	4	n/a
80	go	4	626.819320
81	go	4	586.654636
82	go	4	505.024485
83	go	4	572.859882
84	nogo	4	723.538381
85	go	4	450.982839
86	go	4	530.937005
87	go	4	623.889847
88	go	4	537.826979
89	nogo	4	469.974991
90	go	4	544.858160
91	go	4	570.553869
92	go	4	437.848816
93	go	4	541.387097
94	go	4	478.213955
95	go	4	542.104889
96	nogo	4	555.178423
97	go	4	586.415829
98	go	4	628.255147
99	go	4	475.363595
100	nogo	4	564.945797
101	go	4	479.865896
102	nogo	4	522.010624
103	go	4	470.266116
104	nogo	4	661.550752
105	go	4	609.226982
106	go	4	n/a
107	go	4	n/a
108	go	4	518.303848
109	go	4	591.658651
110	go	4	489.296279
111	go	4	625.642132
112	go	4	521.158073
113	nogo	4	524.097117
114	go	4	724.182629
115	go	5	646.278945
116	nogo	5	527.699285
117	go	5	n/a
118	nogo	5	n/a
119	go	5	650.931327
120	go	5	625.413918
121	go	5	539.772746
122	go	5	n/a
123	go	5	541.849669
124	go	5	540.684999
125	go	5	540.141960
126	nogo	5	525.656065
127	go	5	539.454189
128	nogo	5	n/a
129	go	5	541.154369
130	go	5	765.609464
131	nogo	5	652.549836
132	go	5	586.025971
133	go	5	570.240045
134	go	5	881.994827
135	go	5	482.033326
136	nogo	5	614.845413
137	go	5	664.205667
138	go	5	639.154676
139	nogo	5	n/a
140	go	5	n/a
141	go	5	n/a
142	go	5	458.765096
143	go	5	537.875805
144	go	5	531.443655
145	go	5	n/a
146	nogo	5	493.934026
147	go	5	592.318803
148	go	5	n/a
149	go	5	757.095653
150	go	5	556.751656
151	go	5	620.213886
152	go	5	543.397610
153	go	5	585.336602
154	go	5	473.826767
155	go	5	545.755170
156	go	5	616.557449
157	go	5	391.319179
158	nogo	5	628.485277
159	go	5	655.306397
160	go	5	529.237303
161	go	5	450.240748
162	nogo	5	n/a
163	go	5	451.733205
164	go	5	605.870452
165	go	5	519.133422
166	go	5	536.468539
167	nogo	5	n/a
168	go	5	578.513035
169	go	5	487.665511
170	go	5	573.922177
171	go	5	452.788143
172	go	5	535.385119
173	go	5	618.772762
174	nogo	5	170.651873
193	go	7	654.584506
194	go	7	621.243707
195	go	7	490.793072
196	go	7	843.409035
197	go	7	541.311789
198	go	7	501.040186
199	go	7	609.172539
200	nogo	7	476.988960
201	go	7	620.419263
202	go	7	571.714767
203	go	7	685.089155
204	go	7	586.869352
205	nogo	7	585.539699
206	go	7	604.253005
207	go	7	518.412819
208	go	7	585.595065
209	go	7	603.648362
210	go	7	508.343430
211	nogo	7	n/a
212	go	7	502.535872
213	go	7	615.501105
214	go	7	547.049203
215	go	7	477.981339
216	go	7	739.941447
217	go	7	495.290673
218	go	7	549.974143
219	go	7	549.202918
220	nogo	7	n/a
221	go	7	550.490109
222	nogo	7	n/a
223	go	7	547.109429
224	go	7	574.706811
225	go	7	544.963290
226	go	7	570.559807
227	go	7	489.264777
228	go	7	378.644255
229	nogo	7	n/a
230	go	7	640.651817
231	go	7	n/a
232	nogo	7	572.906479
233	go	7	792.705245
234	go	7	817.825491
235	go	7	674.000473
236	nogo	7	n/a
237	go	7	509.690315
238	go	7	548.380000
239	nogo	7	n/a
240	go	7	578.823814
241	go	7	566.327441
242	nogo	7	574.852571
243	go	7	596.277755
244	go	7	503.685792
245	go	7	531.745874
246	go	7	530.875710
247	nogo	7	620.462364
248	go	7	580.675484
249	nogo	7	n/a
250	go	7	566.011424
251	go	7	515.255187
252	go	7	489.966820
253	go	8	479.355651
254	go	8	480.197105
255	nogo	8	457.044114
256	go	8	502.327051
257	nogo	8	n/a
258	go	8	520.637760
259	go	8	495.969062
260	go	8	588.417294
261	go	8	375.513688
262	go	8	568.806167
263	go	8	532.769837
264	go	8	n/a
265	go	8	560.389088
266	nogo	8	542.428031
267	go	8	582.020565
268	go	8	n/a
269	go	8	677.729120
270	nogo	8	537.809098
271	go	8	535.794139
272	go	8	599.671392
273	nogo	8	n/a
274	go	8	569.769732
275	go	8	560.627349
276	nogo	8	n/a
277	go	8	571.210210
278	go	8	529.570243
279	go	8	508.806599
280	go	8	623.652231
281	go	8	670.568259
282	go	8	651.307024
283	go	8	492.754038
284	go	8	527.490204
285	nogo	8	542.610563
286	go	8	541.251673
287	go	8	n/a
288	nogo	8	n/a
289	go	8	584.855142
290	go	8	541.129968
291	go	8	586.968808
292	go	8	538.996841
293	go	8	1025.556033
294	go	8	530.047829
295	go	8	518.768262
296	go	8	565.625529
297	nogo	8	483.087838
298	go	8	575.849005
299	go	8	565.559283
300	nogo	8	615.109482
301	go	8	589.384217
302	go	8	573.719607
303	go	8	480.287802
304	go	8	533.049070
305	go	8	n/a
306	nogo	8	n/a
307	go	8	496.417049
308	go	8	564.461367
309	go	8	489.285359
310	nogo	8	480.718703
311	go	8	567.543338
312	go	8	640.428064
331	go	10	532.202840
332	nogo	10	555.385459
333	go	10	618.632920
334	go	10	532.076100
335	go	10	529.275754
336	nogo	10	521.249924
337	go	10	598.958763
338	go	10	508.925299
339	go	10	522.597551
340	go	10	516.690194
341	go	10	612.374635
342	go	10	548.675287
343	go	10	554.736158
344	go	10	537.415877
345	go	10	486.745370
346	go	10	651.180382
347	go	10	645.402585
348	go	10	520.377943
349	go	10	559.617887
350	nogo	10	n/a
351	go	10	558.517353
352	go	10	554.323357
353	go	10	524.914744
354	nogo	10	509.793842
355	go	10	651.876383
356	go	10	589.340758
357	go	10	477.161676
358	go	10	666.029225
359	go	10	539.982116
360	nogo	10	n/a
361	go	10	608.739521
362	go	10	501.083103
363	go	10	593.999133
364	nogo	10	503.503112
365	go	10	n/a
366	go	10	512.695675
367	go	10	617.177859
368	go	10	614.441116
369	go	10	539.119911
370	nogo	10	533.799895
371	go	10	522.197743
372	nogo	10	n/a
373	go	10	606.050108
374	go	10	527.972236
375	go	10	512.050909
376	go	10	600.043678
377	go	10	482.863265
378	nogo	10	n/a
379	go	10	552.193790
380	go	10	575.361013
381	nogo	10	482.601790
382	go	10	472.492105
383	go	10	585.883159
384	go	10	523.600248
385	nogo	10	578.350760
386	go	10	n/a
387	go	10	581.059103
388	go	10	552.372089
389	nogo	10	n/a
390	go	10	597.081055
391	go	11	582.808243
392	nogo	11	532.637534
393	go	11	531.263549
394	go	11	598.863229
395	go	11	585.596330
396	go	11	565.314494
397	go	11	582.171787
398	nogo	11	517.199625
399	go	11	528.310318
400	go	11	577.066592
401	go	11	541.357398
402	nogo	11	541.526201
403	go	11	615.805731
404	nogo	11	475.476001
405	go	11	552.580037
406	go	11	555.097306
407	go	11	719.070161
408	nogo	11	n/a
409	go	11	552.038047
410	go	11	504.680160
411	go	11	591.358091
412	go	11	487.007108
413	go	11	586.767702
414	go	11	551.913828
415	go	11	604.718906
416	nogo	11	611.717858
417	go	11	629.523342
418	nogo	11	n/a
419	go	11	593.621696
420	go	11	600.816724
421	nogo	11	563.245492
422	go	11	558.706775
423	go	11	570.109396
424	go	11	553.602452
425	go	11	629.905036
426	go	11	611.182984
427	nogo	11	n/a
428	go	11	n/a
429	go	11	n/a
430	go	11	542.593694
431	nogo	11	n/a
432	go	11	509.595455
433	go	11	520.552854
434	go	11	527.128010
435	go	11	486.642332
436	go	11	630.345081
437	nogo	11	608.125680
438	go	11	602.370265
439	go	11	528.064967
440	go	11	569.605447
441	go	11	n/a
442	go	11	558.849089
443	go	11	483.127423
444	go	11	639.694259
445	go	11	599.264932
446	go	11	503.316135
447	go	11	504.519824
448	nogo	11	486.458958
449	go	11	n/a
450	go	11	568.720795
469	go	13	n/a
470	go	13	659.547310
471	go	13	598.369440
472	go	13	566.868333
473	go	13	626.183479
474	go	13	585.009948
475	go	13	561.276297
476	nogo	13	n/a
477	go	13	555.295542
478	go	13	n/a
479	go	13	n/a
480	go	13	550.785942
481	nogo	13	676.747890
482	go	13	n/a
483	nogo	13	624.318081
484	go	13	510.018328
485	go	13	750.756872
486	nogo	13	n/a
487	go	13	603.865854
488	go	13	476.474808
489	go	13	618.029082
490	nogo	13	n/a
491	go	13	n/a
492	go	13	571.393996
493	go	13	509.280116
494	go	13	541.431799
495	go	13	498.079334
496	go	13	533.142145
497	go	13	516.750769
498	go	13	571.453580
499	nogo	13	535.820954
500	go	13	611.886215
501	go	13	453.925258
502	go	13	643.438738
503	go	13	513.694901
504	nogo	13	n/a
505	go	13	n/a
506	go	13	590.237740
507	go	13	744.530900
508	nogo	13	n/a
509	go	13	500.296450
510	nogo	13	n/a
511	go	13	608.274924
512	go	13	512.024239
513	go	13	583.381365
514	go	13	581.712998
515	go	13	620.081653
516	go	13	563.548079
517	go	13	562.316475
518	nogo	13	436.703797
519	go	13	513.477308
520	go	13	658.571866
521	go	13	538.942205
522	nogo	13	n/a
523	go	13	547.296469
524	go	13	562.693258
525	go	13	591.541855
526	go	13	n/a
527	go	13	553.031328
528	nogo	13	474.909691
529	nogo	14	614.282803
530	go	14	595.978669
531	nogo	14	601.419307
532	go	14	620.103555
533	go	14	592.712806
534	go	14	583.706898
535	go	14	498.748992
536	go	14	577.349467
537	go	14	562.493209
538	go	14	502.499252
539	go	14	531.683540
540	nogo	14	595.657013
541	go	14	647.744134
542	nogo	14	455.098896
543	go	14	593.146267
544	go	14	588.061371
545	go	14	611.913487
546	go	14	463.580419
547	go	14	626.388497
548	go	14	666.394690
549	go	14	570.006778
550	go	14	n/a
551	go	14	624.975825
552	go	14	466.036343
553	nogo	14	559.832468
554	go	14	n/a
