trial_index	trial_type	block_number	block_type	is_practice	kin_parse_failed	kin_n_samples	duration	path_length	max_velocity	mean_velocity	max_acceleration	mean_acceleration
1	go	1	go_only	1	0	64	1.040928	603.326880	1725.672981	579.604870	37929.068272	9469.647528
2	go	1	go_only	1	0	51	0.825318	577.640047	1950.618904	699.900059	48272.707331	11232.079772
3	go	1	go_only	1	0	80	1.310724	613.878953	1831.043592	468.351043	46443.946941	7123.752477
4	go	1	go_only	1	0	50	0.811040	625.276078	2435.578504	770.956381	99099.893326	13175.738499
5	go	1	go_only	1	0	49	0.793084	598.834708	1953.633312	755.071259	77820.409744	16759.413464
6	go	1	go_only	1	0	64	1.042477	598.552352	2401.262596	574.163440	145754.556744	9174.426470
7	go	1	go_only	1	0	44	0.708966	636.350065	2685.989998	897.575123	61578.898266	11702.751057
8	go	1	go_only	1	0	54	0.876812	624.597012	1590.879985	712.350144	41018.778830	7327.907743
9	go	1	go_only	1	0	54	0.876541	620.162705	1914.148411	707.511429	61080.915180	8357.774649
10	go	1	go_only	1	0	46	0.744070	620.668169	2392.795070	834.153153	96667.725060	14890.559071
11	go	1	go_only	1	0	48	0.778678	615.733030	2008.235007	790.741628	35470.311064	9437.114956
12	go	1	go_only	1	0	43	0.694036	634.051967	2838.841381	913.572818	119715.413167	14899.410074
13	go	1	go_only	1	0	63	1.026123	613.578331	1877.865551	597.958169	65274.430165	9454.587720
14	go	1	go_only	1	0	49	0.795946	599.973711	2627.864248	753.787238	69710.865989	11009.965365
15	go	1	go_only	1	0	52	0.841208	606.430997	2153.519331	720.905018	52854.164623	8293.201203
16	go	1	go_only	1	0	52	0.844573	593.693489	2052.943627	702.951314	75867.022578	10900.647193
17	go	1	go_only	1	0	50	0.811821	628.411927	2046.026280	774.076954	60274.804371	10047.324766
18	go	1	go_only	1	0	45	0.727244	608.790309	2170.420359	837.119280	55505.935862	10248.129865
19	nogo	2	go_nogo_prac	1	0	33	0.525108	320.700944	1560.130695	610.733537	47444.942237	10905.595923
20	nogo	2	go_nogo_prac	1	0	34	0.543214	283.715259	1026.757887	522.289746	24006.427264	5637.794791
21	go	2	go_nogo_prac	1	0	56	0.910015	605.433730	2103.623233	665.300824	41961.142127	8677.756927
22	go	2	go_nogo_prac	1	0	56	0.911122	596.033890	1879.533342	654.175648	66418.130506	9982.583431
23	go	2	go_nogo_prac	1	0	48	0.777378	594.678557	2251.412041	764.979818	56587.280862	13294.091705
24	nogo	2	go_nogo_prac	1	0	46	0.743383	421.239269	2055.199077	566.651357	47358.758218	8789.235222
25	go	2	go_nogo_prac	1	0	46	0.744799	614.442093	2067.904827	824.977176	70963.330295	10434.025675
26	go	2	go_nogo_prac	1	0	43	0.695247	602.570766	1996.205956	866.700773	52033.778021	11521.208400
27	go	2	go_nogo_prac	1	0	48	0.776161	595.869828	1965.032855	767.714604	55207.011107	11038.324406
28	go	2	go_nogo_prac	1	0	53	0.859157	625.124754	1801.969569	727.602723	72391.292223	9715.594892
29	nogo	2	go_nogo_prac	1	0	32	0.509649	357.969488	1966.106318	702.384639	78313.560981	10889.051353
30	go	2	go_nogo_prac	1	0	44	0.710349	611.247728	2116.684442	860.489563	41997.412425	9290.618893
31	go	2	go_nogo_prac	1	0	55	0.894673	620.501271	2361.680330	693.551218	82787.547472	11028.571025
32	go	2	go_nogo_prac	1	0	45	0.726945	601.993329	1999.455064	828.114337	55962.788157	8900.497049
33	go	2	go_nogo_prac	1	0	48	0.777186	633.185154	1970.578765	814.715604	65388.739480	8051.388774
34	go	2	go_nogo_prac	1	0	42	0.678423	598.872489	1858.683881	882.742150	73511.433583	13436.367068
35	go	2	go_nogo_prac	1	0	55	0.894223	594.164183	1643.702783	664.447737	42699.267415	9837.665105
36	go	2	go_nogo_prac	1	0	62	1.010988	605.820930	1534.499812	599.236757	28069.808329	7589.020326
37	go	3	go_only	0	0	36	0.578382	547.215113	3260.081004	946.114318	187225.389801	17114.948056
38	go	3	go_only	0	0	52	0.845691	612.068421	1745.684588	723.749651	53083.919920	9264.397515
39	go	3	go_only	0	0	57	0.927066	607.204829	1824.496947	654.974687	99148.570971	8111.860962
40	go	3	go_only	0	0	43	0.692607	624.818171	2268.579104	902.125248	86223.275662	12290.560527
41	go	3	go_only	0	0	41	0.661042	576.357819	2466.872161	871.893020	59720.955339	14328.070695
42	go	3	go_only	0	0	40	0.644063	587.274682	1976.325765	911.828432	104236.674714	9482.951642
43	go	3	go_only	0	0	53	0.860667	609.040946	1688.879770	707.638644	40277.626442	8139.328474
44	go	3	go_only	0	0	50	0.811215	611.577534	2080.129782	753.903324	85462.960293	12567.237249
45	go	3	go_only	0	0	32	0.509093	598.253611	3035.621853	1175.136426	78354.813491	15912.502830
46	go	3	go_only	0	0	46	0.742295	586.183720	2534.314555	789.691372	57962.921701	11392.305756
47	go	3	go_only	0	0	41	0.661964	590.209771	2608.739645	891.604436	98004.773392	10657.354144
48	go	3	go_only	0	0	48	0.778732	613.775803	2274.114292	788.173444	86488.851723	9226.486138
49	go	3	go_only	0	0	51	0.828701	597.064457	1891.858456	720.482713	113352.134237	11923.323913
50	go	3	go_only	0	0	53	0.861147	613.180633	2230.923057	712.051059	92796.769668	9191.367689
51	go	3	go_only	0	0	48	0.776227	610.798492	2139.362214	786.881175	120348.265099	10394.707444
52	go	3	go_only	0	0	40	0.645251	613.157866	3181.511450	950.263148	74401.342744	11745.346793
53	go	3	go_only	0	0	50	0.809046	602.160958	3295.509721	744.285653	136720.031366	16898.039384
54	go	3	go_only	0	0	50	0.812367	585.719995	2667.356833	721.004525	65626.464654	13192.958408
55	go	4	go_nogo	0	0	42	0.677720	582.190280	2044.298897	859.042749	72858.826271	15156.864570
56	go	4	go_nogo	0	0	40	0.644277	607.400313	2344.496991	942.763122	57518.939137	11522.861658
57	nogo	4	go_nogo	0	0	38	0.608872	473.591515	2179.197647	777.818114	61486.310264	8915.203423
58	go	4	go_nogo	0	0	44	0.711592	619.778558	2211.369877	870.974600	88709.761405	14685.090641
59	go	4	go_nogo	0	0	48	0.778714	603.225690	1790.943998	774.643538	92136.743657	10810.493981
60	go	4	go_nogo	0	0	40	0.643105	583.052097	2146.447834	906.619671	69745.107848	14820.587809
61	go	4	go_nogo	0	0	56	0.911613	603.169232	1813.985998	661.650393	42331.914792	8130.445198
62	go	4	go_nogo	0	0	49	0.793632	581.907326	1772.742373	733.221056	76056.931003	13848.623432
63	nogo	4	go_nogo	0	0	45	0.728174	423.593383	1517.373435	581.720324	76541.642018	8499.744137
64	go	4	go_nogo	0	0	45	0.726669	584.988559	1758.919003	805.027763	88994.073235	9631.830850
65	go	4	go_nogo	0	0	56	0.912535	619.287165	1676.281219	678.645059	89836.196440	8483.980315
66	go	4	go_nogo	0	0	44	0.711473	613.599204	2593.467651	862.435346	50690.189732	11511.435719
67	go	4	go_nogo	0	0	42	0.676162	615.281753	2431.966562	909.962444	98809.588799	12457.369897
68	go	4	go_nogo	0	0	41	0.660951	619.007211	1847.710128	936.540811	98018.297374	11904.631096
69	nogo	4	go_nogo	0	0	38	0.610459	541.350448	1938.189740	886.792041	118203.923887	12659.175250
70	go	4	go_nogo	0	0	35	0.560352	641.209427	2562.474138	1144.296949	70357.565235	15671.903965
71	go	4	go_nogo	0	0	49	0.793987	608.357854	2121.409767	766.206605	66408.696292	10069.231740
72	nogo	4	go_nogo	0	0	36	0.577072	416.878319	2138.765294	722.403110	48592.238592	10880.080672
73	go	4	go_nogo	0	0	66	1.077695	579.816754	1395.503294	538.015780	56669.521821	8335.373404
74	go	4	go_nogo	0	0	56	0.909963	587.760163	1681.065999	645.916339	39425.857531	9085.147531
75	go	4	go_nogo	0	0	53	0.862946	583.613537	1699.678925	676.303972	87735.451648	8465.222332
76	go	4	go_nogo	0	0	51	0.826788	584.360850	2292.209118	706.784558	93302.616226	12899.288905
77	go	4	go_nogo	0	0	61	0.991647	538.867308	7878.586499	543.406601	363790.670098	24817.097601
78	go	4	go_nogo	0	0	44	0.710325	590.315024	1948.998958	831.049669	41775.221675	10131.318114
80	go	4	go_nogo	0	0	50	0.811179	599.697117	1873.507251	739.291097	48889.655988	12542.102259
81	go	4	go_nogo	0	0	43	0.695141	575.566418	1529.849660	827.985497	78226.625085	8616.760186
82	go	4	go_nogo	0	0	54	0.877981	615.662689	1658.559355	701.225606	44997.762887	8118.300046
83	nogo	4	go_nogo	0	0	34	0.543957	296.631907	1715.670546	545.321945	77971.050462	16060.793560
84	go	4	go_nogo	0	0	49	0.793378	616.339229	2000.094122	776.854547	117658.132281	11132.052186
85	go	4	go_nogo	0	0	50	0.810915	597.842464	3323.955420	737.244302	91081.278748	14440.928213
86	go	4	go_nogo	0	0	46	0.743999	587.379532	2844.150002	789.490210	63505.414719	11106.381791
87	go	4	go_nogo	0	0	46	0.743362	590.860110	1578.506233	794.848632	46170.442224	8680.816808
88	go	4	go_nogo	0	0	52	0.845267	593.547262	1597.514381	702.201166	38048.141646	7759.928038
89	go	4	go_nogo	0	0	55	0.895318	586.258410	1756.285293	654.804965	79018.530400	13119.929440
90	go	4	go_nogo	0	0	51	0.826509	602.897661	2270.898037	729.450988	58000.942032	8194.357205
91	nogo	4	go_nogo	0	0	40	0.642285	525.278299	2426.227644	817.827189	54584.593946	11039.435293
92	go	4	go_nogo	0	0	47	0.760204	573.778919	2007.573159	754.769864	100338.179726	10720.524836
93	go	4	go_nogo	0	0	57	0.926873	604.939870	1348.875889	652.667203	31789.260643	8683.265240
94	go	4	go_nogo	0	0	59	0.959592	591.757607	1457.233998	616.676261	49928.446504	7468.514261
95	go	4	go_nogo	0	0	56	0.909498	611.536982	1634.035042	672.389732	28235.198696	7298.875489
96	go	4	go_nogo	0	0	57	0.926197	598.328517	1916.977454	646.005744	48810.823073	8679.722625
97	nogo	4	go_nogo	0	0	40	0.642508	454.692067	2018.927260	707.683452	42098.676974	9519.627618
98	go	4	go_nogo	0	0	46	0.740138	589.875794	2180.092739	796.981040	87035.909344	15963.357820
99	nogo	4	go_nogo	0	0	49	0.793909	532.397530	1993.400033	670.602883	53924.832772	9285.245089
100	go	4	go_nogo	0	0	51	0.826553	603.608368	2213.236433	730.272091	66302.630938	9260.941018
101	go	4	go_nogo	0	0	60	0.977946	610.320673	1832.125679	624.084291	52921.919637	7792.996579
102	go	4	go_nogo	0	0	51	0.828241	607.048073	2254.155671	732.936516	103237.893883	7689.814674
103	go	4	go_nogo	0	0	65	1.058165	627.176648	1548.228681	592.702409	43473.673089	9968.200709
104	nogo	4	go_nogo	0	0	36	0.576609	411.212133	1735.942918	713.156434	51334.824323	9372.939063
105	go	4	go_nogo	0	0	44	0.710524	639.355323	2334.666551	899.836097	74716.633713	14077.080331
106	nogo	4	go_nogo	0	0	35	0.560454	449.145250	2078.327352	801.394815	53012.309189	11115.994767
107	go	4	go_nogo	0	0	42	0.677603	590.958057	1878.818896	872.130355	54402.280651	12468.793479
108	go	4	go_nogo	0	0	40	0.643953	618.816414	2073.723591	960.965185	65126.525898	10593.256741
109	nogo	4	go_nogo	0	0	36	0.577704	359.046658	2355.998563	621.506163	55767.461905	10402.639474
110	go	4	go_nogo	0	0	46	0.744398	578.469138	2590.629414	777.096160	106367.985638	13186.960085
111	go	4	go_nogo	0	0	37	0.593904	570.632846	2191.624639	960.816640	63895.620120	12703.358843
112	go	4	go_nogo	0	0	38	0.611460	615.633820	2148.693252	1006.826319	55407.766506	13117.847361
113	nogo	4	go_nogo	0	0	36	0.577835	467.575101	2160.282817	809.184177	67042.187372	14467.897519
114	go	4	go_nogo	0	0	48	0.777713	618.592479	2137.906457	795.398921	71292.513645	14949.147780
115	go	5	go_nogo	0	0	44	0.710258	617.381769	3100.965785	869.235802	49662.773879	14219.626870
116	go	5	go_nogo	0	0	40	0.644164	581.730074	2999.980319	903.077172	64149.111917	14282.535750
117	go	5	go_nogo	0	0	50	0.811005	577.414508	3017.861888	711.974130	111851.287808	15759.518928
118	nogo	5	go_nogo	0	0	35	0.560851	397.184349	1969.639314	708.181330	55380.059031	12001.647403
119	go	5	go_nogo	0	0	42	0.677895	641.688813	2593.911674	946.590831	66646.219219	14416.649584
120	nogo	5	go_nogo	0	0	38	0.610947	382.889452	1965.640742	626.714165	70767.438695	11112.894946
121	go	5	go_nogo	0	0	51	0.826238	591.447022	1791.918054	715.831474	89333.992629	11996.033646
122	go	5	go_nogo	0	0	43	0.693457	596.721479	1926.194918	860.502123	79606.876283	12633.512441
123	go	5	go_nogo	0	0	45	0.727270	622.690706	2065.808171	856.203521	103701.355643	11808.984160
124	go	5	go_nogo	0	0	39	0.628097	625.720329	2161.329374	996.215759	50636.865697	11178.078097
125	nogo	5	go_nogo	0	0	37	0.593310	525.630428	2755.919905	885.928671	113405.460157	13828.907398
126	go	5	go_nogo	0	0	51	0.827837	715.981591	2371.789819	864.881909	87350.987046	11526.745895
127	go	5	go_nogo	0	0	45	0.728289	584.432917	2098.702654	802.474345	61369.543597	11097.179205
128	go	5	go_nogo	0	0	51	0.828084	613.450044	1518.346825	740.806989	85360.565129	12576.247966
129	nogo	5	go_nogo	0	0	37	0.592210	329.236310	1611.580136	555.945018	27664.883494	6895.885337
130	go	5	go_nogo	0	0	47	0.760984	589.423744	1965.989501	774.555222	85980.654313	13367.062845
131	go	5	go_nogo	0	0	45	0.726454	590.901254	1753.809906	813.405138	62563.152325	13214.309938
132	nogo	5	go_nogo	0	0	36	0.577802	481.590561	2110.256995	833.486893	85268.923270	15007.527730
133	go	5	go_nogo	0	0	44	0.709304	595.876418	2435.025763	840.086081	55519.941405	9667.669397
134	go	5	go_nogo	0	0	53	0.860994	591.020167	1602.471856	686.439436	97829.810133	8701.863475
135	go	5	go_nogo	0	0	43	0.694036	594.010620	2074.756712	855.878686	73019.942637	11037.565855
136	go	5	go_nogo	0	0	35	0.560495	572.391708	2196.154099	1021.226271	66183.219483	16671.985418
137	go	5	go_nogo	0	0	43	0.694679	595.339585	2519.562971	856.999912	106476.833348	12121.914668
138	nogo	5	go_nogo	0	0	39	0.628000	502.617770	2346.304960	800.346258	71903.229967	12168.172119
139	go	5	go_nogo	0	0	45	0.728232	619.979294	2313.265633	851.348952	94851.696334	10752.090936
140	nogo	5	go_nogo	0	0	43	0.692124	523.897529	1972.154877	756.941390	39656.133104	8324.840849
141	go	5	go_nogo	0	0	49	0.793940	584.352802	1929.465179	736.016697	45954.043390	8153.038484
142	go	5	go_nogo	0	0	49	0.792381	586.121840	1646.014908	739.696709	48975.676123	8417.064568
143	go	5	go_nogo	0	0	38	0.609506	580.878816	1967.762960	953.031998	54741.286771	10328.695093
144	go	5	go_nogo	0	0	42	0.679179	601.756967	2212.005008	886.006699	46334.477363	12307.331016
145	go	5	go_nogo	0	0	41	0.711024	607.092500	1974.028341	853.827822	84825.821092	10065.608903
146	go	5	go_nogo	0	0	53	0.860365	589.804163	2667.771678	685.527764	64402.225450	10256.881339
