trial_index	trial_type	block_number	block_type	is_practice	n_left_clicks	go_first_left_inside	go_first_left_rt	parse_failed_time	parse_failed_xy	parse_failed_buttons	mismatched_lengths	any_rb_nonzero	any_mb_nonzero	any_click	any_left	any_right	nogo_stop_time	nogo_stopped	nogo_outcome	nogo_parse_failed	rt_combined	accuracy
1	go	1	go_only	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.772136	1	stopped_near_deadline	0	n/a	0
2	go	1	go_only	1	1	1	0.871248	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.871248	1
3	go	1	go_only	1	1	1	0.559358	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.559358	1
4	go	1	go_only	1	1	1	0.526595	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.526595	1
5	go	1	go_only	1	1	1	0.493422	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.493422	1
6	go	1	go_only	1	1	1	0.507149	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.507149	1
7	go	1	go_only	1	1	1	0.423583	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.423583	1
8	go	1	go_only	1	1	1	0.542999	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.542999	1
9	go	1	go_only	1	1	1	0.510579	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.510579	1
10	go	1	go_only	1	1	1	0.511565	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.511565	1
11	go	1	go_only	1	1	1	0.477452	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.477452	1
12	go	1	go_only	1	1	1	0.726200	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.726200	1
13	go	1	go_only	1	1	1	0.477094	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.477094	1
14	go	1	go_only	1	1	1	0.544311	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.544311	1
15	go	1	go_only	1	1	1	0.628327	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.628327	1
16	go	1	go_only	1	1	1	0.594163	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.594163	1
17	go	1	go_only	1	1	1	0.494815	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.494815	1
18	go	1	go_only	1	1	1	0.541660	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.541660	1
19	go	2	go_nogo_prac	1	1	1	0.478068	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.478068	1
20	go	2	go_nogo_prac	1	1	1	0.478195	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.478195	1
21	go	2	go_nogo_prac	1	1	1	0.494431	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.494431	1
22	go	2	go_nogo_prac	1	1	1	0.511534	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.511534	1
23	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.392180	1	stopped_early	0	0.392180	1
24	go	2	go_nogo_prac	1	1	1	0.527299	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.527299	1
25	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.492800	1	stopped_early	0	0.492800	1
26	go	2	go_nogo_prac	1	1	1	0.677489	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.677489	1
27	go	2	go_nogo_prac	1	1	1	0.592659	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.592659	1
28	go	2	go_nogo_prac	1	1	1	0.659875	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.659875	1
29	go	2	go_nogo_prac	1	1	1	1.159162	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	1.159162	1
30	go	2	go_nogo_prac	1	1	1	0.594647	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.594647	1
31	go	2	go_nogo_prac	1	1	1	0.592555	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.592555	1
32	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.425903	1	stopped_early	0	0.425903	1
33	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.427360	1	stopped_early	0	0.427360	1
34	go	2	go_nogo_prac	1	1	1	0.676110	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.676110	1
35	go	2	go_nogo_prac	1	1	1	0.709354	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.709354	1
36	go	2	go_nogo_prac	1	1	1	0.892538	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.892538	1
37	go	3	go_only	0	1	1	0.477452	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.477452	1
38	go	3	go_only	0	1	1	0.461898	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.461898	1
39	go	3	go_only	0	1	1	0.459692	0	0	0	0	0	0	1	1	0	0.209480	1	stopped_early	0	0.459692	1
40	go	3	go_only	0	1	1	0.458961	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.458961	1
41	go	3	go_only	0	1	1	0.560155	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.560155	1
42	go	3	go_only	0	1	1	0.528893	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.528893	1
43	go	3	go_only	0	1	1	0.494986	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.494986	1
44	go	3	go_only	0	1	1	0.510921	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.510921	1
45	go	3	go_only	0	1	1	0.513573	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.513573	1
46	go	3	go_only	0	1	1	0.543264	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.543264	1
47	go	3	go_only	0	1	1	0.510283	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.510283	1
48	go	3	go_only	0	1	1	0.609858	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.609858	1
49	go	3	go_only	0	1	1	0.625807	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.625807	1
50	go	3	go_only	0	1	1	0.526213	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.526213	1
51	go	3	go_only	0	1	1	0.727672	0	0	0	0	0	0	1	1	0	0.510831	1	stopped_early	0	0.727672	1
52	go	3	go_only	0	1	1	0.526346	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.526346	1
53	go	3	go_only	0	1	1	0.660571	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.660571	1
54	go	3	go_only	0	1	1	0.727022	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.727022	1
55	go	4	go_nogo	0	1	1	0.676308	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.676308	1
56	go	4	go_nogo	0	1	1	0.644346	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.644346	1
57	go	4	go_nogo	0	1	1	0.711565	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.711565	1
58	go	4	go_nogo	0	1	1	0.728331	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.728331	1
59	go	4	go_nogo	0	1	1	0.661079	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.661079	1
