trial_index	trial_type	block_number	block_type	is_practice	n_left_clicks	go_first_left_inside	go_first_left_rt	parse_failed_time	parse_failed_xy	parse_failed_buttons	mismatched_lengths	any_rb_nonzero	any_mb_nonzero	any_click	any_left	any_right	nogo_stop_time	nogo_stopped	nogo_outcome	nogo_parse_failed	rt_combined	accuracy
1	go	1	go_only	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.672816	1	stopped_near_deadline	0	n/a	0
2	go	1	go_only	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.523971	1	stopped_near_deadline	0	n/a	0
3	go	1	go_only	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.525550	1	stopped_near_deadline	0	n/a	0
4	go	1	go_only	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.359254	1	stopped_near_deadline	0	n/a	0
5	go	1	go_only	1	1	1	0.677532	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.677532	1
6	go	1	go_only	1	1	1	0.606182	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.606182	1
7	go	1	go_only	1	1	1	0.508442	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.508442	1
8	go	1	go_only	1	2	0	0.424846	0	0	0	0	0	0	1	1	0	0.341040	1	stopped_early	0	n/a	0
9	go	1	go_only	1	1	1	0.494136	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.494136	1
10	go	1	go_only	1	1	1	0.592752	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.592752	1
11	go	1	go_only	1	1	1	0.509929	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.509929	1
12	go	1	go_only	1	1	1	0.493804	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.493804	1
13	go	1	go_only	1	1	1	0.878355	0	0	0	0	0	0	1	1	0	0.661445	1	stopped_early	0	0.878355	1
14	go	1	go_only	1	1	1	0.544093	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.544093	1
15	go	1	go_only	1	1	1	0.526031	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.526031	1
16	go	1	go_only	1	1	1	0.543610	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.543610	1
17	go	1	go_only	1	1	1	0.575692	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.575692	1
18	go	1	go_only	1	1	1	0.560679	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.560679	1
19	go	2	go_nogo_prac	1	1	1	0.743893	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.743893	1
20	nogo	2	go_nogo_prac	1	1	0	0.910125	0	0	0	0	0	0	1	1	0	0.643469	1	stopped_early	0	n/a	0
21	go	2	go_nogo_prac	1	1	1	0.577864	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.577864	1
22	go	2	go_nogo_prac	1	1	1	0.528559	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.528559	1
23	nogo	2	go_nogo_prac	1	1	0	0.809556	0	0	0	0	0	0	1	1	0	0.376172	1	stopped_early	0	n/a	0
24	go	2	go_nogo_prac	1	1	1	0.711406	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.711406	1
25	nogo	2	go_nogo_prac	1	0	0	n/a	0	0	0	0	0	0	0	0	0	0.394429	1	stopped_early	0	0.394429	1
26	go	2	go_nogo_prac	1	1	1	0.575939	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.575939	1
27	go	2	go_nogo_prac	1	1	1	1.044449	0	0	0	0	0	0	1	1	0	0.610885	1	stopped_early	0	1.044449	1
28	go	2	go_nogo_prac	1	1	1	1.077993	0	0	0	0	0	0	1	1	0	0.494859	1	stopped_early	0	1.077993	1
