onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
0.0	0.417	1	2back	Block1	2back/STIM_000.jpg
4.605	0.855	1	2back	Block1	2back/STIM_000.jpg
8.226	0.583	1	2back	Block1	2back/STIM_000.jpg
11.032	1.246	1	2back	Block1	2back/STIM_001.jpg
16.236	0.745	1	2back	Block1	2back/STIM_001.jpg
20.462	0.623	1	2back	Block1	2back/STIM_001.jpg
24.476	1.04	0	2back	Block1	2back/STIM_002.jpg
28.91	0.888	1	2back	Block1	2back/STIM_002.jpg
33.136	0.867	0	2back	Block1	2back/STIM_002.jpg
36.37	0.546	1	2back	Block1	2back/STIM_003.jpg
40.0	0.694	1	2back	Block1	2back/STIM_003.jpg
44.166	1.105	1	2back	Block1	2back/STIM_003.jpg
48.868	0.805	1	2back	Block1	2back/STIM_004.jpg
52.508	1.044	1	2back	Block1	2back/STIM_004.jpg
56.892	0.531	1	2back	Block1	2back/STIM_004.jpg
59.521	0.947	1	2back	Block1	2back/STIM_005.jpg
63.578	0.972	1	2back	Block1	2back/STIM_005.jpg
68.134	0.697	1	2back	Block1	2back/STIM_005.jpg
71.353	0.991	1	2back	Block1	2back/STIM_006.jpg
75.67	1.101	1	2back	Block1	2back/STIM_006.jpg
79.415	0.621	1	2back	Block1	2back/STIM_006.jpg
82.417	0.67	1	2back	Block1	2back/STIM_007.jpg
86.949	0.797	1	2back	Block1	2back/STIM_007.jpg
90.881	0.832	1	2back	Block1	2back/STIM_007.jpg
94.982	0.858	1	2back	Block1	2back/STIM_008.jpg
98.313	0.669	1	2back	Block1	2back/STIM_008.jpg
102.515	0.585	1	2back	Block1	2back/STIM_008.jpg
107.155	1.054	1	2back	Block1	2back/STIM_009.jpg
110.872	0.84	1	2back	Block1	2back/STIM_009.jpg
114.566	1.05	0	2back	Block1	2back/STIM_009.jpg
119.165	0.896	1	2back	Block1	2back/STIM_010.jpg
123.828	0.592	1	2back	Block1	2back/STIM_010.jpg
127.95	1.009	1	2back	Block1	2back/STIM_010.jpg
131.916	1.162	1	2back	Block1	2back/STIM_011.jpg
136.995	0.865	1	2back	Block1	2back/STIM_011.jpg
140.489	0.87	1	2back	Block1	2back/STIM_011.jpg
144.714	1.053	1	2back	Block1	2back/STIM_012.jpg
149.566	1.011	1	2back	Block1	2back/STIM_012.jpg
153.332	0.847	0	2back	Block1	2back/STIM_012.jpg
157.975	0.881	0	2back	Block1	2back/STIM_013.jpg
161.386	1.101	1	2back	Block1	2back/STIM_013.jpg
165.997	0.522	1	2back	Block1	2back/STIM_013.jpg
169.177	1.068	1	2back	Block1	2back/STIM_014.jpg
174.167	0.74	0	2back	Block1	2back/STIM_014.jpg
177.694	1.033	1	2back	Block1	2back/STIM_014.jpg
181.085	1.039	1	2back	Block1	2back/STIM_015.jpg
186.196	0.568	1	2back	Block1	2back/STIM_015.jpg
189.4	0.584	1	2back	Block1	2back/STIM_015.jpg
192.261	0.625	1	2back	Block1	2back/STIM_016.jpg
195.38	0.943	1	2back	Block1	2back/STIM_016.jpg
199.955	0.987	1	2back	Block1	2back/STIM_016.jpg
204.882	0.975	1	2back	Block1	2back/STIM_017.jpg
208.31	0.821	1	2back	Block1	2back/STIM_017.jpg
212.297	0.65	1	2back	Block1	2back/STIM_017.jpg
216.616	0.794	0	2back	Block1	2back/STIM_018.jpg
221.234	0.634	1	2back	Block1	2back/STIM_018.jpg
225.359	0.628	1	2back	Block1	2back/STIM_018.jpg
229.263	1.219	1	2back	Block1	2back/STIM_019.jpg
232.983	0.78	1	2back	Block1	2back/STIM_019.jpg
236.507	0.867	1	2back	Block1	2back/STIM_019.jpg
240.726	0.883	1	2back	Block1	2back/STIM_020.jpg
244.084	1.049	1	2back	Block1	2back/STIM_020.jpg
249.021	0.595	1	2back	Block1	2back/STIM_020.jpg
252.751	0.666	1	2back	Block1	2back/STIM_021.jpg
256.521	1.168	1	2back	Block1	2back/STIM_021.jpg
260.984	0.54	1	2back	Block1	2back/STIM_021.jpg
264.847	0.545	1	2back	Block1	2back/STIM_022.jpg
269.244	0.865	1	2back	Block1	2back/STIM_022.jpg
272.583	0.551	1	2back	Block1	2back/STIM_022.jpg
276.69	0.855	0	2back	Block1	2back/STIM_023.jpg
281.378	0.553	1	2back	Block1	2back/STIM_023.jpg
284.78	0.669	1	2back	Block1	2back/STIM_023.jpg
287.55	0.607	0	2back	Block1	2back/STIM_024.jpg
291.757	0.725	1	2back	Block1	2back/STIM_024.jpg
296.368	0.752	1	2back	Block1	2back/STIM_024.jpg
300.953	0.961	1	2back	Block1	2back/STIM_025.jpg
305.218	0.763	1	2back	Block1	2back/STIM_025.jpg
309.072	0.774	1	2back	Block1	2back/STIM_025.jpg
312.355	0.542	1	2back	Block1	2back/STIM_026.jpg
316.914	0.573	1	2back	Block1	2back/STIM_026.jpg
320.632	1.001	1	2back	Block1	2back/STIM_026.jpg
324.539	0.634	1	2back	Block1	2back/STIM_027.jpg
328.108	0.681	1	2back	Block1	2back/STIM_027.jpg
332.58	0.764	1	2back	Block1	2back/STIM_027.jpg
336.115	1.018	0	2back	Block1	2back/STIM_028.jpg
339.604	0.664	1	2back	Block1	2back/STIM_028.jpg
342.628	0.549	1	2back	Block1	2back/STIM_028.jpg
346.765	0.999	1	2back	Block1	2back/STIM_029.jpg
351.122	0.61	1	2back	Block1	2back/STIM_029.jpg
354.341	0.572	1	2back	Block1	2back/STIM_029.jpg
358.602	0.56	1	2back	Block1	2back/STIM_030.jpg
362.855	1.087	1	2back	Block1	2back/STIM_030.jpg
366.258	0.848	1	2back	Block1	2back/STIM_030.jpg
370.09	1.184	1	2back	Block1	2back/STIM_031.jpg
374.584	0.974	1	2back	Block1	2back/STIM_031.jpg
378.688	0.515	0	2back	Block1	2back/STIM_031.jpg
382.419	1.034	1	2back	Block1	2back/STIM_032.jpg
386.107	0.991	0	2back	Block1	2back/STIM_032.jpg
389.64	0.547	1	2back	Block1	2back/STIM_032.jpg
393.395	0.876	1	2back	Block1	2back/STIM_033.jpg
397.208	1.036	1	2back	Block1	2back/STIM_033.jpg
402.264	0.691	1	2back	Block1	2back/STIM_033.jpg
405.359	0.507	1	2back	Block1	2back/STIM_034.jpg
408.251	0.5	1	2back	Block1	2back/STIM_034.jpg
411.081	0.764	0	2back	Block1	2back/STIM_034.jpg
415.564	0.719	1	2back	Block1	2back/STIM_035.jpg
418.471	0.51	1	2back	Block1	2back/STIM_035.jpg
422.755	0.636	1	2back	Block1	2back/STIM_035.jpg
427.223	0.73	1	2back	Block1	2back/STIM_036.jpg
430.821	1.122	1	2back	Block1	2back/STIM_036.jpg
434.787	0.987	1	2back	Block1	2back/STIM_036.jpg
439.853	0.758	1	2back	Block1	2back/STIM_037.jpg
443.836	1.065	1	2back	Block1	2back/STIM_037.jpg
448.659	0.863	1	2back	Block1	2back/STIM_037.jpg
452.719	1.001	1	2back	Block1	2back/STIM_038.jpg
456.818	0.965	1	2back	Block1	2back/STIM_038.jpg
459.984	0.717	1	2back	Block1	2back/STIM_038.jpg
464.324	1.109	0	2back	Block1	2back/STIM_039.jpg
