onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
0.0	1.018	1018.4	2back	Block1	2back/STIM_000.jpg	99
4.808	0.852	851.7	2back	Block1	2back/STIM_000.jpg	100
8.787	0.68	679.5	2back	Block1	2back/STIM_000.jpg	100
11.689	0.707	707.2	2back	Block1	2back/STIM_001.jpg	99
16.148	0.857	857.3	2back	Block1	2back/STIM_001.jpg	100
19.411	0.562	562.4	2back	Block1	2back/STIM_001.jpg	99
23.261	0.962	962.0	2back	Block1	2back/STIM_002.jpg	100
26.556	0.709	708.9	2back	Block1	2back/STIM_002.jpg	100
30.071	0.554	553.5	2back	Block1	2back/STIM_002.jpg	99
34.061	1.117	1117.0	2back	Block1	2back/STIM_003.jpg	100
37.935	0.642	641.9	2back	Block1	2back/STIM_003.jpg	99
41.083	0.72	720.2	2back	Block1	2back/STIM_003.jpg	99
44.258	0.951	951.2	2back	Block1	2back/STIM_004.jpg	100
48.294	1.079	1078.6	2back	Block1	2back/STIM_004.jpg	99
52.28	0.968	968.4	2back	Block1	2back/STIM_004.jpg	100
56.224	0.767	767.0	2back	Block1	2back/STIM_005.jpg	100
60.117	0.476	475.8	2back	Block1	2back/STIM_005.jpg	100
63.248	0.778	778.0	2back	Block1	2back/STIM_005.jpg	100
67.964	0.916	915.5	2back	Block1	2back/STIM_006.jpg	100
71.789	1.063	1063.4	2back	Block1	2back/STIM_006.jpg	99
76.19	0.576	576.1	2back	Block1	2back/STIM_006.jpg	99
79.29	0.571	571.1	2back	Block1	2back/STIM_007.jpg	99
82.789	0.535	534.6	2back	Block1	2back/STIM_007.jpg	99
85.571	0.45	449.8	2back	Block1	2back/STIM_007.jpg	99
88.792	0.98	979.6	2back	Block1	2back/STIM_008.jpg	100
93.474	0.652	652.0	2back	Block1	2back/STIM_008.jpg	100
97.862	0.631	631.3	2back	Block1	2back/STIM_008.jpg	100
101.868	0.675	674.6	2back	Block1	2back/STIM_009.jpg	100
105.376	0.988	987.9	2back	Block1	2back/STIM_009.jpg	99
108.959	0.529	528.8	2back	Block1	2back/STIM_009.jpg	99
112.963	0.898	898.5	2back	Block1	2back/STIM_010.jpg	99
116.657	0.605	604.6	2back	Block1	2back/STIM_010.jpg	100
119.973	0.884	883.9	2back	Block1	2back/STIM_010.jpg	99
124.441	1.0	999.6	2back	Block1	2back/STIM_011.jpg	100
128.335	0.908	907.7	2back	Block1	2back/STIM_011.jpg	100
132.161	0.886	886.5	2back	Block1	2back/STIM_011.jpg	99
136.289	0.983	982.6	2back	Block1	2back/STIM_012.jpg	99
141.138	0.897	896.9	2back	Block1	2back/STIM_012.jpg	100
145.357	0.631	631.0	2back	Block1	2back/STIM_012.jpg	100
149.675	0.922	921.8	2back	Block1	2back/STIM_013.jpg	99
152.625	0.657	657.4	2back	Block1	2back/STIM_013.jpg	100
157.02	0.933	933.1	2back	Block1	2back/STIM_013.jpg	100
160.261	0.969	968.8	2back	Block1	2back/STIM_014.jpg	99
164.231	0.585	584.6	2back	Block1	2back/STIM_014.jpg	100
167.029	0.587	587.1	2back	Block1	2back/STIM_014.jpg	99
170.319	0.819	819.0	2back	Block1	2back/STIM_015.jpg	99
173.206	0.576	575.6	2back	Block1	2back/STIM_015.jpg	100
177.309	0.642	641.5	2back	Block1	2back/STIM_015.jpg	99
181.846	0.654	653.5	2back	Block1	2back/STIM_016.jpg	99
185.2	0.83	830.5	2back	Block1	2back/STIM_016.jpg	99
189.018	0.839	839.2	2back	Block1	2back/STIM_016.jpg	99
193.486	1.03	1029.6	2back	Block1	2back/STIM_017.jpg	99
196.738	0.623	622.9	2back	Block1	2back/STIM_017.jpg	100
200.133	0.642	642.3	2back	Block1	2back/STIM_017.jpg	99
204.084	0.682	682.2	2back	Block1	2back/STIM_018.jpg	100
208.564	0.734	734.4	2back	Block1	2back/STIM_018.jpg	100
212.279	0.64	639.6	2back	Block1	2back/STIM_018.jpg	100
215.566	0.592	592.1	2back	Block1	2back/STIM_019.jpg	99
219.253	0.867	867.2	2back	Block1	2back/STIM_019.jpg	100
224.027	0.498	497.5	2back	Block1	2back/STIM_019.jpg	99
228.407	0.812	812.0	2back	Block1	2back/STIM_020.jpg	100
232.613	0.557	557.2	2back	Block1	2back/STIM_020.jpg	100
