onset	duration	accuracy	trial_type	learning_stage	stimulus
0.0	0.664	correct	2back	Block1	2back/STIM_000.jpg
3.312	1.303	correct	2back	Block1	2back/STIM_000.jpg
8.468	1.085	correct	2back	Block1	2back/STIM_000.jpg
12.193	0.865	incorrect	2back	Block1	2back/STIM_001.jpg
16.266	0.805	correct	2back	Block1	2back/STIM_001.jpg
20.869	0.686	correct	2back	Block1	2back/STIM_001.jpg
23.498	0.966	correct	2back	Block1	2back/STIM_002.jpg
28.0	0.966	correct	2back	Block1	2back/STIM_002.jpg
32.768	0.725	incorrect	2back	Block1	2back/STIM_002.jpg
36.003	1.147	correct	2back	Block1	2back/STIM_003.jpg
39.366	1.146	incorrect	2back	Block1	2back/STIM_003.jpg
42.597	0.639	correct	2back	Block1	2back/STIM_003.jpg
45.567	0.623	incorrect	2back	Block1	2back/STIM_004.jpg
48.315	1.208	correct	2back	Block1	2back/STIM_004.jpg
52.087	0.966	correct	2back	Block1	2back/STIM_004.jpg
56.221	1.2	correct	2back	Block1	2back/STIM_005.jpg
59.895	0.79	correct	2back	Block1	2back/STIM_005.jpg
64.284	1.16	correct	2back	Block1	2back/STIM_005.jpg
68.06	1.248	incorrect	2back	Block1	2back/STIM_006.jpg
71.764	1.198	correct	2back	Block1	2back/STIM_006.jpg
76.639	0.546	correct	2back	Block1	2back/STIM_006.jpg
80.97	0.828	incorrect	2back	Block1	2back/STIM_007.jpg
84.594	0.778	correct	2back	Block1	2back/STIM_007.jpg
89.215	0.559	correct	2back	Block1	2back/STIM_007.jpg
92.22	0.684	correct	2back	Block1	2back/STIM_008.jpg
95.956	0.798	correct	2back	Block1	2back/STIM_008.jpg
99.02	0.954	correct	2back	Block1	2back/STIM_008.jpg
103.941	1.319	correct	2back	Block1	2back/STIM_009.jpg
108.567	0.568	correct	2back	Block1	2back/STIM_009.jpg
111.488	0.822	correct	2back	Block1	2back/STIM_009.jpg
115.275	1.115	correct	2back	Block1	2back/STIM_010.jpg
119.998	1.256	correct	2back	Block1	2back/STIM_010.jpg
124.739	0.854	incorrect	2back	Block1	2back/STIM_010.jpg
129.091	0.796	correct	2back	Block1	2back/STIM_011.jpg
133.719	0.724	correct	2back	Block1	2back/STIM_011.jpg
138.194	0.6	correct	2back	Block1	2back/STIM_011.jpg
140.851	0.809	correct	2back	Block1	2back/STIM_012.jpg
145.267	0.851	incorrect	2back	Block1	2back/STIM_012.jpg
149.614	0.98	incorrect	2back	Block1	2back/STIM_012.jpg
152.688	1.051	correct	2back	Block1	2back/STIM_013.jpg
157.684	1.133	correct	2back	Block1	2back/STIM_013.jpg
161.193	0.795	correct	2back	Block1	2back/STIM_013.jpg
165.552	0.687	correct	2back	Block1	2back/STIM_014.jpg
169.217	1.299	correct	2back	Block1	2back/STIM_014.jpg
173.368	0.704	correct	2back	Block1	2back/STIM_014.jpg
176.505	0.714	correct	2back	Block1	2back/STIM_015.jpg
180.382	0.74	correct	2back	Block1	2back/STIM_015.jpg
183.979	0.805	incorrect	2back	Block1	2back/STIM_015.jpg
188.669	0.856	incorrect	2back	Block1	2back/STIM_016.jpg
191.63	0.908	incorrect	2back	Block1	2back/STIM_016.jpg
195.043	0.616	correct	2back	Block1	2back/STIM_016.jpg
198.017	0.91	correct	2back	Block1	2back/STIM_017.jpg
202.3	0.818	incorrect	2back	Block1	2back/STIM_017.jpg
206.663	0.992	correct	2back	Block1	2back/STIM_017.jpg
211.481	0.606	correct	2back	Block1	2back/STIM_018.jpg
215.159	0.672	correct	2back	Block1	2back/STIM_018.jpg
219.367	0.774	correct	2back	Block1	2back/STIM_018.jpg
223.492	0.512	incorrect	2back	Block1	2back/STIM_019.jpg
227.208	0.645	incorrect	2back	Block1	2back/STIM_019.jpg
230.395	0.766	correct	2back	Block1	2back/STIM_019.jpg
234.293	1.062	correct	2back	Block1	2back/STIM_020.jpg
238.601	1.286	incorrect	2back	Block1	2back/STIM_020.jpg
242.805	1.035	correct	2back	Block1	2back/STIM_020.jpg
246.936	1.138	incorrect	2back	Block1	2back/STIM_021.jpg
251.06	1.29	correct	2back	Block1	2back/STIM_021.jpg
255.493	1.045	correct	2back	Block1	2back/STIM_021.jpg
259.414	0.986	correct	2back	Block1	2back/STIM_022.jpg
262.631	0.789	correct	2back	Block1	2back/STIM_022.jpg
265.77	0.749	correct	2back	Block1	2back/STIM_022.jpg
269.826	0.881	incorrect	2back	Block1	2back/STIM_023.jpg
274.538	0.777	correct	2back	Block1	2back/STIM_023.jpg
278.075	1.115	correct	2back	Block1	2back/STIM_023.jpg
281.664	1.074	correct	2back	Block1	2back/STIM_024.jpg
286.076	0.61	correct	2back	Block1	2back/STIM_024.jpg
289.495	0.836	correct	2back	Block1	2back/STIM_024.jpg
293.939	1.257	correct	2back	Block1	2back/STIM_025.jpg
298.355	0.787	correct	2back	Block1	2back/STIM_025.jpg
302.193	1.006	correct	2back	Block1	2back/STIM_025.jpg
306.91	1.002	correct	2back	Block1	2back/STIM_026.jpg
310.063	0.729	correct	2back	Block1	2back/STIM_026.jpg
313.822	0.786	incorrect	2back	Block1	2back/STIM_026.jpg
317.519	0.968	correct	2back	Block1	2back/STIM_027.jpg
322.272	0.605	correct	2back	Block1	2back/STIM_027.jpg
326.496	0.637	correct	2back	Block1	2back/STIM_027.jpg
329.511	1.189	correct	2back	Block1	2back/STIM_028.jpg
334.129	0.543	correct	2back	Block1	2back/STIM_028.jpg
337.405	0.879	correct	2back	Block1	2back/STIM_028.jpg
341.026	0.727	correct	2back	Block1	2back/STIM_029.jpg
345.153	0.676	correct	2back	Block1	2back/STIM_029.jpg
347.95	0.483	incorrect	2back	Block1	2back/STIM_029.jpg
351.758	0.885	correct	2back	Block1	2back/STIM_030.jpg
355.409	0.998	correct	2back	Block1	2back/STIM_030.jpg
358.524	1.09	incorrect	2back	Block1	2back/STIM_030.jpg
363.307	1.384	correct	2back	Block1	2back/STIM_031.jpg
367.047	0.912	correct	2back	Block1	2back/STIM_031.jpg
370.56	0.466	correct	2back	Block1	2back/STIM_031.jpg
374.31	1.312	correct	2back	Block1	2back/STIM_032.jpg
379.12	0.606	correct	2back	Block1	2back/STIM_032.jpg
382.46	0.863	correct	2back	Block1	2back/STIM_032.jpg
386.078	0.793	correct	2back	Block1	2back/STIM_033.jpg
389.066	0.877	incorrect	2back	Block1	2back/STIM_033.jpg
393.755	0.657	correct	2back	Block1	2back/STIM_033.jpg
397.109	0.683	correct	2back	Block1	2back/STIM_034.jpg
400.895	0.957	correct	2back	Block1	2back/STIM_034.jpg
405.313	0.95	correct	2back	Block1	2back/STIM_034.jpg
409.041	0.927	correct	2back	Block1	2back/STIM_035.jpg
412.642	1.072	correct	2back	Block1	2back/STIM_035.jpg
417.49	0.883	correct	2back	Block1	2back/STIM_035.jpg
420.489	0.609	correct	2back	Block1	2back/STIM_036.jpg
424.619	0.708	correct	2back	Block1	2back/STIM_036.jpg
428.908	0.826	correct	2back	Block1	2back/STIM_036.jpg
432.362	1.213	correct	2back	Block1	2back/STIM_037.jpg
437.315	0.451	incorrect	2back	Block1	2back/STIM_037.jpg
441.565	0.832	correct	2back	Block1	2back/STIM_037.jpg
444.588	0.677	correct	2back	Block1	2back/STIM_038.jpg
447.595	0.788	correct	2back	Block1	2back/STIM_038.jpg
451.475	0.831	correct	2back	Block1	2back/STIM_038.jpg
456.258	0.941	correct	2back	Block1	2back/STIM_039.jpg
460.192	1.154	correct	2back	Block1	2back/STIM_039.jpg
464.855	0.586	correct	2back	Block1	2back/STIM_039.jpg
468.006	0.495	correct	0back	Block1	0back/STIM_000.jpg
471.494	0.601	correct	0back	Block1	0back/STIM_000.jpg
474.555	0.643	correct	0back	Block1	0back/STIM_000.jpg
478.047	0.472	correct	0back	Block1	0back/STIM_001.jpg
480.929	0.646	correct	0back	Block1	0back/STIM_001.jpg
485.099	0.727	correct	0back	Block1	0back/STIM_001.jpg
489.862	0.452	correct	0back	Block1	0back/STIM_002.jpg
493.954	0.637	correct	0back	Block1	0back/STIM_002.jpg
496.986	0.535	correct	0back	Block1	0back/STIM_002.jpg
500.444	0.427	correct	0back	Block1	0back/STIM_003.jpg
504.528	0.385	correct	0back	Block1	0back/STIM_003.jpg
508.1	0.523	correct	0back	Block1	0back/STIM_003.jpg
511.122	0.695	correct	0back	Block1	0back/STIM_004.jpg
515.565	0.433	correct	0back	Block1	0back/STIM_004.jpg
518.818	0.515	correct	0back	Block1	0back/STIM_004.jpg
522.313	0.621	correct	0back	Block1	0back/STIM_005.jpg
526.49	0.522	correct	0back	Block1	0back/STIM_005.jpg
529.8	0.61	correct	0back	Block1	0back/STIM_005.jpg
534.168	0.623	correct	0back	Block1	0back/STIM_006.jpg
538.299	0.437	correct	0back	Block1	0back/STIM_006.jpg
541.77	0.501	correct	0back	Block1	0back/STIM_006.jpg
545.316	0.417	correct	0back	Block1	0back/STIM_007.jpg
549.654	0.387	correct	0back	Block1	0back/STIM_007.jpg
553.276	0.741	correct	0back	Block1	0back/STIM_007.jpg
557.415	0.689	correct	0back	Block1	0back/STIM_008.jpg
561.603	0.755	correct	0back	Block1	0back/STIM_008.jpg
564.372	0.637	correct	0back	Block1	0back/STIM_008.jpg
568.782	0.412	correct	0back	Block1	0back/STIM_009.jpg
571.751	0.414	correct	0back	Block1	0back/STIM_009.jpg
575.75	0.572	correct	0back	Block1	0back/STIM_009.jpg
579.057	0.539	correct	0back	Block1	0back/STIM_010.jpg
582.702	0.692	correct	0back	Block1	0back/STIM_010.jpg
586.457	0.545	correct	0back	Block1	0back/STIM_010.jpg
589.084	0.498	correct	0back	Block1	0back/STIM_011.jpg
593.41	0.687	incorrect	0back	Block1	0back/STIM_011.jpg
597.409	0.368	correct	0back	Block1	0back/STIM_011.jpg
600.811	0.645	correct	0back	Block1	0back/STIM_012.jpg
604.14	0.55	correct	0back	Block1	0back/STIM_012.jpg
608.009	0.769	correct	0back	Block1	0back/STIM_012.jpg
612.111	0.46	correct	0back	Block1	0back/STIM_013.jpg
615.48	0.793	correct	0back	Block1	0back/STIM_013.jpg
618.294	0.66	correct	0back	Block1	0back/STIM_013.jpg
622.291	0.767	correct	0back	Block1	0back/STIM_014.jpg
625.105	0.696	correct	0back	Block1	0back/STIM_014.jpg
628.324	0.364	correct	0back	Block1	0back/STIM_014.jpg
632.017	0.76	correct	0back	Block1	0back/STIM_015.jpg
635.036	0.495	correct	0back	Block1	0back/STIM_015.jpg
639.455	0.51	correct	0back	Block1	0back/STIM_015.jpg
643.534	0.741	correct	0back	Block1	0back/STIM_016.jpg
646.3	0.779	correct	0back	Block1	0back/STIM_016.jpg
649.22	0.486	correct	0back	Block1	0back/STIM_016.jpg
653.224	0.69	correct	0back	Block1	0back/STIM_017.jpg
656.086	0.463	correct	0back	Block1	0back/STIM_017.jpg
659.567	0.561	correct	0back	Block1	0back/STIM_017.jpg
662.831	0.584	correct	0back	Block1	0back/STIM_018.jpg
666.825	0.539	incorrect	0back	Block1	0back/STIM_018.jpg
671.334	0.597	correct	0back	Block1	0back/STIM_018.jpg
673.995	0.416	correct	0back	Block1	0back/STIM_019.jpg
676.913	0.386	correct	0back	Block1	0back/STIM_019.jpg
679.581	0.343	correct	0back	Block1	0back/STIM_019.jpg
683.537	0.826	correct	2back	Block2	2back/STIM_000.jpg
687.459	0.529	correct	2back	Block2	2back/STIM_000.jpg
691.788	0.747	correct	2back	Block2	2back/STIM_000.jpg
695.221	0.915	correct	2back	Block2	2back/STIM_001.jpg
699.856	0.606	correct	2back	Block2	2back/STIM_001.jpg
703.843	0.682	correct	2back	Block2	2back/STIM_001.jpg
708.504	0.898	incorrect	2back	Block2	2back/STIM_002.jpg
711.763	1.034	correct	2back	Block2	2back/STIM_002.jpg
715.306	0.927	correct	2back	Block2	2back/STIM_002.jpg
718.955	0.944	correct	2back	Block2	2back/STIM_003.jpg
722.159	0.642	correct	2back	Block2	2back/STIM_003.jpg
726.431	0.778	correct	2back	Block2	2back/STIM_003.jpg
731.122	1.08	correct	2back	Block2	2back/STIM_004.jpg
735.718	0.801	correct	2back	Block2	2back/STIM_004.jpg
739.203	1.005	correct	2back	Block2	2back/STIM_004.jpg
743.177	0.849	correct	2back	Block2	2back/STIM_005.jpg
746.094	0.801	incorrect	2back	Block2	2back/STIM_005.jpg
750.093	0.776	incorrect	2back	Block2	2back/STIM_005.jpg
752.978	1.066	correct	2back	Block2	2back/STIM_006.jpg
757.747	0.964	incorrect	2back	Block2	2back/STIM_006.jpg
762.479	0.901	correct	2back	Block2	2back/STIM_006.jpg
766.292	0.86	correct	2back	Block2	2back/STIM_007.jpg
770.086	1.03	correct	2back	Block2	2back/STIM_007.jpg
773.536	0.871	correct	2back	Block2	2back/STIM_007.jpg
776.691	1.162	correct	2back	Block2	2back/STIM_008.jpg
780.013	0.764	correct	2back	Block2	2back/STIM_008.jpg
784.489	0.627	correct	2back	Block2	2back/STIM_008.jpg
788.379	1.032	correct	2back	Block2	2back/STIM_009.jpg
791.766	0.658	correct	2back	Block2	2back/STIM_009.jpg
794.602	0.981	correct	2back	Block2	2back/STIM_009.jpg
798.503	0.931	correct	2back	Block2	2back/STIM_010.jpg
803.256	1.034	correct	2back	Block2	2back/STIM_010.jpg
806.759	0.858	incorrect	2back	Block2	2back/STIM_010.jpg
811.647	0.818	incorrect	2back	Block2	2back/STIM_011.jpg
815.662	0.732	correct	2back	Block2	2back/STIM_011.jpg
819.171	0.789	correct	2back	Block2	2back/STIM_011.jpg
823.459	1.185	correct	2back	Block2	2back/STIM_012.jpg
828.494	0.519	correct	2back	Block2	2back/STIM_012.jpg
832.929	0.524	correct	2back	Block2	2back/STIM_012.jpg
837.079	1.158	correct	2back	Block2	2back/STIM_013.jpg
840.521	0.582	correct	2back	Block2	2back/STIM_013.jpg
843.28	0.668	correct	2back	Block2	2back/STIM_013.jpg
847.886	0.377	correct	2back	Block2	2back/STIM_014.jpg
851.652	1.127	correct	2back	Block2	2back/STIM_014.jpg
856.004	0.621	correct	2back	Block2	2back/STIM_014.jpg
860.162	0.914	correct	2back	Block2	2back/STIM_015.jpg
864.223	1.028	incorrect	2back	Block2	2back/STIM_015.jpg
868.264	0.678	correct	2back	Block2	2back/STIM_015.jpg
871.8	0.984	incorrect	2back	Block2	2back/STIM_016.jpg
876.678	0.863	correct	2back	Block2	2back/STIM_016.jpg
879.893	0.492	correct	2back	Block2	2back/STIM_016.jpg
883.099	0.987	correct	2back	Block2	2back/STIM_017.jpg
887.132	0.676	correct	2back	Block2	2back/STIM_017.jpg
891.093	0.542	correct	2back	Block2	2back/STIM_017.jpg
894.564	0.606	correct	2back	Block2	2back/STIM_018.jpg
898.29	1.004	correct	2back	Block2	2back/STIM_018.jpg
903.049	0.917	correct	2back	Block2	2back/STIM_018.jpg
906.877	1.193	correct	2back	Block2	2back/STIM_019.jpg
911.451	0.791	correct	2back	Block2	2back/STIM_019.jpg
915.761	1.037	correct	2back	Block2	2back/STIM_019.jpg
920.365	1.097	correct	2back	Block2	2back/STIM_020.jpg
924.96	0.706	correct	2back	Block2	2back/STIM_020.jpg
928.692	0.835	correct	2back	Block2	2back/STIM_020.jpg
931.785	0.866	correct	2back	Block2	2back/STIM_021.jpg
935.386	0.441	correct	2back	Block2	2back/STIM_021.jpg
939.447	0.911	correct	2back	Block2	2back/STIM_021.jpg
943.267	0.726	correct	2back	Block2	2back/STIM_022.jpg
946.981	1.044	correct	2back	Block2	2back/STIM_022.jpg
951.005	0.508	correct	2back	Block2	2back/STIM_022.jpg
954.002	0.527	incorrect	2back	Block2	2back/STIM_023.jpg
957.836	1.038	correct	2back	Block2	2back/STIM_023.jpg
961.877	0.589	correct	2back	Block2	2back/STIM_023.jpg
965.178	0.752	correct	2back	Block2	2back/STIM_024.jpg
968.394	0.833	correct	2back	Block2	2back/STIM_024.jpg
972.411	1.059	correct	2back	Block2	2back/STIM_024.jpg
975.976	0.715	correct	2back	Block2	2back/STIM_025.jpg
979.763	0.876	correct	2back	Block2	2back/STIM_025.jpg
983.91	0.599	correct	2back	Block2	2back/STIM_025.jpg
987.108	0.578	correct	2back	Block2	2back/STIM_026.jpg
990.335	0.698	correct	2back	Block2	2back/STIM_026.jpg
993.105	0.646	correct	2back	Block2	2back/STIM_026.jpg
996.92	0.74	correct	2back	Block2	2back/STIM_027.jpg
1001.192	0.936	correct	2back	Block2	2back/STIM_027.jpg
1004.371	0.808	correct	2back	Block2	2back/STIM_027.jpg
1007.825	0.534	correct	2back	Block2	2back/STIM_028.jpg
1010.864	1.002	correct	2back	Block2	2back/STIM_028.jpg
1014.672	0.708	correct	2back	Block2	2back/STIM_028.jpg
1017.608	0.693	correct	2back	Block2	2back/STIM_029.jpg
