participant_id	sex	age
sub-001	female	25.3
sub-002	female	27.7
sub-003	female	21.3
sub-004	female	26.7
sub-005	female	24.9
sub-006	male	34.7
sub-007	female	27.7
sub-008	male	24.8
sub-009	male	24.9
sub-010	male	30.4
sub-011	female	28.7
n/a	n/a	n/a
sub-013	male	32.7
sub-014	female	22.5
n/a	n/a	n/a
sub-016	female	24.0
sub-017	non binary	38.2
sub-018	male	21.2
n/a	n/a	n/a
n/a	n/a	n/a
sub-021	female	29.1
sub-022	male	24.2
n/a	n/a	n/a
sub-024	male	30.2
sub-025	female	27.7
sub-026	non binary	29.5
sub-027	female	23.8
sub-028	male	30.7
sub-029	female	27.4
sub-030	female	20.5
sub-031	female	37.5
sub-032	male	25.3
sub-033	female	27.1
sub-034	female	27.2
sub-035	female	18.3
sub-036	male	43.3
sub-037	non binary	25.6
sub-038	female	31.9
sub-039	male	28.4
n/a	n/a	n/a
sub-041	male	27.4
n/a	n/a	n/a
sub-043	female	33.0
n/a	n/a	n/a
sub-045	female	22.1
sub-046	female	21.1
sub-047	female	21.0
sub-048	male	48.1
sub-049	male	22.4
sub-050	female	22.0
sub-051	female	21.8
sub-052	non binary	26.8
