onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
211.754	n/a	to late	learning	LS1	h54_p3_k_up_q2_right.jpg	n/a
258.748	1.267	correct	learning	LS1	h20_p43_i_up_right.jpg	97
305.909	1.381	incorrect	learning	LS1	h95_p37_i_down_left.jpg	98
353.069	1.207	correct	learning	LS1	h77_p35_i_down_left.jpg	97
400.563	1.751	incorrect	learning	LS1	h55_p15_i_down_left.jpg	98
447.557	1.354	correct	learning	LS1	h20_p53_k_up_q3_right.jpg	98
494.718	1.036	correct	learning	LS1	h55_p24_k_down_q4_left.jpg	98
541.712	0.527	correct	learning	LS1	h77_p42_k_down_q1_left.jpg	98
588.539	0.643	correct	learning	LS1	h95_p32_k_down_q2_right.jpg	98
635.366	0.934	correct	learning	LS1	h54_p47_i_up_left.jpg	97
727.355	0.883	correct	learning	LS2	h54_p31_i_up_left.jpg	97
774.182	0.758	correct	learning	LS2	h95_p32_k_down_q2_right.jpg	98
821.009	0.874	correct	learning	LS2	h55_p11_i_down_right.jpg	97
867.837	0.861	correct	learning	LS2	h77_p16_i_down_right.jpg	97
915.164	0.862	correct	learning	LS2	h20_p12_i_up_right.jpg	97
962.491	0.832	correct	learning	LS2	h55_p24_k_down_q4_left.jpg	98
1009.818	0.849	correct	learning	LS2	h54_p3_k_up_q2_right.jpg	98
1057.146	1.026	correct	learning	LS2	h20_p53_k_up_q3_right.jpg	98
1104.306	0.789	correct	learning	LS2	h77_p42_k_down_q1_left.jpg	98
1151.467	1.046	correct	learning	LS2	h95_p31_i_down_right.jpg	97
1243.955	0.786	correct	learning	LS3	h54_p3_k_up_q2_right.jpg	98
1291.116	0.788	correct	learning	LS3	h77_p42_k_down_q1_left.jpg	98
1338.276	0.71	correct	learning	LS3	h95_p32_k_down_q2_right.jpg	98
1385.437	0.76	correct	learning	LS3	h55_p24_k_down_q4_left.jpg	98
1432.597	0.826	correct	learning	LS3	h20_p43_i_up_right.jpg	97
1479.758	0.877	correct	learning	LS3	h77_p35_i_down_left.jpg	97
1526.919	1.054	correct	learning	LS3	h54_p47_i_up_left.jpg	97
1573.913	0.673	incorrect	learning	LS3	h20_p53_k_up_q3_right.jpg	97
