onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
574.053	n/a	n/a	learning	LS1	h76_p29_k_down_q1_left.jpg	n/a
620.752	2.392	2391.5	learning	LS1	h34_p17_i_up_left.jpg	97
667.284	1.623	1622.6	learning	LS1	h76_p11_i_down_right.jpg	98
713.815	1.877	1876.8	learning	LS1	h34_p41_k_up_q4_left.jpg	97
760.514	1.683	1682.7	learning	LS1	h97_p33_i_down_right.jpg	98
807.38	1.807	1807.4	learning	LS1	h44_p18_k_up_q1_right.jpg	98
854.078	1.469	1469.4	learning	LS1	h26_p43_i_up_right.jpg	98
900.777	2.458	2458.0	learning	LS1	h97_p23_k_down_q2_right.jpg	97
947.309	2.488	2488.5	learning	LS1	h26_p20_k_up_q2_right.jpg	98
994.007	1.287	1287.3	learning	LS1	h44_p20_i_up_right.jpg	97
1085.904	1.944	1944.2	learning	LS2	h97_p23_k_down_q2_right.jpg	97
1132.769	2.101	2100.9	learning	LS2	h44_p49_i_up_left.jpg	98
1179.634	1.283	1282.6	learning	LS2	h76_p49_i_down_right.jpg	98
1226.333	1.728	1727.9	learning	LS2	h34_p21_i_up_right.jpg	98
1272.865	1.678	1678.2	learning	LS2	h26_p20_k_up_q2_right.jpg	97
1319.563	1.772	1771.8	learning	LS2	h76_p29_k_down_q1_left.jpg	98
1366.262	1.45	1449.8	learning	LS2	h26_p48_i_up_right.jpg	97
1412.961	1.303	1303.4	learning	LS2	h34_p41_k_up_q4_left.jpg	98
1459.826	1.668	1667.8	learning	LS2	h44_p18_k_up_q1_right.jpg	98
1506.525	1.458	1457.7	learning	LS2	h97_p35_i_down_left.jpg	97
1598.254	1.892	1891.7	learning	LS3	h26_p43_i_up_right.jpg	97
1644.953	1.474	1473.8	learning	LS3	h97_p33_i_down_right.jpg	97
1691.485	1.088	1088.3	learning	LS3	h76_p11_i_down_right.jpg	97
1738.017	1.23	1230.5	learning	LS3	h34_p41_k_up_q4_left.jpg	98
1784.715	1.02	1020.5	learning	LS3	h44_p18_k_up_q1_right.jpg	98
1831.247	0.843	843.0	learning	LS3	h76_p29_k_down_q1_left.jpg	98
1877.779	1.449	1449.0	learning	LS3	h26_p20_k_up_q2_right.jpg	98
1924.478	0.999	999.4	learning	LS3	h44_p20_i_up_right.jpg	97
1971.176	1.476	1476.5	learning	LS3	h34_p17_i_up_left.jpg	97
2017.875	1.41	1410.4	learning	LS3	h97_p23_k_down_q2_right.jpg	98
2109.604	1.572	1572.5	learning	LS4	h34_p21_i_up_right.jpg	97
2156.136	1.315	1315.0	learning	LS4	h97_p23_k_down_q2_right.jpg	98
2202.668	1.058	1057.7	learning	LS4	h34_p41_k_up_q4_left.jpg	98
2249.2	0.848	848.2	learning	LS4	h26_p48_i_up_right.jpg	97
2295.732	1.598	1597.7	learning	LS4	h76_p49_i_down_right.jpg	97
2342.43	1.675	1675.2	learning	LS4	h44_p18_k_up_q1_right.jpg	98
2388.962	1.082	1082.3	learning	LS4	h26_p20_k_up_q2_right.jpg	98
2435.661	1.128	1127.8	learning	LS4	h44_p49_i_up_left.jpg	98
2482.526	1.492	1492.3	learning	LS4	h97_p35_i_down_left.jpg	97
2529.058	1.107	1107.0	learning	LS4	h76_p29_k_down_q1_left.jpg	98
2801.411	n/a	n/a	control	LS1	h95_p31_i_down_right.jpg	n/a
2852.446	1.521	1521.2	control	LS1	h95_p32_k_down_q2_right.jpg	97
2898.644	1.761	1760.9	control	LS1	h38_p25_i_up_left.jpg	98
2944.676	1.394	1393.7	control	LS1	h38_p37_k_up_q3_right.jpg	97
2990.707	1.698	1697.9	control	LS1	h56_p2_i_up_left.jpg	97
3036.739	1.682	1682.5	control	LS1	h56_p13_k_up_q2_right.jpg	97
3082.77	2.194	2194.5	control	LS1	h101_p49_k_down_q2_right.jpg	97
3128.802	1.571	1571.4	control	LS1	h50_p21_i_up_right.jpg	97
3174.833	0.053	53.3	control	LS1	h101_p21_i_down_left.jpg	97
3221.032	1.62	1619.7	control	LS1	h50_p45_k_up_q3_right.jpg	97
3312.094	1.753	1752.6	control	LS2	h95_p32_k_down_q2_right.jpg	97
3358.126	1.37	1369.6	control	LS2	h56_p49_i_up_left.jpg	98
3404.157	1.162	1162.3	control	LS2	h101_p37_i_down_left.jpg	98
3450.022	1.147	1147.3	control	LS2	h56_p13_k_up_q2_right.jpg	97
3496.053	1.244	1243.8	control	LS2	h95_p37_i_down_left.jpg	98
3542.085	1.964	1963.7	control	LS2	h38_p47_i_up_left.jpg	98
3588.116	1.485	1484.9	control	LS2	h50_p37_i_up_right.jpg	97
3634.148	1.038	1037.8	control	LS2	h50_p45_k_up_q3_right.jpg	97
3680.013	1.199	1199.0	control	LS2	h101_p49_k_down_q2_right.jpg	97
3725.877	1.376	1375.9	control	LS2	h38_p37_k_up_q3_right.jpg	97
3816.94	1.573	1572.7	control	LS3	h95_p32_k_down_q2_right.jpg	97
3862.804	1.078	1078.4	control	LS3	h56_p13_k_up_q2_right.jpg	97
3908.669	1.846	1846.5	control	LS3	h95_p31_i_down_right.jpg	97
3954.534	1.896	1895.6	control	LS3	h101_p49_k_down_q2_right.jpg	97
4000.399	1.993	1992.7	control	LS3	h56_p2_i_up_left.jpg	98
4046.263	0.987	986.8	control	LS3	h38_p37_k_up_q3_right.jpg	97
4092.128	2.171	2170.9	control	LS3	h101_p21_i_down_left.jpg	98
4137.993	0.973	972.9	control	LS3	h50_p45_k_up_q3_right.jpg	97
4183.858	0.942	941.9	control	LS3	h38_p25_i_up_left.jpg	98
4229.722	1.327	1327.0	control	LS3	h50_p21_i_up_right.jpg	97
4320.785	1.86	1859.6	control	LS4	h95_p32_k_down_q2_right.jpg	97
4366.816	0.981	980.9	control	LS4	h38_p37_k_up_q3_right.jpg	97
4412.848	1.093	1093.4	control	LS4	h38_p47_i_up_left.jpg	98
4458.712	1.382	1382.4	control	LS4	h101_p49_k_down_q2_right.jpg	97
4504.577	1.575	1575.3	control	LS4	h101_p37_i_down_left.jpg	98
4550.442	1.368	1368.4	control	LS4	h50_p45_k_up_q3_right.jpg	97
4596.306	1.114	1113.9	control	LS4	h56_p13_k_up_q2_right.jpg	98
4642.171	2.394	2394.1	control	LS4	h95_p37_i_down_left.jpg	98
4688.036	1.1	1100.5	control	LS4	h56_p49_i_up_left.jpg	98
4734.067	0.494	493.5	control	LS4	h50_p37_i_up_right.jpg	97
5005.753	1.474	1474.2	learning	LS1	h20_p53_k_up_q3_right.jpg	97
5052.452	1.472	1472.0	learning	LS1	h58_p15_i_down_left.jpg	98
5099.151	1.806	1805.5	learning	LS1	h56_p13_k_up_q2_right.jpg	98
5145.849	1.803	1803.1	learning	LS1	h88_p35_k_down_q1_left.jpg	97
5192.715	1.96	1959.9	learning	LS1	h20_p43_i_up_right.jpg	97
5239.247	1.687	1686.6	learning	LS1	h38_p37_k_up_q3_right.jpg	98
5285.945	1.316	1316.5	learning	LS1	h38_p47_i_up_left.jpg	97
5332.644	1.842	1841.7	learning	LS1	h56_p49_i_up_left.jpg	97
5379.343	n/a	n/a	learning	LS1	h88_p2_i_down_right.jpg	n/a
5426.041	1.166	1165.8	learning	LS1	h58_p6_k_down_q3_right.jpg	97
5517.937	1.343	1343.3	learning	LS2	h20_p53_k_up_q3_right.jpg	98
5564.636	1.181	1181.2	learning	LS2	h58_p11_i_down_right.jpg	97
5611.168	n/a	n/a	learning	LS2	h58_p6_k_down_q3_right.jpg	n/a
5657.7	1.386	1386.0	learning	LS2	h88_p16_i_down_right.jpg	97
5704.398	1.8	1799.5	learning	LS2	h38_p25_i_up_left.jpg	98
5751.097	1.829	1829.4	learning	LS2	h20_p12_i_up_right.jpg	98
5797.796	1.315	1315.4	learning	LS2	h56_p13_k_up_q2_right.jpg	98
5844.494	1.345	1345.1	learning	LS2	h56_p2_i_up_left.jpg	97
5891.026	1.536	1535.5	learning	LS2	h88_p35_k_down_q1_left.jpg	98
5937.725	1.086	1085.5	learning	LS2	h38_p37_k_up_q3_right.jpg	98
6029.788	1.694	1694.0	learning	LS3	h56_p49_i_up_left.jpg	97
6076.653	n/a	n/a	learning	LS3	h88_p2_i_down_right.jpg	n/a
6123.185	1.242	1241.5	learning	LS3	h38_p37_k_up_q3_right.jpg	98
6169.717	1.384	1383.6	learning	LS3	h20_p43_i_up_right.jpg	97
6216.249	1.35	1350.0	learning	LS3	h58_p6_k_down_q3_right.jpg	98
6262.781	0.949	948.7	learning	LS3	h38_p47_i_up_left.jpg	97
6309.312	1.155	1154.7	learning	LS3	h56_p13_k_up_q2_right.jpg	98
6355.844	1.936	1936.5	learning	LS3	h58_p15_i_down_left.jpg	97
6402.71	1.038	1038.5	learning	LS3	h20_p53_k_up_q3_right.jpg	98
6449.242	1.357	1356.6	learning	LS3	h88_p35_k_down_q1_left.jpg	98
6541.138	1.31	1310.1	learning	LS4	h88_p35_k_down_q1_left.jpg	98
6587.67	n/a	n/a	learning	LS4	h56_p13_k_up_q2_right.jpg	n/a
6634.201	1.371	1371.1	learning	LS4	h38_p25_i_up_left.jpg	98
6680.733	1.018	1017.9	learning	LS4	h58_p6_k_down_q3_right.jpg	98
6727.432	1.383	1383.3	learning	LS4	h56_p2_i_up_left.jpg	97
6774.131	1.892	1892.3	learning	LS4	h58_p11_i_down_right.jpg	97
6820.662	1.539	1539.0	learning	LS4	h88_p16_i_down_right.jpg	98
6867.194	1.841	1841.1	learning	LS4	h20_p53_k_up_q3_right.jpg	98
6913.893	1.583	1583.1	learning	LS4	h20_p12_i_up_right.jpg	98
6960.425	1.47	1469.5	learning	LS4	h38_p37_k_up_q3_right.jpg	98
7232.778	2.0	1999.7	learning	LS1	h84_p34_i_down_left.jpg	97
7279.643	1.389	1389.4	learning	LS1	h27_p10_i_up_left.jpg	97
7326.342	1.259	1259.2	learning	LS1	h24_p40_k_up_q4_left.jpg	97
