onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
471.042	2.053	2053.3	learning	LS1	h107_p42_k_up_right.jpg	97
517.741	1.189	1189.4	learning	LS1	h22_p21_k_down_left.jpg	98
564.439	1.493	1493.0	learning	LS1	h35_p43_i_down_left.jpg	98
611.138	1.445	1444.7	learning	LS1	h22_p48_i_down_left.jpg	97
657.836	0.997	996.7	learning	LS1	h120_p12_k_up_right.jpg	98
704.702	1.219	1219.4	learning	LS1	h107_p25_i_up_left.jpg	97
751.4	1.875	1874.6	learning	LS1	h35_p50_k_down_right.jpg	97
798.099	1.666	1666.4	learning	LS1	h18_p49_i_down_right.jpg	98
844.964	1.281	1281.3	learning	LS1	h120_p37_i_up_right.jpg	97
891.496	1.282	1281.7	learning	LS1	h18_p7_k_down_right.jpg	97
983.392	2.5	2500.3	learning	LS2	h22_p21_k_down_left.jpg	97
1029.757	2.12	2120.0	learning	LS2	h35_p50_k_down_right.jpg	98
1076.623	1.079	1079.3	learning	LS2	h22_p33_i_down_right.jpg	97
1123.154	1.415	1415.3	learning	LS2	h120_p12_k_up_right.jpg	98
1170.02	1.254	1254.4	learning	LS2	h35_p31_i_down_right.jpg	97
1216.718	1.398	1397.9	learning	LS2	h107_p11_i_up_left.jpg	98
1263.25	1.285	1285.0	learning	LS2	h18_p7_k_down_right.jpg	98
1309.949	1.365	1364.6	learning	LS2	h107_p42_k_up_right.jpg	97
1356.647	1.524	1524.1	learning	LS2	h120_p21_i_up_right.jpg	97
1403.346	1.668	1667.6	learning	LS2	h18_p47_i_down_right.jpg	97
1495.075	1.738	1737.7	learning	LS3	h120_p12_k_up_right.jpg	98
1541.607	1.178	1178.4	learning	LS3	h18_p49_i_down_right.jpg	97
1588.472	1.034	1033.5	learning	LS3	h35_p50_k_down_right.jpg	98
1635.171	1.225	1225.0	learning	LS3	h120_p37_i_up_right.jpg	97
1681.703	1.033	1033.3	learning	LS3	h22_p48_i_down_left.jpg	98
1728.401	1.705	1704.6	learning	LS3	h107_p25_i_up_left.jpg	97
1774.933	1.049	1049.3	learning	LS3	h18_p7_k_down_right.jpg	98
1821.465	2.105	2105.1	learning	LS3	h22_p21_k_down_left.jpg	97
1867.997	1.802	1801.5	learning	LS3	h107_p42_k_up_right.jpg	98
1914.695	1.338	1337.5	learning	LS3	h35_p43_i_down_left.jpg	97
2006.425	1.008	1007.8	learning	LS4	h35_p50_k_down_right.jpg	98
2052.957	1.856	1855.6	learning	LS4	h120_p21_i_up_right.jpg	98
2099.488	1.056	1056.3	learning	LS4	h22_p21_k_down_left.jpg	98
2146.02	1.04	1040.5	learning	LS4	h120_p12_k_up_right.jpg	98
2192.552	1.505	1504.7	learning	LS4	h18_p47_i_down_right.jpg	97
2239.084	1.121	1121.2	learning	LS4	h107_p11_i_up_left.jpg	98
2285.782	1.521	1520.7	learning	LS4	h22_p33_i_down_right.jpg	97
2332.314	0.977	977.2	learning	LS4	h18_p7_k_down_right.jpg	98
2378.846	1.601	1601.2	learning	LS4	h107_p42_k_up_right.jpg	98
2425.378	1.154	1153.8	learning	LS4	h35_p31_i_down_right.jpg	97
2697.897	1.071	1070.9	learning	LS1	h116_p28_k_up_right.jpg	98
2744.596	1.15	1150.4	learning	LS1	h83_p29_k_up_right.jpg	97
2791.461	1.453	1453.4	learning	LS1	h82_p37_i_up_right.jpg	97
2838.327	1.388	1388.3	learning	LS1	h48_p17_i_down_right.jpg	97
2885.192	1.323	1323.1	learning	LS1	h36_p25_i_down_right.jpg	97
2932.057	0.986	986.2	learning	LS1	h116_p21_i_up_right.jpg	97
2978.589	0.842	842.4	learning	LS1	h36_p12_k_down_left.jpg	98
3025.621	1.896	1896.0	learning	LS1	h83_p49_i_up_left.jpg	98
3072.153	1.592	1592.5	learning	LS1	h82_p21_k_up_right.jpg	97
3118.852	1.384	1384.3	learning	LS1	h48_p41_k_down_right.jpg	98
3210.581	1.294	1294.5	learning	LS2	h36_p12_k_down_left.jpg	98
3257.446	0.926	925.6	learning	LS2	h116_p11_i_up_left.jpg	97
