onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
241.015	1.423	1	learning	LS1	h117_p6_k_up_left.jpg
287.713	0.925	1	learning	LS1	h22_p21_k_down_left.jpg
334.579	1.082	0	learning	LS1	h89_p17_i_up_left.jpg
381.277	0.919	1	learning	LS1	h83_p29_k_up_right.jpg
427.976	1.268	0	learning	LS1	h89_p39_k_up_left.jpg
474.841	1.233	1	learning	LS1	h117_p13_i_up_right.jpg
521.54	1.581	1	learning	LS1	h83_p34_i_up_right.jpg
568.239	0.924	1	learning	LS1	h25_p12_i_down_left.jpg
614.937	1.496	1	learning	LS1	h22_p33_i_down_right.jpg
661.469	1.255	1	learning	LS1	h25_p14_k_down_left.jpg
753.198	0.856	1	learning	LS2	h117_p6_k_up_left.jpg
799.73	0.742	1	learning	LS2	h83_p29_k_up_right.jpg
846.429	0.899	1	learning	LS2	h117_p31_i_up_left.jpg
893.127	0.961	1	learning	LS2	h83_p49_i_up_left.jpg
939.659	1.006	1	learning	LS2	h89_p39_k_up_left.jpg
986.191	0.812	1	learning	LS2	h25_p14_k_down_left.jpg
1032.723	1.066	1	learning	LS2	h22_p21_k_down_left.jpg
1079.421	1.015	1	learning	LS2	h25_p31_i_down_right.jpg
1126.453	1.171	1	learning	LS2	h89_p2_i_up_left.jpg
1173.152	1.28	1	learning	LS2	h22_p48_i_down_left.jpg
1264.881	1.841	1	learning	LS3	h83_p29_k_up_right.jpg
1311.413	0.864	1	learning	LS3	h117_p13_i_up_right.jpg
1357.945	1.149	1	learning	LS3	h22_p33_i_down_right.jpg
1404.644	0.667	1	learning	LS3	h117_p6_k_up_left.jpg
1451.342	0.824	1	learning	LS3	h22_p21_k_down_left.jpg
1497.874	0.998	1	learning	LS3	h89_p17_i_up_left.jpg
1544.573	0.915	1	learning	LS3	h83_p34_i_up_right.jpg
1591.104	1.2	1	learning	LS3	h25_p12_i_down_left.jpg
1637.803	1.293	1	learning	LS3	h89_p39_k_up_left.jpg
1684.335	0.924	1	learning	LS3	h25_p14_k_down_left.jpg
1776.064	1.117	1	learning	LS4	h22_p48_i_down_left.jpg
1822.763	1.306	1	learning	LS4	h89_p39_k_up_left.jpg
1869.295	0.728	1	learning	LS4	h117_p6_k_up_left.jpg
1915.826	0.982	1	learning	LS4	h83_p29_k_up_right.jpg
1962.358	1.14	1	learning	LS4	h22_p21_k_down_left.jpg
2008.89	1.009	1	learning	LS4	h25_p31_i_down_right.jpg
2055.422	1.119	1	learning	LS4	h117_p31_i_up_left.jpg
2101.954	1.069	1	learning	LS4	h89_p2_i_up_left.jpg
2148.652	1.13	1	learning	LS4	h83_p49_i_up_left.jpg
2195.184	0.904	1	learning	LS4	h25_p14_k_down_left.jpg
2467.537	1.638	1	learning	LS1	h82_p21_k_up_right.jpg
2514.235	1.124	0	learning	LS1	h87_p34_i_up_right.jpg
2560.934	0.897	1	learning	LS1	h11_p43_k_down_left.jpg
2607.466	0.911	0	learning	LS1	h32_p13_i_down_left.jpg
2654.164	0.972	0	learning	LS1	h114_p33_i_up_left.jpg
2700.863	1.384	1	learning	LS1	h11_p47_i_down_right.jpg
2747.395	0.743	1	learning	LS1	h87_p9_k_up_left.jpg
2794.093	1.747	1	learning	LS1	h114_p35_k_up_right.jpg
2840.625	1.457	0	learning	LS1	h32_p31_k_down_right.jpg
2887.324	1.534	1	learning	LS1	h82_p37_i_up_right.jpg
2979.22	0.767	1	learning	LS2	h82_p21_k_up_right.jpg
3026.085	1.195	1	learning	LS2	h11_p2_i_down_right.jpg
3072.951	1.032	1	learning	LS2	h114_p16_i_up_left.jpg
3119.816	2.179	1	learning	LS2	h114_p35_k_up_right.jpg
3166.515	1.312	1	learning	LS2	h82_p10_i_up_left.jpg
3213.213	1.214	0	learning	LS2	h32_p31_k_down_right.jpg
3259.912	0.811	1	learning	LS2	h11_p43_k_down_left.jpg
3306.61	0.537	0	learning	LS2	h87_p10_i_up_left.jpg
3353.142	1.302	1	learning	LS2	h32_p10_i_down_right.jpg
3399.841	1.108	1	learning	LS2	h87_p9_k_up_left.jpg
3491.57	1.093	1	learning	LS3	h114_p35_k_up_right.jpg
3538.102	0.931	1	learning	LS3	h87_p34_i_up_right.jpg
3584.634	0.801	1	learning	LS3	h11_p43_k_down_left.jpg
3631.166	1.342	1	learning	LS3	h82_p37_i_up_right.jpg
3677.697	0.94	1	learning	LS3	h114_p33_i_up_left.jpg
3724.229	1.034	1	learning	LS3	h87_p9_k_up_left.jpg
3770.761	1.063	0	learning	LS3	h32_p31_k_down_right.jpg
3817.46	0.868	1	learning	LS3	h11_p47_i_down_right.jpg
3864.158	0.834	1	learning	LS3	h32_p13_i_down_left.jpg
3910.857	0.943	1	learning	LS3	h82_p21_k_up_right.jpg
4002.753	1.199	1	learning	LS4	h87_p10_i_up_left.jpg
4049.285	0.861	1	learning	LS4	h11_p43_k_down_left.jpg
4095.817	0.859	1	learning	LS4	h32_p10_i_down_right.jpg
4142.348	0.729	1	learning	LS4	h87_p9_k_up_left.jpg
4188.88	0.951	1	learning	LS4	h11_p2_i_down_right.jpg
4235.412	0.996	1	learning	LS4	h114_p16_i_up_left.jpg
4281.944	0.946	1	learning	LS4	h82_p10_i_up_left.jpg
4328.642	1.167	1	learning	LS4	h32_p31_k_down_right.jpg
4375.508	0.939	1	learning	LS4	h114_p35_k_up_right.jpg
4422.04	0.937	1	learning	LS4	h82_p21_k_up_right.jpg
4694.392	2.423	1	control	LS1	h18_p47_i_down_right.jpg
4740.257	1.049	1	control	LS1	h32_p31_k_down_right.jpg
4786.289	0.697	1	control	LS1	h33_p11_k_down_right.jpg
4832.153	0.697	1	control	LS1	h32_p10_i_down_right.jpg
4878.185	0.889	0	control	LS1	h25_p12_i_down_left.jpg
4924.049	0.953	1	control	LS1	h87_p9_k_up_left.jpg
4969.914	1.098	1	control	LS1	h87_p10_i_up_left.jpg
5015.946	1.577	0	control	LS1	h18_p7_k_down_right.jpg
5061.977	1.161	1	control	LS1	h33_p15_i_down_left.jpg
