onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
241.343	1.94	incorrect	learning	LS1	h77_p35_i_down_left.jpg	98
288.208	1.215	correct	learning	LS1	h20_p53_k_up_q3_right.jpg	98
334.74	1.259	incorrect	learning	LS1	h74_p48_i_up_right.jpg	98
381.439	1.175	correct	learning	LS1	h88_p35_k_down_q1_left.jpg	98
428.137	1.41	correct	learning	LS1	h80_p30_k_down_q2_right.jpg	98
474.669	1.102	correct	learning	LS1	h74_p16_k_up_q1_left.jpg	98
521.535	1.385	correct	learning	LS1	h20_p43_i_up_right.jpg	97
568.066	0.87	correct	learning	LS1	h77_p42_k_down_q1_left.jpg	98
614.598	1.121	incorrect	learning	LS1	h88_p2_i_down_right.jpg	98
661.297	1.069	incorrect	learning	LS1	h80_p25_i_down_right.jpg	98
753.026	1.051	correct	learning	LS2	h20_p53_k_up_q3_right.jpg	98
799.725	0.982	correct	learning	LS2	h88_p35_k_down_q1_left.jpg	98
846.423	1.361	correct	learning	LS2	h80_p16_i_down_right.jpg	97
893.289	1.052	correct	learning	LS2	h88_p16_i_down_right.jpg	97
939.987	0.744	correct	learning	LS2	h77_p42_k_down_q1_left.jpg	98
986.853	1.617	correct	learning	LS2	h74_p12_i_up_right.jpg	97
1033.384	1.07	correct	learning	LS2	h77_p16_i_down_right.jpg	97
1079.916	1.369	correct	learning	LS2	h80_p30_k_down_q2_right.jpg	98
1126.615	0.933	correct	learning	LS2	h20_p12_i_up_right.jpg	97
1173.147	1.297	incorrect	learning	LS2	h74_p16_k_up_q1_left.jpg	97
1264.876	1.167	correct	learning	LS3	h74_p48_i_up_right.jpg	97
1311.408	0.94	incorrect	learning	LS3	h80_p25_i_down_right.jpg	98
1357.94	0.68	correct	learning	LS3	h77_p42_k_down_q1_left.jpg	98
1404.471	0.948	correct	learning	LS3	h20_p53_k_up_q3_right.jpg	98
1451.17	1.119	correct	learning	LS3	h88_p2_i_down_right.jpg	97
1497.702	0.843	correct	learning	LS3	h20_p43_i_up_right.jpg	97
1544.234	0.823	correct	learning	LS3	h77_p35_i_down_left.jpg	97
1590.765	0.9	correct	learning	LS3	h88_p35_k_down_q1_left.jpg	98
1637.297	0.88	correct	learning	LS3	h80_p30_k_down_q2_right.jpg	98
1683.996	0.796	correct	learning	LS3	h74_p16_k_up_q1_left.jpg	98
1775.725	1.432	correct	learning	LS4	h88_p16_i_down_right.jpg	97
1822.424	0.901	correct	learning	LS4	h80_p30_k_down_q2_right.jpg	98
1868.956	1.008	correct	learning	LS4	h74_p12_i_up_right.jpg	97
1915.487	0.605	correct	learning	LS4	h77_p42_k_down_q1_left.jpg	98
1962.019	1.065	correct	learning	LS4	h74_p16_k_up_q1_left.jpg	98
2008.718	0.917	correct	learning	LS4	h20_p53_k_up_q3_right.jpg	98
2055.25	1.312	correct	learning	LS4	h80_p16_i_down_right.jpg	97
2101.781	0.653	correct	learning	LS4	h88_p35_k_down_q1_left.jpg	98
2148.313	1.145	correct	learning	LS4	h20_p12_i_up_right.jpg	97
2195.179	0.996	correct	learning	LS4	h77_p16_i_down_right.jpg	97
2467.531	1.162	incorrect	learning	LS1	h97_p35_i_down_left.jpg	98
2514.23	0.822	incorrect	learning	LS1	h102_p43_i_down_left.jpg	98
2560.929	0.945	correct	learning	LS1	h24_p40_k_up_q4_left.jpg	98
2607.794	1.051	correct	learning	LS1	h75_p37_k_down_q1_left.jpg	98
2654.492	1.542	correct	learning	LS1	h26_p20_k_up_q2_right.jpg	98
2701.191	1.457	correct	learning	LS1	h75_p16_i_down_right.jpg	97
2747.89	1.245	correct	learning	LS1	h24_p48_i_up_right.jpg	97
2794.421	0.777	correct	learning	LS1	h97_p23_k_down_q2_right.jpg	98
2840.953	1.316	correct	learning	LS1	h102_p40_k_down_q2_right.jpg	98
2887.652	0.944	correct	learning	LS1	h26_p48_i_up_right.jpg	97
2979.715	0.909	correct	learning	LS2	h26_p43_i_up_right.jpg	97
3026.413	1.0	correct	learning	LS2	h75_p13_i_down_left.jpg	97
3073.112	0.772	correct	learning	LS2	h102_p40_k_down_q2_right.jpg	98
3119.811	1.247	incorrect	learning	LS2	h26_p20_k_up_q2_right.jpg	97
3166.342	0.955	correct	learning	LS2	h75_p37_k_down_q1_left.jpg	98
3213.041	0.871	correct	learning	LS2	h97_p33_i_down_right.jpg	97
3259.74	0.962	correct	learning	LS2	h102_p20_i_down_left.jpg	97
3306.271	1.102	correct	learning	LS2	h24_p40_k_up_q4_left.jpg	98
3352.97	0.906	correct	learning	LS2	h97_p23_k_down_q2_right.jpg	98
3399.668	0.997	correct	learning	LS2	h24_p20_i_up_right.jpg	97
