onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
211.789	n/a	0	learning	LS1	h80_p30_k_down_q2_right.jpg
258.45	1.568	1	learning	LS1	h61_p5_k_up_q2_right.jpg
305.277	1.252	1	learning	LS1	h76_p29_k_down_q1_left.jpg
352.104	1.399	1	learning	LS1	h61_p25_i_up_left.jpg
398.932	1.003	1	learning	LS1	h50_p45_k_up_q3_right.jpg
445.759	1.95	1	learning	LS1	h80_p25_i_down_right.jpg
492.586	0.945	1	learning	LS1	h102_p40_k_down_q2_right.jpg
539.414	1.636	1	learning	LS1	h50_p37_i_up_right.jpg
586.574	1.303	1	learning	LS1	h76_p49_i_down_right.jpg
633.901	0.888	1	learning	LS1	h102_p43_i_down_left.jpg
726.39	1.172	1	learning	LS2	h50_p21_i_up_right.jpg
773.55	1.19	0	learning	LS2	h61_p15_i_up_right.jpg
820.711	0.872	1	learning	LS2	h102_p20_i_down_left.jpg
867.871	2.233	1	learning	LS2	h80_p16_i_down_right.jpg
915.032	1.372	1	learning	LS2	h61_p5_k_up_q2_right.jpg
962.193	1.502	1	learning	LS2	h50_p45_k_up_q3_right.jpg
1009.353	0.976	1	learning	LS2	h76_p29_k_down_q1_left.jpg
1056.514	1.25	1	learning	LS2	h80_p30_k_down_q2_right.jpg
1103.675	0.82	1	learning	LS2	h76_p11_i_down_right.jpg
1150.835	0.806	1	learning	LS2	h102_p40_k_down_q2_right.jpg
1242.99	2.242	1	learning	LS3	h61_p25_i_up_left.jpg
1289.984	0.726	1	learning	LS3	h102_p40_k_down_q2_right.jpg
1336.978	0.696	1	learning	LS3	h80_p30_k_down_q2_right.jpg
1383.805	1.004	1	learning	LS3	h76_p49_i_down_right.jpg
1430.799	0.99	1	learning	LS3	h50_p45_k_up_q3_right.jpg
1477.793	0.833	1	learning	LS3	h61_p5_k_up_q2_right.jpg
1524.621	0.693	1	learning	LS3	h76_p29_k_down_q1_left.jpg
1571.448	0.872	1	learning	LS3	h102_p43_i_down_left.jpg
1618.275	1.179	1	learning	LS3	h50_p37_i_up_right.jpg
1665.102	1.758	1	learning	LS3	h80_p25_i_down_right.jpg
1757.424	1.131	1	learning	LS4	h76_p29_k_down_q1_left.jpg
1804.751	1.612	1	learning	LS4	h50_p21_i_up_right.jpg
1852.079	1.23	1	learning	LS4	h80_p16_i_down_right.jpg
1899.406	1.087	1	learning	LS4	h102_p20_i_down_left.jpg
1946.566	0.913	1	learning	LS4	h76_p11_i_down_right.jpg
1993.894	1.555	1	learning	LS4	h61_p15_i_up_right.jpg
2041.054	0.837	1	learning	LS4	h102_p40_k_down_q2_right.jpg
2088.215	1.063	1	learning	LS4	h50_p45_k_up_q3_right.jpg
2135.375	0.809	1	learning	LS4	h80_p30_k_down_q2_right.jpg
2182.536	0.859	1	learning	LS4	h61_p5_k_up_q2_right.jpg
2455.501	1.471	1	control	LS1	h50_p45_k_up_q3_right.jpg
2501.495	1.398	1	control	LS1	h97_p23_k_down_q2_right.jpg
2547.489	1.565	1	control	LS1	h88_p16_i_down_right.jpg
2593.483	1.492	1	control	LS1	h38_p37_k_up_q3_right.jpg
2639.477	2.058	1	control	LS1	h50_p21_i_up_right.jpg
2685.472	1.825	1	control	LS1	h38_p25_i_up_left.jpg
2731.466	1.752	1	control	LS1	h88_p35_k_down_q1_left.jpg
2777.46	1.631	1	control	LS1	h56_p13_k_up_q2_right.jpg
2823.454	1.302	1	control	LS1	h97_p33_i_down_right.jpg
2869.781	1.067	1	control	LS1	h56_p2_i_up_left.jpg
2961.436	1.738	1	control	LS2	h56_p13_k_up_q2_right.jpg
3007.764	1.615	1	control	LS2	h50_p45_k_up_q3_right.jpg
3054.091	1.445	1	control	LS2	h97_p35_i_down_left.jpg
3100.418	n/a	0	control	LS2	h88_p35_k_down_q1_left.jpg
3151.745	1.292	1	control	LS2	h38_p47_i_up_left.jpg
3197.906	1.01	1	control	LS2	h56_p49_i_up_left.jpg
3244.067	1.928	1	control	LS2	h50_p37_i_up_right.jpg
3290.227	1.39	1	control	LS2	h97_p23_k_down_q2_right.jpg
3336.388	1.54	1	control	LS2	h38_p37_k_up_q3_right.jpg
3382.549	1.994	1	control	LS2	h88_p2_i_down_right.jpg
3473.87	1.866	1	control	LS3	h97_p23_k_down_q2_right.jpg
3519.865	1.201	1	control	LS3	h56_p2_i_up_left.jpg
3565.859	1.432	1	control	LS3	h88_p16_i_down_right.jpg
3612.019	0.734	1	control	LS3	h38_p37_k_up_q3_right.jpg
3658.013	0.741	1	control	LS3	h56_p13_k_up_q2_right.jpg
3704.174	0.635	1	control	LS3	h97_p33_i_down_right.jpg
3750.168	0.498	1	control	LS3	h50_p45_k_up_q3_right.jpg
3796.162	0.713	1	control	LS3	h38_p25_i_up_left.jpg
3842.157	0.831	1	control	LS3	h50_p21_i_up_right.jpg
3888.151	0.838	1	control	LS3	h88_p35_k_down_q1_left.jpg
3979.472	0.966	1	control	LS4	h56_p49_i_up_left.jpg
4025.8	0.636	1	control	LS4	h97_p35_i_down_left.jpg
4072.127	0.433	1	control	LS4	h97_p23_k_down_q2_right.jpg
4118.454	0.759	1	control	LS4	h56_p13_k_up_q2_right.jpg
4164.782	0.844	1	control	LS4	h88_p35_k_down_q1_left.jpg
4211.109	0.626	1	control	LS4	h38_p47_i_up_left.jpg
4257.437	0.679	1	control	LS4	h50_p45_k_up_q3_right.jpg
4303.597	1.469	1	control	LS4	h50_p37_i_up_right.jpg
4349.758	0.867	1	control	LS4	h38_p37_k_up_q3_right.jpg
