onset	duration	accuracy	trial_type	learning_stage	stimulus
24.142	0.931	correct	learning	LS1	h53_p33_k_down_right.jpg
28.829	1.444	incorrect	learning	LS1	h114_p35_k_up_right.jpg
33.515	1.261	incorrect	learning	LS1	h83_p29_k_up_right.jpg
38.202	0.603	incorrect	learning	LS1	h18_p7_k_down_right.jpg
42.871	1.143	correct	learning	LS1	h53_p33_k_down_right.jpg
47.558	1.333	incorrect	learning	LS1	h35_p50_k_down_right.jpg
52.211	0.625	correct	learning	LS1	h18_p7_k_down_right.jpg
56.881	1.070	correct	learning	LS1	h114_p35_k_up_right.jpg
61.551	1.506	incorrect	learning	LS1	h83_p29_k_up_right.jpg
66.221	0.498	correct	learning	LS1	h35_p50_k_down_right.jpg
75.410	1.328	correct	learning	LS2	h114_p35_k_up_right.jpg
80.097	0.653	correct	learning	LS2	h18_p7_k_down_right.jpg
84.767	0.011	correct	learning	LS2	h53_p33_k_down_right.jpg
89.453	1.017	correct	learning	LS2	h35_p50_k_down_right.jpg
94.106	1.025	correct	learning	LS2	h53_p33_k_down_right.jpg
98.776	0.084	correct	learning	LS2	h83_p29_k_up_right.jpg
103.430	1.624	correct	learning	LS2	h35_p50_k_down_right.jpg
108.099	0.998	correct	learning	LS2	h114_p35_k_up_right.jpg
112.786	0.273	correct	learning	LS2	h18_p7_k_down_right.jpg
117.439	1.412	correct	learning	LS2	h83_p29_k_up_right.jpg
126.629	0.429	correct	learning	LS3	h18_p7_k_down_right.jpg
131.282	0.672	correct	learning	LS3	h114_p35_k_up_right.jpg
135.935	0.959	correct	learning	LS3	h18_p7_k_down_right.jpg
140.605	0.284	correct	learning	LS3	h35_p50_k_down_right.jpg
145.258	0.806	correct	learning	LS3	h83_p29_k_up_right.jpg
149.911	1.215	correct	learning	LS3	h35_p50_k_down_right.jpg
154.581	0.357	correct	learning	LS3	h83_p29_k_up_right.jpg
159.234	0.781	correct	learning	LS3	h53_p33_k_down_right.jpg
163.888	1.287	incorrect	learning	LS3	h114_p35_k_up_right.jpg
168.541	0.512	correct	learning	LS3	h53_p33_k_down_right.jpg
177.714	0.659	incorrect	learning	LS4	h53_p33_k_down_right.jpg
182.367	0.735	correct	learning	LS4	h114_p35_k_up_right.jpg
187.020	0.976	correct	learning	LS4	h18_p7_k_down_right.jpg
191.707	1.382	correct	learning	LS4	h35_p50_k_down_right.jpg
196.360	0.656	correct	learning	LS4	h114_p35_k_up_right.jpg
201.030	0.998	correct	learning	LS4	h18_p7_k_down_right.jpg
205.716	1.038	correct	learning	LS4	h35_p50_k_down_right.jpg
210.386	0.496	correct	learning	LS4	h83_p29_k_up_right.jpg
215.056	0.037	correct	learning	LS4	h53_p33_k_down_right.jpg
219.709	1.194	correct	learning	LS4	h83_p29_k_up_right.jpg
246.961	1.169	incorrect	learning	LS1	h11_p43_k_down_left.jpg
251.631	1.230	correct	learning	LS1	h82_p21_k_up_right.jpg
256.301	0.088	correct	learning	LS1	h12_p4_k_down_left.jpg
260.987	1.157	correct	learning	LS1	h22_p21_k_down_left.jpg
265.674	0.902	incorrect	learning	LS1	h108_p27_k_up_left.jpg
270.344	0.244	correct	learning	LS1	h82_p21_k_up_right.jpg
275.014	1.002	correct	learning	LS1	h22_p21_k_down_left.jpg
279.667	1.491	correct	learning	LS1	h108_p27_k_up_left.jpg
284.320	0.499	incorrect	learning	LS1	h11_p43_k_down_left.jpg
288.990	1.183	correct	learning	LS1	h12_p4_k_down_left.jpg
298.179	0.822	correct	learning	LS2	h22_p21_k_down_left.jpg
302.883	0.131	correct	learning	LS2	h82_p21_k_up_right.jpg
307.569	1.053	correct	learning	LS2	h11_p43_k_down_left.jpg
312.256	0.861	correct	learning	LS2	h12_p4_k_down_left.jpg
316.959	1.005	correct	learning	LS2	h108_p27_k_up_left.jpg
321.629	1.192	correct	learning	LS2	h22_p21_k_down_left.jpg
326.315	0.183	correct	learning	LS2	h82_p21_k_up_right.jpg
330.985	0.143	correct	learning	LS2	h108_p27_k_up_left.jpg
335.638	0.948	correct	learning	LS2	h11_p43_k_down_left.jpg
340.308	0.740	correct	learning	LS2	h12_p4_k_down_left.jpg
349.498	1.555	correct	learning	LS3	h12_p4_k_down_left.jpg
354.168	1.013	correct	learning	LS3	h108_p27_k_up_left.jpg
358.838	0.271	correct	learning	LS3	h11_p43_k_down_left.jpg
363.491	1.627	correct	learning	LS3	h108_p27_k_up_left.jpg
368.161	0.635	correct	learning	LS3	h22_p21_k_down_left.jpg
372.830	0.243	correct	learning	LS3	h11_p43_k_down_left.jpg
377.500	1.382	correct	learning	LS3	h82_p21_k_up_right.jpg
382.154	0.640	incorrect	learning	LS3	h22_p21_k_down_left.jpg
386.823	0.116	correct	learning	LS3	h12_p4_k_down_left.jpg
391.493	1.471	correct	learning	LS3	h82_p21_k_up_right.jpg
400.683	0.038	correct	learning	LS4	h12_p4_k_down_left.jpg
405.353	0.918	correct	learning	LS4	h22_p21_k_down_left.jpg
410.023	1.136	correct	learning	LS4	h108_p27_k_up_left.jpg
414.692	1.278	correct	learning	LS4	h22_p21_k_down_left.jpg
419.362	0.907	correct	learning	LS4	h11_p43_k_down_left.jpg
424.032	1.075	correct	learning	LS4	h82_p21_k_up_right.jpg
428.719	0.583	correct	learning	LS4	h108_p27_k_up_left.jpg
433.405	0.889	correct	learning	LS4	h82_p21_k_up_right.jpg
438.075	0.915	correct	learning	LS4	h11_p43_k_down_left.jpg
442.762	0.473	correct	learning	LS4	h12_p4_k_down_left.jpg
469.947	1.968	correct	control	LS1	h85_p16_i_up_left.jpg
474.550	1.360	correct	control	LS1	h22_p33_i_down_right.jpg
479.153	0.752	correct	control	LS1	h82_p10_i_up_left.jpg
483.756	2.158	correct	control	LS1	h87_p9_k_up_left.jpg
488.360	1.550	correct	control	LS1	h32_p31_k_down_right.jpg
492.963	0.942	correct	control	LS1	h85_p11_k_up_left.jpg
497.566	2.347	correct	control	LS1	h22_p21_k_down_left.jpg
502.169	1.739	correct	control	LS1	h87_p10_i_up_left.jpg
506.755	1.164	correct	control	LS1	h82_p21_k_up_right.jpg
511.359	0.556	correct	control	LS1	h32_p10_i_down_right.jpg
520.481	1.437	correct	control	LS2	h87_p34_i_up_right.jpg
525.068	1.596	correct	control	LS2	h82_p21_k_up_right.jpg
529.671	2.235	correct	control	LS2	h32_p13_i_down_left.jpg
534.258	1.659	correct	control	LS2	h22_p48_i_down_left.jpg
538.861	1.051	correct	control	LS2	h85_p43_i_up_right.jpg
543.447	2.457	correct	control	LS2	h85_p11_k_up_left.jpg
548.050	1.865	incorrect	control	LS2	h82_p37_i_up_right.jpg
552.637	1.274	correct	control	LS2	h22_p21_k_down_left.jpg
557.223	0.683	correct	control	LS2	h32_p31_k_down_right.jpg
561.810	2.105	correct	control	LS2	h87_p9_k_up_left.jpg
570.933	0.973	correct	control	LS3	h87_p10_i_up_left.jpg
575.519	2.395	correct	control	LS3	h85_p16_i_up_left.jpg
580.122	1.787	correct	control	LS3	h22_p33_i_down_right.jpg
584.709	1.211	correct	control	LS3	h22_p21_k_down_left.jpg
589.295	0.620	correct	control	LS3	h82_p21_k_up_right.jpg
593.898	2.009	correct	control	LS3	h32_p10_i_down_right.jpg
598.485	1.434	correct	control	LS3	h32_p31_k_down_right.jpg
603.071	0.843	correct	control	LS3	h85_p11_k_up_left.jpg
607.658	2.249	correct	control	LS3	h87_p9_k_up_left.jpg
612.244	1.674	correct	control	LS3	h82_p10_i_up_left.jpg
621.351	0.766	correct	control	LS4	h87_p9_k_up_left.jpg
625.954	1.963	correct	control	LS4	h82_p21_k_up_right.jpg
630.557	1.355	correct	control	LS4	h87_p34_i_up_right.jpg
635.143	0.764	correct	control	LS4	h85_p11_k_up_left.jpg
639.730	2.185	correct	control	LS4	h32_p13_i_down_left.jpg
644.333	1.578	correct	control	LS4	h85_p43_i_up_right.jpg
648.919	0.986	correct	control	LS4	h22_p48_i_down_left.jpg
653.523	2.391	incorrect	control	LS4	h32_p31_k_down_right.jpg
658.126	1.783	correct	control	LS4	h22_p21_k_down_left.jpg
662.729	1.191	correct	control	LS4	h82_p37_i_up_right.jpg
689.964	0.735	correct	learning	LS1	h28_p46_k_down_right.jpg
694.651	1.616	correct	learning	LS1	h87_p9_k_up_left.jpg
699.337	1.101	correct	learning	LS1	h120_p12_k_up_right.jpg
704.024	0.707	correct	learning	LS1	h89_p39_k_up_left.jpg
708.693	1.253	incorrect	learning	LS1	h87_p9_k_up_left.jpg
713.347	1.057	correct	learning	LS1	h89_p39_k_up_left.jpg
718.017	0.196	correct	learning	LS1	h28_p46_k_down_right.jpg
722.703	0.172	correct	learning	LS1	h48_p41_k_down_right.jpg
727.373	1.173	correct	learning	LS1	h120_p12_k_up_right.jpg
732.043	0.669	correct	learning	LS1	h48_p41_k_down_right.jpg
741.232	1.073	correct	learning	LS2	h28_p46_k_down_right.jpg
745.902	1.225	correct	learning	LS2	h48_p41_k_down_right.jpg
750.572	0.334	correct	learning	LS2	h120_p12_k_up_right.jpg
755.242	0.869	correct	learning	LS2	h89_p39_k_up_left.jpg
759.879	0.830	correct	learning	LS2	h87_p9_k_up_left.jpg
764.548	1.407	correct	learning	LS2	h120_p12_k_up_right.jpg
769.235	1.100	correct	learning	LS2	h48_p41_k_down_right.jpg
773.905	1.136	correct	learning	LS2	h87_p9_k_up_left.jpg
778.558	0.611	incorrect	learning	LS2	h89_p39_k_up_left.jpg
783.211	1.090	incorrect	learning	LS2	h28_p46_k_down_right.jpg
792.384	1.905	correct	learning	LS3	h120_p12_k_up_right.jpg
797.054	0.896	correct	learning	LS3	h87_p9_k_up_left.jpg
801.724	0.449	correct	learning	LS3	h28_p46_k_down_right.jpg
806.394	0.490	correct	learning	LS3	h48_p41_k_down_right.jpg
811.063	0.981	correct	learning	LS3	h89_p39_k_up_left.jpg
815.717	1.171	correct	learning	LS3	h120_p12_k_up_right.jpg
