onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
24.142	2.317	0	learning	LS1	h84_p8_k_down_q3_right.jpg
28.828	1.741	0	learning	LS1	h93_p27_k_down_q1_left.jpg
33.498	0.674	0	learning	LS1	h95_p32_k_down_q2_right.jpg
38.185	0.336	0	learning	LS1	h93_p27_k_down_q1_left.jpg
42.871	1.420	0	learning	LS1	h30_p14_k_up_q2_right.jpg
47.541	0.459	0	learning	LS1	h51_p24_k_up_q3_right.jpg
52.211	0.504	1	learning	LS1	h84_p8_k_down_q3_right.jpg
56.881	2.060	1	learning	LS1	h51_p24_k_up_q3_right.jpg
61.551	1.144	1	learning	LS1	h95_p32_k_down_q2_right.jpg
66.221	0.022	1	learning	LS1	h30_p14_k_up_q2_right.jpg
75.427	1.028	1	learning	LS2	h84_p8_k_down_q3_right.jpg
80.114	2.067	1	learning	LS2	h95_p32_k_down_q2_right.jpg
84.784	1.475	0	learning	LS2	h93_p27_k_down_q1_left.jpg
89.470	1.229	1	learning	LS2	h30_p14_k_up_q2_right.jpg
94.173	0.575	1	learning	LS2	h84_p8_k_down_q3_right.jpg
98.843	1.410	1	learning	LS2	h93_p27_k_down_q1_left.jpg
103.530	1.131	1	learning	LS2	h51_p24_k_up_q3_right.jpg
108.216	0.426	1	learning	LS2	h95_p32_k_down_q2_right.jpg
112.903	1.521	1	learning	LS2	h51_p24_k_up_q3_right.jpg
117.606	1.083	0	learning	LS2	h30_p14_k_up_q2_right.jpg
126.779	1.144	1	learning	LS3	h30_p14_k_up_q2_right.jpg
131.465	0.984	1	learning	LS3	h93_p27_k_down_q1_left.jpg
136.152	0.813	1	learning	LS3	h30_p14_k_up_q2_right.jpg
140.822	1.111	1	learning	LS3	h51_p24_k_up_q3_right.jpg
145.475	1.552	1	learning	LS3	h95_p32_k_down_q2_right.jpg
150.128	0.731	1	learning	LS3	h84_p8_k_down_q3_right.jpg
154.781	1.242	1	learning	LS3	h93_p27_k_down_q1_left.jpg
159.468	1.587	1	learning	LS3	h51_p24_k_up_q3_right.jpg
164.121	0.583	1	learning	LS3	h95_p32_k_down_q2_right.jpg
168.808	1.499	1	learning	LS3	h84_p8_k_down_q3_right.jpg
177.981	0.950	1	learning	LS4	h93_p27_k_down_q1_left.jpg
182.650	0.312	1	learning	LS4	h84_p8_k_down_q3_right.jpg
187.304	0.979	1	learning	LS4	h95_p32_k_down_q2_right.jpg
191.974	0.602	1	learning	LS4	h51_p24_k_up_q3_right.jpg
196.660	0.180	1	learning	LS4	h93_p27_k_down_q1_left.jpg
201.330	1.348	1	learning	LS4	h30_p14_k_up_q2_right.jpg
206.000	1.171	1	learning	LS4	h51_p24_k_up_q3_right.jpg
210.686	0.115	1	learning	LS4	h95_p32_k_down_q2_right.jpg
215.373	1.092	1	learning	LS4	h30_p14_k_up_q2_right.jpg
220.026	0.821	1	learning	LS4	h84_p8_k_down_q3_right.jpg
247.295	n/a	n/a	learning	LS1	n/a
251.965	0.586	0	learning	LS1	h50_p45_k_up_q3_right.jpg
256.635	1.413	1	learning	LS1	h56_p13_k_up_q2_right.jpg
261.321	1.781	0	learning	LS1	h50_p45_k_up_q3_right.jpg
266.007	0.420	0	learning	LS1	h97_p23_k_down_q2_right.jpg
270.711	1.348	1	learning	LS1	h101_p49_k_down_q2_right.jpg
275.397	0.900	1	learning	LS1	h75_p37_k_down_q1_left.jpg
280.084	0.823	1	learning	LS1	h101_p49_k_down_q2_right.jpg
284.770	1.235	1	learning	LS1	h97_p23_k_down_q2_right.jpg
289.440	0.979	1	learning	LS1	h56_p13_k_up_q2_right.jpg
298.630	1.866	0	learning	LS2	h50_p45_k_up_q3_right.jpg
303.300	1.642	0	learning	LS2	h97_p23_k_down_q2_right.jpg
308.003	0.491	1	learning	LS2	h56_p13_k_up_q2_right.jpg
312.656	0.304	1	learning	LS2	h97_p23_k_down_q2_right.jpg
317.326	1.019	1	learning	LS2	h56_p13_k_up_q2_right.jpg
321.979	1.010	1	learning	LS2	h75_p37_k_down_q1_left.jpg
326.666	0.005	1	learning	LS2	h101_p49_k_down_q2_right.jpg
331.336	1.291	1	learning	LS2	h50_p45_k_up_q3_right.jpg
336.022	0.761	1	learning	LS2	h101_p49_k_down_q2_right.jpg
340.692	1.354	1	learning	LS2	h75_p37_k_down_q1_left.jpg
349.882	0.428	1	learning	LS3	h97_p23_k_down_q2_right.jpg
354.551	0.123	1	learning	LS3	h56_p13_k_up_q2_right.jpg
359.221	1.169	1	learning	LS3	h75_p37_k_down_q1_left.jpg
363.891	0.780	1	learning	LS3	h97_p23_k_down_q2_right.jpg
368.544	0.292	1	learning	LS3	h56_p13_k_up_q2_right.jpg
373.214	1.011	1	learning	LS3	h101_p49_k_down_q2_right.jpg
377.884	1.331	1	learning	LS3	h50_p45_k_up_q3_right.jpg
382.537	0.560	1	learning	LS3	h75_p37_k_down_q1_left.jpg
387.224	1.125	1	learning	LS3	h101_p49_k_down_q2_right.jpg
391.877	0.882	1	learning	LS3	h50_p45_k_up_q3_right.jpg
401.050	1.324	1	learning	LS4	h97_p23_k_down_q2_right.jpg
405.720	1.184	1	learning	LS4	h101_p49_k_down_q2_right.jpg
410.390	0.345	1	learning	LS4	h50_p45_k_up_q3_right.jpg
415.060	0.926	1	learning	LS4	h75_p37_k_down_q1_left.jpg
419.713	1.352	1	learning	LS4	h97_p23_k_down_q2_right.jpg
424.383	0.547	1	learning	LS4	h56_p13_k_up_q2_right.jpg
429.053	1.023	1	learning	LS4	h101_p49_k_down_q2_right.jpg
433.739	1.053	1	learning	LS4	h75_p37_k_down_q1_left.jpg
438.409	0.482	1	learning	LS4	h50_p45_k_up_q3_right.jpg
443.079	1.823	1	learning	LS4	h56_p13_k_up_q2_right.jpg
470.314	1.729	1	learning	LS1	h102_p40_k_down_q2_right.jpg
475.001	1.394	0	learning	LS1	h77_p42_k_down_q1_left.jpg
479.687	1.137	0	learning	LS1	h24_p40_k_up_q4_left.jpg
484.374	n/a	n/a	learning	LS1	n/a
489.060	0.913	0	learning	LS1	h24_p40_k_up_q4_left.jpg
493.730	0.671	1	learning	LS1	h102_p40_k_down_q2_right.jpg
498.417	0.116	0	learning	LS1	h38_p37_k_up_q3_right.jpg
503.103	1.216	1	learning	LS1	h44_p18_k_up_q1_right.jpg
507.790	1.306	1	learning	LS1	h38_p37_k_up_q3_right.jpg
512.443	0.452	1	learning	LS1	h77_p42_k_down_q1_left.jpg
521.649	0.207	1	learning	LS2	h38_p37_k_up_q3_right.jpg
526.319	0.170	1	learning	LS2	h102_p40_k_down_q2_right.jpg
531.006	1.031	1	learning	LS2	h24_p40_k_up_q4_left.jpg
535.676	1.159	1	learning	LS2	h102_p40_k_down_q2_right.jpg
540.345	0.421	1	learning	LS2	h77_p42_k_down_q1_left.jpg
545.032	0.952	1	learning	LS2	h38_p37_k_up_q3_right.jpg
549.718	1.227	1	learning	LS2	h77_p42_k_down_q1_left.jpg
554.422	0.172	1	learning	LS2	h44_p18_k_up_q1_right.jpg
559.108	1.701	1	learning	LS2	h24_p40_k_up_q4_left.jpg
563.778	1.062	1	learning	LS2	h44_p18_k_up_q1_right.jpg
