onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
24.142	0.208	208.2	learning	LS1	h22_p21_k_down_left.jpg	n/a
28.812	0.035	34.7	learning	LS1	h35_p50_k_down_right.jpg	n/a
33.482	0.891	891.3	learning	LS1	h114_p35_k_up_right.jpg	n/a
38.168	0.151	150.8	learning	LS1	h35_p50_k_down_right.jpg	n/a
42.855	1.256	1256.3	learning	LS1	h117_p6_k_up_left.jpg	n/a
47.525	0.967	966.8	learning	LS1	h114_p35_k_up_right.jpg	n/a
52.228	0.176	176.0	learning	LS1	h108_p27_k_up_left.jpg	n/a
56.898	1.311	1310.6	learning	LS1	h22_p21_k_down_left.jpg	n/a
61.551	1.393	1393.5	learning	LS1	h108_p27_k_up_left.jpg	n/a
66.204	0.402	402.0	learning	LS1	h117_p6_k_up_left.jpg	n/a
75.410	0.702	701.7	learning	LS2	h22_p21_k_down_left.jpg	n/a
80.080	0.077	77.3	learning	LS2	h114_p35_k_up_right.jpg	n/a
84.750	0.087	87.2	learning	LS2	h108_p27_k_up_left.jpg	n/a
89.420	1.311	1311.4	learning	LS2	h114_p35_k_up_right.jpg	n/a
94.090	0.354	354.1	learning	LS2	h35_p50_k_down_right.jpg	n/a
98.760	1.374	1374.3	learning	LS2	h108_p27_k_up_left.jpg	n/a
103.430	1.421	1420.5	learning	LS2	h117_p6_k_up_left.jpg	n/a
108.099	0.663	663.5	learning	LS2	h22_p21_k_down_left.jpg	n/a
112.786	1.702	1702.5	learning	LS2	h35_p50_k_down_right.jpg	n/a
117.489	1.396	1396.0	learning	LS2	h117_p6_k_up_left.jpg	n/a
126.679	0.015	15.2	learning	LS3	h22_p21_k_down_left.jpg	n/a
131.332	0.866	866.0	learning	LS3	h117_p6_k_up_left.jpg	n/a
136.002	0.732	731.5	learning	LS3	h108_p27_k_up_left.jpg	n/a
140.672	1.293	1292.8	learning	LS3	h114_p35_k_up_right.jpg	n/a
145.325	0.843	843.0	learning	LS3	h117_p6_k_up_left.jpg	n/a
149.995	0.240	240.4	learning	LS3	h35_p50_k_down_right.jpg	n/a
154.681	2.069	2069.0	learning	LS3	h22_p21_k_down_left.jpg	n/a
159.334	1.172	1171.7	learning	LS3	h114_p35_k_up_right.jpg	n/a
164.021	0.917	916.9	learning	LS3	h35_p50_k_down_right.jpg	n/a
168.674	1.726	1726.0	learning	LS3	h108_p27_k_up_left.jpg	n/a
177.864	0.859	859.4	learning	LS4	h22_p21_k_down_left.jpg	n/a
182.517	0.686	686.2	learning	LS4	h108_p27_k_up_left.jpg	n/a
187.203	0.828	828.3	learning	LS4	h117_p6_k_up_left.jpg	n/a
191.857	1.086	1085.9	learning	LS4	h35_p50_k_down_right.jpg	n/a
196.510	1.767	1767.1	learning	LS4	h114_p35_k_up_right.jpg	n/a
201.163	0.934	934.0	learning	LS4	h22_p21_k_down_left.jpg	n/a
205.833	1.246	1246.0	learning	LS4	h117_p6_k_up_left.jpg	n/a
210.486	0.388	387.9	learning	LS4	h35_p50_k_down_right.jpg	n/a
215.173	0.864	863.5	learning	LS4	h108_p27_k_up_left.jpg	n/a
219.843	1.038	1038.5	learning	LS4	h114_p35_k_up_right.jpg	n/a
247.011	1.964	1964.5	control	LS1	h36_p11_i_down_right.jpg	n/a
251.614	2.300	2300.4	control	LS1	h82_p21_k_up_right.jpg	n/a
256.234	1.693	1692.9	control	LS1	h36_p12_k_down_left.jpg	n/a
260.837	1.085	1085.5	control	LS1	h85_p11_k_up_left.jpg	n/a
265.457	2.459	2459.5	control	LS1	h48_p13_i_down_left.jpg	n/a
270.043	1.869	1869.1	control	LS1	h85_p16_i_up_left.jpg	n/a
274.647	1.278	1278.1	control	LS1	h87_p10_i_up_left.jpg	n/a
279.250	0.671	671.0	control	LS1	h87_p9_k_up_left.jpg	n/a
283.853	n/a	n/a	control	LS1	n/a	n/a
288.956	0.971	970.5	control	LS1	h48_p41_k_down_right.jpg	n/a
298.063	1.854	1854.3	control	LS2	h87_p9_k_up_left.jpg	n/a
302.682	1.230	1230.4	control	LS2	h48_p17_i_down_right.jpg	n/a
307.286	1.087	1087.0	control	LS2	h82_p37_i_up_right.jpg	n/a
311.889	2.030	2030.4	control	LS2	h85_p43_i_up_right.jpg	n/a
316.492	1.503	1503.2	control	LS2	h87_p34_i_up_right.jpg	n/a
321.112	0.815	815.4	control	LS2	h36_p25_i_down_right.jpg	n/a
325.698	2.223	2223.0	control	LS2	h82_p21_k_up_right.jpg	n/a
330.301	1.616	1616.0	control	LS2	h48_p41_k_down_right.jpg	n/a
334.904	1.345	1344.5	control	LS2	h36_p12_k_down_left.jpg	n/a
339.491	2.432	2432.3	control	LS2	h85_p11_k_up_left.jpg	n/a
348.597	2.133	2133.1	control	LS3	h48_p13_i_down_left.jpg	n/a
353.200	0.918	918.4	control	LS3	h82_p10_i_up_left.jpg	n/a
357.803	2.118	2117.7	control	LS3	h85_p16_i_up_left.jpg	n/a
362.407	1.510	1510.4	control	LS3	h36_p11_i_down_right.jpg	n/a
366.993	0.920	920.0	control	LS3	h87_p10_i_up_left.jpg	n/a
371.579	2.343	2343.4	control	LS3	h36_p12_k_down_left.jpg	n/a
376.183	1.736	1736.5	control	LS3	h48_p41_k_down_right.jpg	n/a
380.769	1.146	1146.0	control	LS3	h87_p9_k_up_left.jpg	n/a
385.372	0.843	842.7	control	LS3	h85_p11_k_up_left.jpg	n/a
389.959	1.963	1962.9	control	LS3	h82_p21_k_up_right.jpg	n/a
399.082	n/a	n/a	control	LS4	n/a	n/a
404.185	1.739	1738.9	control	LS4	h85_p11_k_up_left.jpg	n/a
408.788	1.324	1323.9	control	LS4	h87_p34_i_up_right.jpg	n/a
413.392	1.085	1084.5	control	LS4	h36_p12_k_down_left.jpg	n/a
417.995	1.932	1932.1	control	LS4	h85_p43_i_up_right.jpg	n/a
422.598	1.325	1325.0	control	LS4	h48_p17_i_down_right.jpg	n/a
427.184	1.518	1518.2	control	LS4	h48_p41_k_down_right.jpg	n/a
431.771	2.143	2142.7	control	LS4	h82_p37_i_up_right.jpg	n/a
436.374	1.551	1551.3	control	LS4	h82_p21_k_up_right.jpg	n/a
440.960	0.961	961.3	control	LS4	h36_p25_i_down_right.jpg	n/a
468.196	0.563	563.1	learning	LS1	h89_p39_k_up_left.jpg	n/a
472.882	1.155	1155.0	learning	LS1	h98_p19_k_up_right.jpg	n/a
477.552	1.296	1296.5	learning	LS1	h107_p42_k_up_right.jpg	n/a
482.205	2.445	2444.7	learning	LS1	h107_p42_k_up_right.jpg	n/a
486.858	1.132	1131.9	learning	LS1	h11_p43_k_down_left.jpg	n/a
491.512	0.922	921.7	learning	LS1	h98_p19_k_up_right.jpg	n/a
496.198	0.198	197.8	learning	LS1	h11_p43_k_down_left.jpg	n/a
500.868	1.077	1076.6	learning	LS1	h28_p46_k_down_right.jpg	n/a
505.538	1.264	1264.3	learning	LS1	h89_p39_k_up_left.jpg	n/a
510.208	0.807	807.2	learning	LS1	h28_p46_k_down_right.jpg	n/a
519.381	1.361	1361.2	learning	LS2	h107_p42_k_up_right.jpg	n/a
524.067	0.600	599.5	learning	LS2	h107_p42_k_up_right.jpg	n/a
528.737	1.579	1578.7	learning	LS2	h89_p39_k_up_left.jpg	n/a
533.407	1.365	1365.5	learning	LS2	h98_p19_k_up_right.jpg	n/a
538.077	1.142	1141.7	learning	LS2	h98_p19_k_up_right.jpg	n/a
542.730	1.428	1427.8	learning	LS2	h11_p43_k_down_left.jpg	n/a
547.416	1.525	1524.9	learning	LS2	h28_p46_k_down_right.jpg	n/a
552.103	0.801	801.1	learning	LS2	h89_p39_k_up_left.jpg	n/a
556.789	1.483	1483.2	learning	LS2	h11_p43_k_down_left.jpg	n/a
561.459	1.567	1567.5	learning	LS2	h28_p46_k_down_right.jpg	n/a
570.649	1.289	1289.4	learning	LS3	h89_p39_k_up_left.jpg	n/a
575.319	0.807	807.0	learning	LS3	h11_p43_k_down_left.jpg	n/a
579.989	1.019	1019.4	learning	LS3	h98_p19_k_up_right.jpg	n/a
584.659	1.586	1585.9	learning	LS3	h107_p42_k_up_right.jpg	n/a
589.328	1.183	1183.0	learning	LS3	h98_p19_k_up_right.jpg	n/a
593.998	1.012	1011.8	learning	LS3	h89_p39_k_up_left.jpg	n/a
598.668	1.338	1338.0	learning	LS3	h28_p46_k_down_right.jpg	n/a
603.355	1.319	1319.5	learning	LS3	h28_p46_k_down_right.jpg	n/a
608.008	0.738	738.4	learning	LS3	h107_p42_k_up_right.jpg	n/a
612.661	0.364	364.2	learning	LS3	h11_p43_k_down_left.jpg	n/a
621.851	1.081	1081.2	learning	LS4	h28_p46_k_down_right.jpg	n/a
626.537	0.407	406.9	learning	LS4	h98_p19_k_up_right.jpg	n/a
631.207	n/a	n/a	learning	LS4	n/a	n/a
635.860	0.824	823.5	learning	LS4	h11_p43_k_down_left.jpg	n/a
640.547	0.150	149.6	learning	LS4	h107_p42_k_up_right.jpg	n/a
645.217	0.952	952.3	learning	LS4	h89_p39_k_up_left.jpg	n/a
649.903	1.299	1299.2	learning	LS4	h107_p42_k_up_right.jpg	n/a
654.590	0.475	475.4	learning	LS4	h98_p19_k_up_right.jpg	n/a
659.276	2.157	2156.8	learning	LS4	h89_p39_k_up_left.jpg	n/a
663.963	2.138	2137.9	learning	LS4	h11_p43_k_down_left.jpg	n/a
691.215	n/a	n/a	learning	LS1	n/a	n/a
695.901	0.871	870.5	learning	LS1	h18_p7_k_down_right.jpg	n/a
700.588	1.383	1382.5	learning	LS1	h83_p29_k_up_right.jpg	n/a
705.258	1.075	1075.3	learning	LS1	h33_p11_k_down_right.jpg	n/a
709.944	1.063	1063.2	learning	LS1	h46_p18_k_down_left.jpg	n/a
714.647	0.289	289.5	learning	LS1	h120_p12_k_up_right.jpg	n/a
719.317	0.826	826.2	learning	LS1	h46_p18_k_down_left.jpg	n/a
723.987	0.756	756.0	learning	LS1	h33_p11_k_down_right.jpg	n/a
728.640	1.989	1989.1	learning	LS1	h120_p12_k_up_right.jpg	n/a
733.327	1.012	1012.0	learning	LS1	h18_p7_k_down_right.jpg	n/a
742.516	1.540	1540.5	learning	LS2	h120_p12_k_up_right.jpg	n/a
747.203	1.361	1361.1	learning	LS2	h18_p7_k_down_right.jpg	n/a
751.889	1.076	1076.0	learning	LS2	h33_p11_k_down_right.jpg	n/a
756.559	1.883	1883.5	learning	LS2	h83_p29_k_up_right.jpg	n/a
761.229	1.577	1576.7	learning	LS2	h46_p18_k_down_left.jpg	n/a
765.916	0.635	634.9	learning	LS2	h120_p12_k_up_right.jpg	n/a
770.586	1.428	1428.3	learning	LS2	h46_p18_k_down_left.jpg	n/a
775.255	1.298	1297.5	learning	LS2	h33_p11_k_down_right.jpg	n/a
779.925	0.511	511.2	learning	LS2	h18_p7_k_down_right.jpg	n/a
784.612	0.221	220.7	learning	LS2	h83_p29_k_up_right.jpg	n/a
793.802	0.420	419.9	learning	LS3	h120_p12_k_up_right.jpg	n/a
798.471	1.594	1594.2	learning	LS3	h83_p29_k_up_right.jpg	n/a
803.141	0.872	871.8	learning	LS3	h120_p12_k_up_right.jpg	n/a
807.828	1.079	1079.1	learning	LS3	h46_p18_k_down_left.jpg	n/a
812.498	0.071	71.4	learning	LS3	h18_p7_k_down_right.jpg	n/a
817.184	1.183	1182.9	learning	LS3	h33_p11_k_down_right.jpg	n/a
821.871	1.037	1037.4	learning	LS3	h46_p18_k_down_left.jpg	n/a
826.541	0.580	580.4	learning	LS3	h33_p11_k_down_right.jpg	n/a
831.227	0.982	981.5	learning	LS3	h18_p7_k_down_right.jpg	n/a
835.914	1.147	1146.7	learning	LS3	h83_p29_k_up_right.jpg	n/a
845.120	1.234	1234.5	learning	LS4	h120_p12_k_up_right.jpg	n/a
849.807	1.372	1371.7	learning	LS4	h46_p18_k_down_left.jpg	n/a
854.476	0.398	397.8	learning	LS4	h33_p11_k_down_right.jpg	n/a
859.163	1.240	1240.3	learning	LS4	h120_p12_k_up_right.jpg	n/a
863.849	1.064	1063.9	learning	LS4	h18_p7_k_down_right.jpg	n/a
868.519	0.523	523.4	learning	LS4	h46_p18_k_down_left.jpg	n/a
873.206	1.168	1167.9	learning	LS4	h83_p29_k_up_right.jpg	n/a
877.876	0.473	473.0	learning	LS4	h33_p11_k_down_right.jpg	n/a
882.562	0.449	448.9	learning	LS4	h18_p7_k_down_right.jpg	n/a
887.215	0.776	775.6	learning	LS4	h83_p29_k_up_right.jpg	n/a
914.484	0.076	76.1	learning	LS1	h48_p41_k_down_right.jpg	n/a
919.170	1.348	1348.1	learning	LS1	h94_p2_k_up_left.jpg	n/a
923.840	1.010	1009.7	learning	LS1	h87_p9_k_up_left.jpg	n/a
928.510	0.285	285.0	learning	LS1	h36_p12_k_down_left.jpg	n/a
933.180	1.292	1291.7	learning	LS1	h48_p41_k_down_right.jpg	n/a
937.867	0.651	651.5	learning	LS1	h109_p51_k_up_left.jpg	n/a
942.537	0.094	93.6	learning	LS1	h87_p9_k_up_left.jpg	n/a
947.206	1.043	1043.2	learning	LS1	h109_p51_k_up_left.jpg	n/a
951.876	0.143	143.4	learning	LS1	h94_p2_k_up_left.jpg	n/a
956.563	0.220	220.0	learning	LS1	h36_p12_k_down_left.jpg	n/a
965.769	1.286	1286.4	learning	LS2	h36_p12_k_down_left.jpg	n/a
970.422	0.245	245.5	learning	LS2	h48_p41_k_down_right.jpg	n/a
975.109	0.071	71.3	learning	LS2	h109_p51_k_up_left.jpg	n/a
979.795	0.762	761.7	learning	LS2	h94_p2_k_up_left.jpg	n/a
984.482	0.555	554.7	learning	LS2	h109_p51_k_up_left.jpg	n/a
989.152	0.847	847.2	learning	LS2	h87_p9_k_up_left.jpg	n/a
993.822	0.804	803.7	learning	LS2	h94_p2_k_up_left.jpg	n/a
998.491	1.529	1529.2	learning	LS2	h36_p12_k_down_left.jpg	n/a
1003.161	0.967	966.6	learning	LS2	h48_p41_k_down_right.jpg	n/a
1007.814	1.045	1045.4	learning	LS2	h87_p9_k_up_left.jpg	n/a
1017.004	0.983	982.9	learning	LS3	h36_p12_k_down_left.jpg	n/a
1021.674	1.455	1455.0	learning	LS3	h48_p41_k_down_right.jpg	n/a
1026.327	0.597	597.4	learning	LS3	h94_p2_k_up_left.jpg	n/a
1030.997	0.040	40.3	learning	LS3	h109_p51_k_up_left.jpg	n/a
1035.650	0.480	479.6	learning	LS3	h36_p12_k_down_left.jpg	n/a
1040.320	0.623	623.0	learning	LS3	h87_p9_k_up_left.jpg	n/a
1044.990	0.049	49.0	learning	LS3	h48_p41_k_down_right.jpg	n/a
1049.660	1.390	1389.9	learning	LS3	h87_p9_k_up_left.jpg	n/a
1054.330	0.432	431.8	learning	LS3	h94_p2_k_up_left.jpg	n/a
1058.999	0.192	191.5	learning	LS3	h109_p51_k_up_left.jpg	n/a
1068.206	0.340	340.0	learning	LS4	h48_p41_k_down_right.jpg	n/a
1072.859	0.133	133.3	learning	LS4	h36_p12_k_down_left.jpg	n/a
1077.512	1.374	1373.8	learning	LS4	h48_p41_k_down_right.jpg	n/a
1082.182	0.799	799.4	learning	LS4	h109_p51_k_up_left.jpg	n/a
1086.852	0.226	225.5	learning	LS4	h94_p2_k_up_left.jpg	n/a
1091.538	1.516	1516.2	learning	LS4	h87_p9_k_up_left.jpg	n/a
1096.225	0.743	742.5	learning	LS4	h94_p2_k_up_left.jpg	n/a
1100.878	0.402	401.5	learning	LS4	h109_p51_k_up_left.jpg	n/a
1105.531	1.442	1442.4	learning	LS4	h87_p9_k_up_left.jpg	n/a
1110.185	0.134	134.4	learning	LS4	h36_p12_k_down_left.jpg	n/a
1137.436	1.236	1236.3	learning	LS1	h42_p5_k_down_left.jpg	n/a
1142.123	1.045	1045.4	learning	LS1	h53_p33_k_down_right.jpg	n/a
1146.793	0.071	70.8	learning	LS1	h111_p47_k_up_left.jpg	n/a
1151.479	0.678	677.8	learning	LS1	h53_p33_k_down_right.jpg	n/a
1156.166	0.638	637.8	learning	LS1	h29_p3_k_down_left.jpg	n/a
1160.819	1.165	1164.5	learning	LS1	h82_p21_k_up_right.jpg	n/a
1165.472	0.937	937.0	learning	LS1	h42_p5_k_down_left.jpg	n/a
1170.142	0.747	746.6	learning	LS1	h82_p21_k_up_right.jpg	n/a
1174.812	1.445	1445.1	learning	LS1	h29_p3_k_down_left.jpg	n/a
1179.465	n/a	n/a	learning	LS1	n/a	n/a
1188.638	1.493	1493.3	learning	LS2	h42_p5_k_down_left.jpg	n/a
1193.291	1.092	1091.7	learning	LS2	h53_p33_k_down_right.jpg	n/a
1197.995	0.614	614.3	learning	LS2	h111_p47_k_up_left.jpg	n/a
1202.681	0.291	290.6	learning	LS2	h53_p33_k_down_right.jpg	n/a
1207.351	0.842	841.9	learning	LS2	h111_p47_k_up_left.jpg	n/a
1212.004	0.690	689.5	learning	LS2	h29_p3_k_down_left.jpg	n/a
1216.657	0.232	232.3	learning	LS2	h82_p21_k_up_right.jpg	n/a
1221.327	1.490	1490.3	learning	LS2	h42_p5_k_down_left.jpg	n/a
1225.997	0.581	581.3	learning	LS2	h29_p3_k_down_left.jpg	n/a
1230.667	0.224	224.0	learning	LS2	h82_p21_k_up_right.jpg	n/a
1239.840	2.381	2381.4	learning	LS3	h29_p3_k_down_left.jpg	n/a
1244.510	0.400	399.8	learning	LS3	h111_p47_k_up_left.jpg	n/a
1249.163	0.890	890.3	learning	LS3	h53_p33_k_down_right.jpg	n/a
1253.833	0.765	765.3	learning	LS3	h42_p5_k_down_left.jpg	n/a
1258.486	0.675	675.0	learning	LS3	h82_p21_k_up_right.jpg	n/a
1263.172	1.011	1010.9	learning	LS3	h53_p33_k_down_right.jpg	n/a
1267.825	1.158	1158.2	learning	LS3	h111_p47_k_up_left.jpg	n/a
1272.479	n/a	n/a	learning	LS3	n/a	n/a
1277.165	1.147	1147.0	learning	LS3	h82_p21_k_up_right.jpg	n/a
1281.835	0.649	649.3	learning	LS3	h29_p3_k_down_left.jpg	n/a
1291.008	1.224	1224.5	learning	LS4	h53_p33_k_down_right.jpg	n/a
1295.678	1.375	1374.5	learning	LS4	h111_p47_k_up_left.jpg	n/a
1300.348	0.766	766.2	learning	LS4	h53_p33_k_down_right.jpg	n/a
1305.001	0.259	258.9	learning	LS4	h42_p5_k_down_left.jpg	n/a
1309.654	0.749	749.0	learning	LS4	h29_p3_k_down_left.jpg	n/a
1314.307	0.875	874.7	learning	LS4	h111_p47_k_up_left.jpg	n/a
1318.960	1.210	1210.3	learning	LS4	h82_p21_k_up_right.jpg	n/a
1323.614	1.391	1391.1	learning	LS4	h29_p3_k_down_left.jpg	n/a
1328.284	0.800	799.7	learning	LS4	h82_p21_k_up_right.jpg	n/a
1332.937	1.171	1171.3	learning	LS4	h42_p5_k_down_left.jpg	n/a
1360.172	0.575	575.2	learning	LS1	h12_p4_k_down_left.jpg	n/a
1364.825	0.251	251.3	learning	LS1	h85_p11_k_up_left.jpg	n/a
1369.512	1.242	1241.8	learning	LS1	h32_p31_k_down_right.jpg	n/a
1374.182	n/a	n/a	learning	LS1	n/a	n/a
1378.851	1.096	1095.7	learning	LS1	h12_p4_k_down_left.jpg	n/a
1383.521	1.217	1216.6	learning	LS1	h85_p11_k_up_left.jpg	n/a
1388.191	0.291	291.5	learning	LS1	h116_p28_k_up_right.jpg	n/a
1392.878	1.614	1614.4	learning	LS1	h25_p14_k_down_left.jpg	n/a
1397.581	1.241	1241.0	learning	LS1	h32_p31_k_down_right.jpg	n/a
1402.267	0.467	466.8	learning	LS1	h25_p14_k_down_left.jpg	n/a
1411.474	0.732	732.3	learning	LS2	h32_p31_k_down_right.jpg	n/a
1416.160	0.792	791.6	learning	LS2	h85_p11_k_up_left.jpg	n/a
1420.830	1.359	1359.1	learning	LS2	h25_p14_k_down_left.jpg	n/a
