participant,session,set,phase,block,rep,trial,stimulus,stim_type,direction,side,response_key,correct,rt,onset_time
sub-001,1,B,learning-1,1,1,1,h32_p61_i_down_right.jpg,i,down,right,left,incorrect,0.9698,2.0096
sub-001,1,B,learning-1,1,1,2,h114_p28_i_up_right.jpg,i,up,right,left,incorrect,0.6362,6.6553
sub-001,1,B,learning-1,1,1,3,h117_p6_i_up_left.jpg,i,up,left,right,correct,1.4469,11.2925
sub-001,1,B,learning-1,1,1,4,h116_p57_i_up_right.jpg,i,up,right,left,incorrect,0.8532,15.9183
sub-001,1,B,learning-1,1,1,5,h32_p32_i_down_right.jpg,i,down,right,,timeout,,20.5407
sub-001,1,B,learning-1,1,1,6,h117_p9_k_up_left.jpg,k,up,left,,timeout,,25.1708
sub-001,1,B,learning-1,1,1,7,h116_p53_i_up_right.jpg,i,up,right,left,incorrect,0.5321,29.7914
sub-001,1,B,learning-1,1,1,8,h111_p65_i_up_left.jpg,i,up,left,,timeout,,34.4286
sub-001,1,B,learning-1,1,1,9,h29_p3_k_down_left.jpg,k,down,left,left,correct,1.2593,39.0722
sub-001,1,B,learning-1,1,1,10,h28_p46_k_down_right.jpg,k,down,right,right,incorrect,1.0933,43.7263
sub-001,1,B,learning-1,1,1,11,h111_p47_k_up_left.jpg,k,up,left,,timeout,,48.3809
sub-001,1,B,learning-1,1,1,12,h114_p36_i_up_right.jpg,i,up,right,,timeout,,53.0275
sub-001,1,B,learning-1,1,1,13,h111_p17_i_up_left.jpg,i,up,left,right,correct,0.8188,57.6647
sub-001,1,B,learning-1,1,1,14,h32_p50_i_down_right.jpg,i,down,right,left,incorrect,0.8056,62.302
sub-001,1,B,learning-1,1,1,15,h111_p10_i_up_left.jpg,i,up,left,right,correct,0.9684,66.9392
sub-001,1,B,learning-1,1,1,16,h114_p58_i_up_right.jpg,i,up,right,right,correct,1.291,71.5765
sub-001,1,B,learning-1,1,1,17,h116_p28_k_up_right.jpg,k,up,right,left,correct,1.1332,76.2303
sub-001,1,B,learning-1,1,1,18,h28_p11_i_down_right.jpg,i,down,right,left,incorrect,1.344,80.8675
sub-001,1,B,learning-1,1,1,19,h29_p2_i_down_right.jpg,i,down,right,right,correct,0.9972,85.5104
sub-001,1,B,learning-1,1,1,20,h32_p31_k_down_right.jpg,k,down,right,left,correct,1.0132,90.1503
sub-001,1,B,learning-1,1,1,21,h114_p35_k_up_right.jpg,k,up,right,right,incorrect,0.836,94.7995
sub-001,1,B,learning-1,1,1,22,h117_p10_i_up_left.jpg,i,up,left,left,incorrect,0.4907,99.4409
sub-001,1,B,learning-1,1,1,23,h28_p2_i_down_right.jpg,i,down,right,,timeout,,104.0757
sub-001,1,B,learning-1,1,1,24,h29_p46_i_down_right.jpg,i,down,right,right,correct,2.4867,108.7249
sub-001,1,B,learning-1,1,1,25,h28_p3_i_down_left.jpg,i,down,left,right,correct,0.8494,113.37
sub-001,1,B,learning-1,1,1,26,h117_p8_i_up_left.jpg,i,up,left,left,incorrect,0.8282,118.0154
sub-001,1,B,learning-1,1,1,27,h116_p59_i_up_right.jpg,i,up,right,right,correct,0.6008,122.6588
sub-001,1,B,learning-1,1,1,28,h29_p4_i_down_left.jpg,i,down,left,right,correct,1.7471,127.3125
sub-001,1,B,learning-1,1,2,1,h29_p2_i_down_right.jpg,i,down,right,left,incorrect,0.7954,136.4642
sub-001,1,B,learning-1,1,2,2,h111_p10_i_up_left.jpg,i,up,left,right,correct,0.4644,141.1072
