onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
0.0	4.775	4774.9	navigation	Trial1	navigation/STIM_000.jpg	100
7.694	3.431	3431.1	navigation	Trial1	navigation/STIM_000.jpg	99
13.444	3.28	3280.0	navigation	Trial1	navigation/STIM_000.jpg	100
19.107	3.032	3031.7	navigation	Trial1	navigation/STIM_000.jpg	100
25.036	3.287	3287.3	navigation	Trial1	navigation/STIM_000.jpg	99
32.318	1.56	1559.5	navigation	Trial1	navigation/STIM_000.jpg	99
36.051	4.938	4937.8	navigation	Trial1	navigation/STIM_001.jpg	100
44.682	3.436	3436.3	navigation	Trial1	navigation/STIM_001.jpg	100
50.318	4.506	4506.4	navigation	Trial1	navigation/STIM_001.jpg	99
58.354	2.176	2175.8	navigation	Trial1	navigation/STIM_001.jpg	100
63.058	1.922	1921.5	navigation	Trial1	navigation/STIM_001.jpg	99
68.803	2.023	2022.8	navigation	Trial1	navigation/STIM_001.jpg	100
74.014	3.196	3195.9	navigation	Trial1	navigation/STIM_002.jpg	100
79.547	4.646	4645.8	navigation	Trial1	navigation/STIM_002.jpg	99
86.721	4.007	4007.3	navigation	Trial1	navigation/STIM_002.jpg	99
93.969	3.809	3809.1	navigation	Trial1	navigation/STIM_002.jpg	99
100.58	2.492	2491.9	navigation	Trial1	navigation/STIM_002.jpg	99
105.113	1.699	1699.2	navigation	Trial1	navigation/STIM_002.jpg	99
109.426	3.093	3092.6	navigation	Trial1	navigation/STIM_003.jpg	100
115.91	4.085	4084.5	navigation	Trial1	navigation/STIM_003.jpg	100
122.294	3.34	3340.4	navigation	Trial1	navigation/STIM_003.jpg	100
129.467	2.099	2099.3	navigation	Trial1	navigation/STIM_003.jpg	100
133.818	3.573	3573.0	navigation	Trial1	navigation/STIM_003.jpg	99
140.566	1.714	1714.2	navigation	Trial1	navigation/STIM_003.jpg	100
146.266	2.542	2542.2	navigation	Trial1	navigation/STIM_004.jpg	100
151.513	4.686	4685.9	navigation	Trial1	navigation/STIM_004.jpg	99
159.403	2.932	2932.1	navigation	Trial1	navigation/STIM_004.jpg	100
164.76	2.009	2008.6	navigation	Trial1	navigation/STIM_004.jpg	100
170.393	2.726	2725.9	navigation	Trial1	navigation/STIM_004.jpg	100
176.687	2.195	2195.4	navigation	Trial1	navigation/STIM_004.jpg	99
182.353	5.07	5070.4	navigation	Trial1	navigation/STIM_005.jpg	100
