onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
0.0	4.858	1	navigation	Trial1	navigation/STIM_000.jpg
7.384	3.955	1	navigation	Trial1	navigation/STIM_000.jpg
14.919	2.483	1	navigation	Trial1	navigation/STIM_000.jpg
20.016	4.114	1	navigation	Trial1	navigation/STIM_000.jpg
26.265	3.7	1	navigation	Trial1	navigation/STIM_000.jpg
32.343	1.752	0	navigation	Trial1	navigation/STIM_000.jpg
37.237	4.407	1	navigation	Trial1	navigation/STIM_001.jpg
45.171	4.83	0	navigation	Trial1	navigation/STIM_001.jpg
53.146	2.809	1	navigation	Trial1	navigation/STIM_001.jpg
59.136	4.549	1	navigation	Trial1	navigation/STIM_001.jpg
67.615	3.382	1	navigation	Trial1	navigation/STIM_001.jpg
74.907	3.229	1	navigation	Trial1	navigation/STIM_001.jpg
81.511	2.385	1	navigation	Trial1	navigation/STIM_002.jpg
87.353	2.719	0	navigation	Trial1	navigation/STIM_002.jpg
93.718	3.22	0	navigation	Trial1	navigation/STIM_002.jpg
98.967	3.049	1	navigation	Trial1	navigation/STIM_002.jpg
104.181	3.162	1	navigation	Trial1	navigation/STIM_002.jpg
110.35	3.129	0	navigation	Trial1	navigation/STIM_002.jpg
117.434	2.567	0	navigation	Trial1	navigation/STIM_003.jpg
122.999	5.32	0	navigation	Trial1	navigation/STIM_003.jpg
132.134	2.979	1	navigation	Trial1	navigation/STIM_003.jpg
138.997	2.321	1	navigation	Trial1	navigation/STIM_003.jpg
144.6	2.648	1	navigation	Trial1	navigation/STIM_003.jpg
149.415	3.468	1	navigation	Trial1	navigation/STIM_003.jpg
155.734	4.631	0	navigation	Trial1	navigation/STIM_004.jpg
162.786	2.903	1	navigation	Trial1	navigation/STIM_004.jpg
169.54	3.048	1	navigation	Trial1	navigation/STIM_004.jpg
176.342	3.226	1	navigation	Trial1	navigation/STIM_004.jpg
182.307	2.031	1	navigation	Trial1	navigation/STIM_004.jpg
187.154	2.709	0	navigation	Trial1	navigation/STIM_004.jpg
193.574	4.036	1	navigation	Trial1	navigation/STIM_005.jpg
200.998	4.431	1	navigation	Trial1	navigation/STIM_005.jpg
207.992	3.095	1	navigation	Trial1	navigation/STIM_005.jpg
214.568	3.414	1	navigation	Trial1	navigation/STIM_005.jpg
220.849	4.116	1	navigation	Trial1	navigation/STIM_005.jpg
227.367	2.394	1	navigation	Trial1	navigation/STIM_005.jpg
233.585	2.66	1	navigation	Trial1	navigation/STIM_006.jpg
239.788	4.578	1	navigation	Trial1	navigation/STIM_006.jpg
247.241	4.845	1	navigation	Trial1	navigation/STIM_006.jpg
254.443	3.571	0	navigation	Trial1	navigation/STIM_006.jpg
261.842	3.742	1	navigation	Trial1	navigation/STIM_006.jpg
269.202	2.048	0	navigation	Trial1	navigation/STIM_006.jpg
275.185	3.171	1	navigation	Trial1	navigation/STIM_007.jpg
280.948	3.713	1	navigation	Trial1	navigation/STIM_007.jpg
286.776	2.618	1	navigation	Trial1	navigation/STIM_007.jpg
292.877	2.012	1	navigation	Trial1	navigation/STIM_007.jpg
298.707	4.334	1	navigation	Trial1	navigation/STIM_007.jpg
306.06	1.765	0	navigation	Trial1	navigation/STIM_007.jpg
310.543	3.435	1	navigation	Trial1	navigation/STIM_008.jpg
