onset	duration	accuracy	trial_type	learning_stage	stimulus
0.0	3.41	incorrect	navigation	Trial1	navigation/STIM_000.jpg
6.642	4.843	correct	navigation	Trial1	navigation/STIM_000.jpg
13.25	2.797	incorrect	navigation	Trial1	navigation/STIM_000.jpg
18.851	2.896	correct	navigation	Trial1	navigation/STIM_000.jpg
25.257	2.515	correct	navigation	Trial1	navigation/STIM_000.jpg
29.856	2.974	incorrect	navigation	Trial1	navigation/STIM_000.jpg
35.222	3.608	correct	navigation	Trial1	navigation/STIM_001.jpg
41.177	3.428	incorrect	navigation	Trial1	navigation/STIM_001.jpg
46.383	2.826	correct	navigation	Trial1	navigation/STIM_001.jpg
52.203	3.294	correct	navigation	Trial1	navigation/STIM_001.jpg
57.567	3.135	correct	navigation	Trial1	navigation/STIM_001.jpg
63.272	3.836	correct	navigation	Trial1	navigation/STIM_001.jpg
69.073	4.757	correct	navigation	Trial1	navigation/STIM_002.jpg
75.889	2.518	correct	navigation	Trial1	navigation/STIM_002.jpg
80.546	4.302	correct	navigation	Trial1	navigation/STIM_002.jpg
86.543	3.911	correct	navigation	Trial1	navigation/STIM_002.jpg
93.907	3.0	correct	navigation	Trial1	navigation/STIM_002.jpg
100.61	2.26	correct	navigation	Trial1	navigation/STIM_002.jpg
105.484	2.668	correct	navigation	Trial1	navigation/STIM_003.jpg
111.349	4.072	incorrect	navigation	Trial1	navigation/STIM_003.jpg
118.079	3.914	incorrect	navigation	Trial1	navigation/STIM_003.jpg
125.045	3.006	incorrect	navigation	Trial1	navigation/STIM_003.jpg
131.557	3.462	incorrect	navigation	Trial1	navigation/STIM_003.jpg
137.125	1.73	correct	navigation	Trial1	navigation/STIM_003.jpg
142.163	2.45	correct	navigation	Trial1	navigation/STIM_004.jpg
147.366	4.219	incorrect	navigation	Trial1	navigation/STIM_004.jpg
153.718	2.835	incorrect	navigation	Trial1	navigation/STIM_004.jpg
159.195	2.294	correct	navigation	Trial1	navigation/STIM_004.jpg
163.662	4.118	correct	navigation	Trial1	navigation/STIM_004.jpg
170.973	3.227	correct	navigation	Trial1	navigation/STIM_004.jpg
176.893	3.254	incorrect	navigation	Trial1	navigation/STIM_005.jpg
182.597	5.175	incorrect	navigation	Trial1	navigation/STIM_005.jpg
190.162	3.745	correct	navigation	Trial1	navigation/STIM_005.jpg
196.52	4.388	correct	navigation	Trial1	navigation/STIM_005.jpg
204.482	3.32	incorrect	navigation	Trial1	navigation/STIM_005.jpg
211.368	3.332	correct	navigation	Trial1	navigation/STIM_005.jpg
216.603	4.633	correct	navigation	Trial1	navigation/STIM_006.jpg
224.261	3.934	correct	navigation	Trial1	navigation/STIM_006.jpg
230.807	3.364	incorrect	navigation	Trial1	navigation/STIM_006.jpg
236.001	2.578	correct	navigation	Trial1	navigation/STIM_006.jpg
242.206	2.044	correct	navigation	Trial1	navigation/STIM_006.jpg
247.119	2.716	correct	navigation	Trial1	navigation/STIM_006.jpg
252.116	4.709	correct	navigation	Trial1	navigation/STIM_007.jpg
259.557	3.765	incorrect	navigation	Trial1	navigation/STIM_007.jpg
266.007	2.833	correct	navigation	Trial1	navigation/STIM_007.jpg
272.349	3.761	correct	navigation	Trial1	navigation/STIM_007.jpg
279.75	3.421	correct	navigation	Trial1	navigation/STIM_007.jpg
286.386	2.768	correct	navigation	Trial1	navigation/STIM_007.jpg
290.95	5.406	correct	navigation	Trial1	navigation/STIM_008.jpg
298.848	3.978	incorrect	navigation	Trial1	navigation/STIM_008.jpg
305.795	2.871	correct	navigation	Trial1	navigation/STIM_008.jpg
311.861	2.36	correct	navigation	Trial1	navigation/STIM_008.jpg
317.347	3.281	correct	navigation	Trial1	navigation/STIM_008.jpg
323.581	3.938	correct	navigation	Trial1	navigation/STIM_008.jpg
330.27	4.891	correct	navigation	Trial1	navigation/STIM_009.jpg
337.426	4.749	incorrect	navigation	Trial1	navigation/STIM_009.jpg
345.748	2.316	incorrect	navigation	Trial1	navigation/STIM_009.jpg
350.203	2.805	incorrect	navigation	Trial1	navigation/STIM_009.jpg
355.154	1.825	correct	navigation	Trial1	navigation/STIM_009.jpg
359.106	1.879	correct	navigation	Trial1	navigation/STIM_009.jpg
364.399	2.809	correct	navigation	Trial1	navigation/STIM_010.jpg
369.355	4.562	correct	navigation	Trial1	navigation/STIM_010.jpg
377.111	2.44	correct	navigation	Trial1	navigation/STIM_010.jpg
382.749	2.44	correct	navigation	Trial1	navigation/STIM_010.jpg
388.795	2.396	correct	navigation	Trial1	navigation/STIM_010.jpg
393.323	2.978	correct	navigation	Trial1	navigation/STIM_010.jpg
399.834	5.132	correct	navigation	Trial1	navigation/STIM_011.jpg
406.95	4.352	correct	navigation	Trial1	navigation/STIM_011.jpg
413.918	3.694	correct	navigation	Trial1	navigation/STIM_011.jpg
420.104	4.076	correct	navigation	Trial1	navigation/STIM_011.jpg
426.62	2.018	correct	navigation	Trial1	navigation/STIM_011.jpg
431.06	1.825	incorrect	navigation	Trial1	navigation/STIM_011.jpg
436.148	1.05	correct	pointing	Trial1	pointing/STIM_000.jpg
440.718	1.591	correct	pointing	Trial1	pointing/STIM_000.jpg
444.79	1.026	incorrect	pointing	Trial1	pointing/STIM_000.jpg
448.75	1.292	correct	pointing	Trial1	pointing/STIM_000.jpg
452.681	1.617	correct	pointing	Trial1	pointing/STIM_000.jpg
457.359	1.336	correct	pointing	Trial1	pointing/STIM_000.jpg
461.135	0.875	correct	pointing	Trial1	pointing/STIM_001.jpg
465.459	1.422	correct	pointing	Trial1	pointing/STIM_001.jpg
469.875	0.941	correct	pointing	Trial1	pointing/STIM_001.jpg
473.999	1.146	correct	pointing	Trial1	pointing/STIM_001.jpg
478.496	1.121	correct	pointing	Trial1	pointing/STIM_001.jpg
482.065	1.395	incorrect	pointing	Trial1	pointing/STIM_001.jpg
486.936	1.438	correct	pointing	Trial1	pointing/STIM_002.jpg
490.873	1.18	incorrect	pointing	Trial1	pointing/STIM_002.jpg
495.231	1.235	correct	pointing	Trial1	pointing/STIM_002.jpg
499.801	1.05	correct	pointing	Trial1	pointing/STIM_002.jpg
503.074	1.294	correct	pointing	Trial1	pointing/STIM_002.jpg
506.689	1.03	correct	pointing	Trial1	pointing/STIM_002.jpg
511.331	1.364	correct	pointing	Trial1	pointing/STIM_003.jpg
