participant_id	sex	age
sub-001	female	21.4
sub-002	female	27.1
sub-003	male	35.2
sub-004	female	24.7
sub-005	female	22.0
sub-006	female	24.7
sub-007	female	25.4
sub-008	non binary	18.0
sub-009	male	24.6
sub-010	female	24.4
sub-011	female	24.6
sub-012	male	22.6
sub-013	female	27.7
sub-014	female	25.8
sub-015	male	25.2
sub-016	male	22.8
sub-017	female	27.8
sub-018	male	24.5
sub-019	female	34.1
sub-020	female	20.8
sub-021	male	26.5
sub-022	male	22.3
sub-023	female	24.1
sub-024	female	26.1
sub-025	female	25.1
sub-026	male	36.1
n/a	n/a	n/a
sub-028	male	22.3
n/a	n/a	n/a
n/a	n/a	n/a
n/a	n/a	n/a
sub-032	male	33.6
sub-033	female	33.1
sub-034	male	22.9
sub-035	female	30.1
sub-036	female	30.7
sub-037	male	25.5
sub-038	female	20.7
sub-039	male	27.3
sub-040	female	29.4
sub-041	female	25.6
n/a	n/a	n/a
sub-043	female	27.5
sub-044	female	28.8
sub-045	female	34.6
sub-046	male	29.4
sub-047	male	33.0
sub-048	female	23.1
n/a	n/a	n/a
n/a	n/a	n/a
sub-051	female	22.8
sub-052	female	20.1
sub-053	male	25.7
sub-054	female	30.4
sub-055	male	27.7
sub-056	female	29.0
sub-057	female	28.8
sub-058	female	30.7
sub-059	female	24.3
sub-060	female	42.2
