onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
0.0	0.993	992.8	incongruent	Block1	incongruent/STIM_000.jpg	100
4.844	0.848	848.4	incongruent	Block1	incongruent/STIM_000.jpg	100
8.638	1.147	1146.7	incongruent	Block1	incongruent/STIM_000.jpg	100
13.687	0.935	935.4	incongruent	Block1	incongruent/STIM_000.jpg	100
17.823	0.589	588.9	incongruent	Block1	incongruent/STIM_000.jpg	99
22.31	0.837	837.2	incongruent	Block1	incongruent/STIM_001.jpg	99
25.872	1.411	1410.8	incongruent	Block1	incongruent/STIM_001.jpg	99
30.766	1.014	1014.0	incongruent	Block1	incongruent/STIM_001.jpg	100
35.632	1.085	1085.3	incongruent	Block1	incongruent/STIM_001.jpg	99
39.693	0.886	885.6	incongruent	Block1	incongruent/STIM_001.jpg	99
43.934	1.507	1506.6	incongruent	Block1	incongruent/STIM_002.jpg	99
49.432	1.423	1422.7	incongruent	Block1	incongruent/STIM_002.jpg	100
53.97	0.694	694.0	incongruent	Block1	incongruent/STIM_002.jpg	99
56.954	1.256	1255.9	incongruent	Block1	incongruent/STIM_002.jpg	100
60.909	1.039	1038.9	incongruent	Block1	incongruent/STIM_002.jpg	100
64.262	1.449	1448.6	incongruent	Block1	incongruent/STIM_003.jpg	100
67.728	1.17	1169.5	incongruent	Block1	incongruent/STIM_003.jpg	100
72.887	0.967	967.2	incongruent	Block1	incongruent/STIM_003.jpg	100
75.961	1.144	1144.1	incongruent	Block1	incongruent/STIM_003.jpg	99
80.11	0.84	840.5	incongruent	Block1	incongruent/STIM_003.jpg	100
83.525	1.364	1363.7	incongruent	Block1	incongruent/STIM_004.jpg	100
88.21	1.154	1153.8	incongruent	Block1	incongruent/STIM_004.jpg	99
91.585	1.14	1140.5	incongruent	Block1	incongruent/STIM_004.jpg	100
94.82	0.849	849.4	incongruent	Block1	incongruent/STIM_004.jpg	99
98.658	0.708	708.4	incongruent	Block1	incongruent/STIM_004.jpg	100
103.246	1.295	1295.3	incongruent	Block1	incongruent/STIM_005.jpg	99
107.542	1.379	1378.8	incongruent	Block1	incongruent/STIM_005.jpg	100
112.622	1.036	1035.7	incongruent	Block1	incongruent/STIM_005.jpg	99
115.676	0.917	917.4	incongruent	Block1	incongruent/STIM_005.jpg	100
118.731	1.121	1121.0	incongruent	Block1	incongruent/STIM_005.jpg	99
122.377	0.987	987.3	incongruent	Block1	incongruent/STIM_006.jpg	99
125.505	0.924	923.7	incongruent	Block1	incongruent/STIM_006.jpg	100
129.251	0.72	719.6	incongruent	Block1	incongruent/STIM_006.jpg	99
133.345	0.847	846.6	incongruent	Block1	incongruent/STIM_006.jpg	99
136.291	0.675	675.3	incongruent	Block1	incongruent/STIM_006.jpg	100
139.52	0.925	924.9	incongruent	Block1	incongruent/STIM_007.jpg	99
143.554	0.967	966.8	incongruent	Block1	incongruent/STIM_007.jpg	100
147.45	0.96	959.9	incongruent	Block1	incongruent/STIM_007.jpg	99
150.818	0.998	997.7	incongruent	Block1	incongruent/STIM_007.jpg	100
155.75	1.142	1142.2	incongruent	Block1	incongruent/STIM_007.jpg	100
