onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
0.0	1.348	1	incongruent	Block1	incongruent/STIM_000.jpg
3.577	0.964	1	incongruent	Block1	incongruent/STIM_000.jpg
6.939	0.672	1	incongruent	Block1	incongruent/STIM_000.jpg
10.285	0.627	0	incongruent	Block1	incongruent/STIM_000.jpg
14.635	0.761	1	incongruent	Block1	incongruent/STIM_000.jpg
18.972	0.954	1	incongruent	Block1	incongruent/STIM_001.jpg
23.218	0.975	0	incongruent	Block1	incongruent/STIM_001.jpg
27.612	0.939	0	incongruent	Block1	incongruent/STIM_001.jpg
32.314	0.621	1	incongruent	Block1	incongruent/STIM_001.jpg
36.357	0.732	1	incongruent	Block1	incongruent/STIM_001.jpg
39.249	0.861	1	incongruent	Block1	incongruent/STIM_002.jpg
42.572	0.885	1	incongruent	Block1	incongruent/STIM_002.jpg
46.624	1.022	1	incongruent	Block1	incongruent/STIM_002.jpg
51.15	0.661	1	incongruent	Block1	incongruent/STIM_002.jpg
54.504	0.892	1	incongruent	Block1	incongruent/STIM_002.jpg
58.428	1.339	1	incongruent	Block1	incongruent/STIM_003.jpg
63.638	1.192	1	incongruent	Block1	incongruent/STIM_003.jpg
67.737	0.767	1	incongruent	Block1	incongruent/STIM_003.jpg
70.901	1.103	1	incongruent	Block1	incongruent/STIM_003.jpg
74.638	0.52	1	incongruent	Block1	incongruent/STIM_003.jpg
78.932	1.248	1	incongruent	Block1	incongruent/STIM_004.jpg
82.222	0.899	1	incongruent	Block1	incongruent/STIM_004.jpg
85.567	0.671	1	incongruent	Block1	incongruent/STIM_004.jpg
89.4	1.069	0	incongruent	Block1	incongruent/STIM_004.jpg
93.506	0.612	1	incongruent	Block1	incongruent/STIM_004.jpg
96.746	0.729	1	incongruent	Block1	incongruent/STIM_005.jpg
101.019	1.2	1	incongruent	Block1	incongruent/STIM_005.jpg
104.39	0.866	1	incongruent	Block1	incongruent/STIM_005.jpg
107.632	0.685	1	incongruent	Block1	incongruent/STIM_005.jpg
110.877	0.872	1	incongruent	Block1	incongruent/STIM_005.jpg
113.997	1.234	1	incongruent	Block1	incongruent/STIM_006.jpg
117.663	1.082	1	incongruent	Block1	incongruent/STIM_006.jpg
122.089	0.949	1	incongruent	Block1	incongruent/STIM_006.jpg
125.928	1.007	1	incongruent	Block1	incongruent/STIM_006.jpg
130.255	0.869	1	incongruent	Block1	incongruent/STIM_006.jpg
133.717	0.949	1	incongruent	Block1	incongruent/STIM_007.jpg
138.202	0.665	1	incongruent	Block1	incongruent/STIM_007.jpg
140.926	0.813	1	incongruent	Block1	incongruent/STIM_007.jpg
144.614	0.915	1	incongruent	Block1	incongruent/STIM_007.jpg
148.757	0.794	1	incongruent	Block1	incongruent/STIM_007.jpg
152.544	0.998	1	incongruent	Block1	incongruent/STIM_008.jpg
157.527	1.176	1	incongruent	Block1	incongruent/STIM_008.jpg
161.327	0.89	1	incongruent	Block1	incongruent/STIM_008.jpg
164.407	1.083	1	incongruent	Block1	incongruent/STIM_008.jpg
169.181	0.59	1	incongruent	Block1	incongruent/STIM_008.jpg
173.581	1.01	1	incongruent	Block1	incongruent/STIM_009.jpg
