onset	duration	accuracy_binary	trial_type	learning_stage	stimulus
0.0	1.367	1	generate	Run1	generate/STIM_000.jpg
4.868	1.42	1	generate	Run1	generate/STIM_000.jpg
9.893	2.126	1	generate	Run1	generate/STIM_000.jpg
14.229	1.041	1	generate	Run1	generate/STIM_000.jpg
18.031	1.163	1	generate	Run1	generate/STIM_000.jpg
21.492	2.553	1	generate	Run1	generate/STIM_001.jpg
27.16	1.874	0	generate	Run1	generate/STIM_001.jpg
31.113	1.286	1	generate	Run1	generate/STIM_001.jpg
34.664	1.077	1	generate	Run1	generate/STIM_001.jpg
38.497	1.801	0	generate	Run1	generate/STIM_001.jpg
44.01	2.175	1	generate	Run1	generate/STIM_002.jpg
48.632	2.181	1	generate	Run1	generate/STIM_002.jpg
53.815	1.894	1	generate	Run1	generate/STIM_002.jpg
59.688	1.169	1	generate	Run1	generate/STIM_002.jpg
63.857	1.044	1	generate	Run1	generate/STIM_002.jpg
68.81	2.676	0	generate	Run1	generate/STIM_003.jpg
75.332	1.657	1	generate	Run1	generate/STIM_003.jpg
80.704	1.294	1	generate	Run1	generate/STIM_003.jpg
85.438	1.282	1	generate	Run1	generate/STIM_003.jpg
89.852	1.274	1	generate	Run1	generate/STIM_003.jpg
94.134	2.78	1	generate	Run1	generate/STIM_004.jpg
99.515	1.701	1	generate	Run1	generate/STIM_004.jpg
105.04	1.402	0	generate	Run1	generate/STIM_004.jpg
108.751	1.286	1	generate	Run1	generate/STIM_004.jpg
113.594	2.198	1	generate	Run1	generate/STIM_004.jpg
119.476	2.286	1	generate	Run1	generate/STIM_005.jpg
125.431	1.36	1	generate	Run1	generate/STIM_005.jpg
130.3	1.922	1	generate	Run1	generate/STIM_005.jpg
134.281	2.266	1	generate	Run1	generate/STIM_005.jpg
139.997	1.953	1	generate	Run1	generate/STIM_005.jpg
145.676	1.472	1	generate	Run1	generate/STIM_006.jpg
150.004	1.757	1	generate	Run1	generate/STIM_006.jpg
154.387	1.478	1	generate	Run1	generate/STIM_006.jpg
158.842	2.008	1	generate	Run1	generate/STIM_006.jpg
163.234	1.81	1	generate	Run1	generate/STIM_006.jpg
167.923	1.314	1	generate	Run1	generate/STIM_007.jpg
172.286	2.546	1	generate	Run1	generate/STIM_007.jpg
177.713	2.283	1	generate	Run1	generate/STIM_007.jpg
183.723	1.099	1	generate	Run1	generate/STIM_007.jpg
188.687	0.932	1	generate	Run1	generate/STIM_007.jpg
193.197	1.841	1	generate	Run1	generate/STIM_008.jpg
197.393	2.33	1	generate	Run1	generate/STIM_008.jpg
203.04	1.051	1	generate	Run1	generate/STIM_008.jpg
207.453	1.304	1	generate	Run1	generate/STIM_008.jpg
211.435	2.177	1	generate	Run1	generate/STIM_008.jpg
216.766	2.276	1	generate	Run1	generate/STIM_009.jpg
222.663	2.452	1	generate	Run1	generate/STIM_009.jpg
228.643	2.104	1	generate	Run1	generate/STIM_009.jpg
233.75	1.643	1	generate	Run1	generate/STIM_009.jpg
237.61	0.981	1	generate	Run1	generate/STIM_009.jpg
240.764	1.921	0	generate	Run1	generate/STIM_010.jpg
246.209	1.276	1	generate	Run1	generate/STIM_010.jpg
250.704	1.245	1	generate	Run1	generate/STIM_010.jpg
254.423	1.679	1	generate	Run1	generate/STIM_010.jpg
260.069	1.777	1	generate	Run1	generate/STIM_010.jpg
263.931	2.832	1	generate	Run1	generate/STIM_011.jpg
270.112	1.862	0	generate	Run1	generate/STIM_011.jpg
275.803	1.855	1	generate	Run1	generate/STIM_011.jpg
280.624	1.584	1	generate	Run1	generate/STIM_011.jpg
284.646	1.737	1	generate	Run1	generate/STIM_011.jpg
288.606	1.905	0	generate	Run1	generate/STIM_012.jpg
293.566	1.4	1	generate	Run1	generate/STIM_012.jpg
297.065	2.338	1	generate	Run1	generate/STIM_012.jpg
302.656	1.233	1	generate	Run1	generate/STIM_012.jpg
305.989	1.524	1	generate	Run1	generate/STIM_012.jpg
311.161	2.838	1	generate	Run1	generate/STIM_013.jpg
316.893	1.842	0	generate	Run1	generate/STIM_013.jpg
322.735	2.417	1	generate	Run1	generate/STIM_013.jpg
328.953	1.65	1	generate	Run1	generate/STIM_013.jpg
333.68	2.053	1	generate	Run1	generate/STIM_013.jpg
338.159	1.32	1	generate	Run1	generate/STIM_014.jpg
342.763	1.898	1	generate	Run1	generate/STIM_014.jpg
348.517	1.934	1	generate	Run1	generate/STIM_014.jpg
352.796	2.372	1	generate	Run1	generate/STIM_014.jpg
358.867	1.865	1	generate	Run1	generate/STIM_014.jpg
364.077	2.144	1	generate	Run1	generate/STIM_015.jpg
368.593	1.694	1	generate	Run1	generate/STIM_015.jpg
372.693	2.179	1	generate	Run1	generate/STIM_015.jpg
377.711	1.231	1	generate	Run1	generate/STIM_015.jpg
381.062	1.175	1	generate	Run1	generate/STIM_015.jpg
384.891	1.142	1	generate	Run1	generate/STIM_016.jpg
389.697	1.786	0	generate	Run1	generate/STIM_016.jpg
394.658	1.808	1	generate	Run1	generate/STIM_016.jpg
400.419	1.307	1	generate	Run1	generate/STIM_016.jpg
404.354	1.741	0	generate	Run1	generate/STIM_016.jpg
409.109	1.367	1	generate	Run1	generate/STIM_017.jpg
414.129	2.426	1	generate	Run1	generate/STIM_017.jpg
419.678	2.005	1	generate	Run1	generate/STIM_017.jpg
424.075	0.987	1	generate	Run1	generate/STIM_017.jpg
428.753	1.496	1	generate	Run1	generate/STIM_017.jpg
433.219	2.567	1	generate	Run1	generate/STIM_018.jpg
438.307	1.785	1	generate	Run1	generate/STIM_018.jpg
442.147	2.1	1	generate	Run1	generate/STIM_018.jpg
