onset	duration	response_time_ms	trial_type	learning_stage	stimulus	response_port
0.0	2.415	2415.4	generate	Run1	generate/STIM_000.jpg	99
6.342	2.06	2060.5	generate	Run1	generate/STIM_000.jpg	99
10.899	2.275	2274.8	generate	Run1	generate/STIM_000.jpg	100
17.51	1.092	1092.1	generate	Run1	generate/STIM_000.jpg	100
21.627	1.669	1669.3	generate	Run1	generate/STIM_000.jpg	100
27.166	1.03	1030.3	generate	Run1	generate/STIM_001.jpg	99
30.486	2.432	2431.9	generate	Run1	generate/STIM_001.jpg	99
35.982	1.032	1032.5	generate	Run1	generate/STIM_001.jpg	99
40.724	1.271	1270.8	generate	Run1	generate/STIM_001.jpg	100
45.18	1.542	1541.6	generate	Run1	generate/STIM_001.jpg	99
50.365	1.629	1629.3	generate	Run1	generate/STIM_002.jpg	100
56.066	1.333	1332.9	generate	Run1	generate/STIM_002.jpg	99
60.968	2.049	2049.1	generate	Run1	generate/STIM_002.jpg	99
65.782	1.519	1518.8	generate	Run1	generate/STIM_002.jpg	100
70.422	1.794	1793.7	generate	Run1	generate/STIM_002.jpg	99
75.384	1.378	1378.1	generate	Run1	generate/STIM_003.jpg	99
80.009	1.767	1766.9	generate	Run1	generate/STIM_003.jpg	100
85.689	1.037	1036.8	generate	Run1	generate/STIM_003.jpg	100
90.779	1.945	1944.8	generate	Run1	generate/STIM_003.jpg	99
96.708	1.71	1710.0	generate	Run1	generate/STIM_003.jpg	100
101.688	1.529	1528.8	generate	Run1	generate/STIM_004.jpg	99
105.633	1.197	1197.1	generate	Run1	generate/STIM_004.jpg	100
110.13	1.854	1854.4	generate	Run1	generate/STIM_004.jpg	100
115.269	1.132	1132.1	generate	Run1	generate/STIM_004.jpg	100
119.14	1.826	1826.2	generate	Run1	generate/STIM_004.jpg	99
125.153	1.161	1160.7	generate	Run1	generate/STIM_005.jpg	99
129.282	2.034	2033.9	generate	Run1	generate/STIM_005.jpg	99
134.321	2.045	2045.4	generate	Run1	generate/STIM_005.jpg	99
139.016	1.838	1838.2	generate	Run1	generate/STIM_005.jpg	100
143.578	1.444	1443.8	generate	Run1	generate/STIM_005.jpg	100
148.753	1.104	1104.1	generate	Run1	generate/STIM_006.jpg	100
153.543	2.085	2085.1	generate	Run1	generate/STIM_006.jpg	99
159.884	1.254	1254.1	generate	Run1	generate/STIM_006.jpg	99
165.343	1.013	1013.3	generate	Run1	generate/STIM_006.jpg	100
169.928	1.344	1343.9	generate	Run1	generate/STIM_006.jpg	100
173.693	1.31	1310.2	generate	Run1	generate/STIM_007.jpg	99
178.945	1.783	1782.6	generate	Run1	generate/STIM_007.jpg	100
184.619	1.59	1590.0	generate	Run1	generate/STIM_007.jpg	99
189.544	2.02	2019.7	generate	Run1	generate/STIM_007.jpg	99
194.24	0.955	955.4	generate	Run1	generate/STIM_007.jpg	100
198.695	1.63	1630.1	generate	Run1	generate/STIM_008.jpg	100
203.176	1.055	1055.2	generate	Run1	generate/STIM_008.jpg	100
207.152	1.862	1861.5	generate	Run1	generate/STIM_008.jpg	99
211.945	1.833	1833.1	generate	Run1	generate/STIM_008.jpg	100
216.174	1.723	1723.3	generate	Run1	generate/STIM_008.jpg	99
220.53	2.53	2530.5	generate	Run1	generate/STIM_009.jpg	99
227.053	1.195	1194.7	generate	Run1	generate/STIM_009.jpg	99
231.062	2.036	2036.0	generate	Run1	generate/STIM_009.jpg	100
235.588	2.009	2009.3	generate	Run1	generate/STIM_009.jpg	99
241.199	1.975	1975.1	generate	Run1	generate/STIM_009.jpg	99
245.525	1.065	1065.4	generate	Run1	generate/STIM_010.jpg	99
250.544	1.005	1004.7	generate	Run1	generate/STIM_010.jpg	99
253.907	1.294	1293.9	generate	Run1	generate/STIM_010.jpg	100
259.208	0.977	976.7	generate	Run1	generate/STIM_010.jpg	99
264.071	1.495	1494.9	generate	Run1	generate/STIM_010.jpg	100
269.016	2.31	2309.5	generate	Run1	generate/STIM_011.jpg	100
274.092	2.194	2194.0	generate	Run1	generate/STIM_011.jpg	100
279.001	1.49	1489.7	generate	Run1	generate/STIM_011.jpg	100
283.931	1.732	1732.1	generate	Run1	generate/STIM_011.jpg	99
289.211	1.653	1653.3	generate	Run1	generate/STIM_011.jpg	99
294.849	1.266	1266.5	generate	Run1	generate/STIM_012.jpg	100
298.682	1.714	1714.2	generate	Run1	generate/STIM_012.jpg	100
303.825	1.402	1401.5	generate	Run1	generate/STIM_012.jpg	99
309.195	2.175	2175.1	generate	Run1	generate/STIM_012.jpg	100
314.558	1.476	1476.3	generate	Run1	generate/STIM_012.jpg	99
318.339	1.771	1771.0	generate	Run1	generate/STIM_013.jpg	99
323.787	2.414	2414.4	generate	Run1	generate/STIM_013.jpg	100
330.159	1.959	1958.8	generate	Run1	generate/STIM_013.jpg	100
334.789	1.26	1259.6	generate	Run1	generate/STIM_013.jpg	99
338.495	0.942	942.2	generate	Run1	generate/STIM_013.jpg	99
