onset	duration	accuracy	trial_type	learning_stage	stimulus
0.0	1.45	correct	generate	Run1	generate/STIM_000.jpg
4.539	1.954	incorrect	generate	Run1	generate/STIM_000.jpg
10.156	2.385	correct	generate	Run1	generate/STIM_000.jpg
14.95	2.12	correct	generate	Run1	generate/STIM_000.jpg
20.208	1.225	correct	generate	Run1	generate/STIM_000.jpg
25.454	2.066	correct	generate	Run1	generate/STIM_001.jpg
31.41	2.534	incorrect	generate	Run1	generate/STIM_001.jpg
36.836	1.722	correct	generate	Run1	generate/STIM_001.jpg
42.472	1.852	correct	generate	Run1	generate/STIM_001.jpg
48.445	1.082	correct	generate	Run1	generate/STIM_001.jpg
53.516	1.249	correct	generate	Run1	generate/STIM_002.jpg
57.604	2.095	correct	generate	Run1	generate/STIM_002.jpg
63.157	1.127	correct	generate	Run1	generate/STIM_002.jpg
67.206	1.084	correct	generate	Run1	generate/STIM_002.jpg
70.904	1.076	correct	generate	Run1	generate/STIM_002.jpg
75.645	1.647	correct	generate	Run1	generate/STIM_003.jpg
81.403	1.618	incorrect	generate	Run1	generate/STIM_003.jpg
85.914	1.069	correct	generate	Run1	generate/STIM_003.jpg
90.888	1.545	incorrect	generate	Run1	generate/STIM_003.jpg
95.827	1.32	correct	generate	Run1	generate/STIM_003.jpg
100.763	1.534	correct	generate	Run1	generate/STIM_004.jpg
105.987	1.624	correct	generate	Run1	generate/STIM_004.jpg
110.54	2.422	correct	generate	Run1	generate/STIM_004.jpg
117.025	1.545	incorrect	generate	Run1	generate/STIM_004.jpg
121.583	1.839	correct	generate	Run1	generate/STIM_004.jpg
126.762	2.586	correct	generate	Run1	generate/STIM_005.jpg
132.762	1.415	incorrect	generate	Run1	generate/STIM_005.jpg
136.443	2.278	correct	generate	Run1	generate/STIM_005.jpg
141.841	2.192	incorrect	generate	Run1	generate/STIM_005.jpg
146.56	1.714	correct	generate	Run1	generate/STIM_005.jpg
151.821	2.136	correct	generate	Run1	generate/STIM_006.jpg
156.353	2.182	correct	generate	Run1	generate/STIM_006.jpg
162.175	1.802	incorrect	generate	Run1	generate/STIM_006.jpg
167.302	2.084	correct	generate	Run1	generate/STIM_006.jpg
171.738	2.099	correct	generate	Run1	generate/STIM_006.jpg
176.364	2.443	incorrect	generate	Run1	generate/STIM_007.jpg
182.055	1.949	incorrect	generate	Run1	generate/STIM_007.jpg
186.317	2.018	correct	generate	Run1	generate/STIM_007.jpg
191.965	1.647	incorrect	generate	Run1	generate/STIM_007.jpg
196.894	2.09	correct	generate	Run1	generate/STIM_007.jpg
201.611	2.627	correct	generate	Run1	generate/STIM_008.jpg
207.315	1.115	correct	generate	Run1	generate/STIM_008.jpg
211.264	2.169	incorrect	generate	Run1	generate/STIM_008.jpg
217.435	2.258	correct	generate	Run1	generate/STIM_008.jpg
222.283	1.798	incorrect	generate	Run1	generate/STIM_008.jpg
227.744	1.29	correct	generate	Run1	generate/STIM_009.jpg
231.749	1.302	incorrect	generate	Run1	generate/STIM_009.jpg
235.848	1.97	correct	generate	Run1	generate/STIM_009.jpg
240.872	1.702	incorrect	generate	Run1	generate/STIM_009.jpg
244.899	1.828	correct	generate	Run1	generate/STIM_009.jpg
250.249	1.54	correct	generate	Run1	generate/STIM_010.jpg
254.251	1.999	incorrect	generate	Run1	generate/STIM_010.jpg
259.934	2.017	correct	generate	Run1	generate/STIM_010.jpg
264.644	1.29	correct	generate	Run1	generate/STIM_010.jpg
268.779	1.904	correct	generate	Run1	generate/STIM_010.jpg
274.305	1.694	correct	generate	Run1	generate/STIM_011.jpg
280.039	2.406	correct	generate	Run1	generate/STIM_011.jpg
286.517	2.205	correct	generate	Run1	generate/STIM_011.jpg
292.811	2.367	correct	generate	Run1	generate/STIM_011.jpg
298.621	0.94	correct	generate	Run1	generate/STIM_011.jpg
303.008	1.607	correct	generate	Run1	generate/STIM_012.jpg
308.016	2.393	correct	generate	Run1	generate/STIM_012.jpg
313.796	1.257	correct	generate	Run1	generate/STIM_012.jpg
317.527	1.78	correct	generate	Run1	generate/STIM_012.jpg
321.627	1.543	correct	generate	Run1	generate/STIM_012.jpg
326.273	1.757	correct	generate	Run1	generate/STIM_013.jpg
331.595	1.95	correct	generate	Run1	generate/STIM_013.jpg
335.866	1.85	incorrect	generate	Run1	generate/STIM_013.jpg
340.547	1.679	correct	generate	Run1	generate/STIM_013.jpg
346.308	0.9	correct	generate	Run1	generate/STIM_013.jpg
351.159	1.942	correct	generate	Run1	generate/STIM_014.jpg
356.803	1.151	correct	generate	Run1	generate/STIM_014.jpg
361.868	2.073	correct	generate	Run1	generate/STIM_014.jpg
367.946	2.304	correct	generate	Run1	generate/STIM_014.jpg
373.997	1.438	incorrect	generate	Run1	generate/STIM_014.jpg
378.437	1.32	correct	generate	Run1	generate/STIM_015.jpg
382.283	2.58	correct	generate	Run1	generate/STIM_015.jpg
387.536	1.48	correct	generate	Run1	generate/STIM_015.jpg
392.608	1.586	correct	generate	Run1	generate/STIM_015.jpg
397.176	1.428	correct	generate	Run1	generate/STIM_015.jpg
401.548	2.013	incorrect	generate	Run1	generate/STIM_016.jpg
406.975	1.544	correct	generate	Run1	generate/STIM_016.jpg
411.414	1.922	incorrect	generate	Run1	generate/STIM_016.jpg
415.636	2.333	correct	generate	Run1	generate/STIM_016.jpg
421.686	1.056	correct	generate	Run1	generate/STIM_016.jpg
426.305	2.716	correct	generate	Run1	generate/STIM_017.jpg
431.63	1.21	incorrect	generate	Run1	generate/STIM_017.jpg
436.715	2.219	incorrect	generate	Run1	generate/STIM_017.jpg
442.592	1.661	correct	generate	Run1	generate/STIM_017.jpg
448.188	0.918	correct	generate	Run1	generate/STIM_017.jpg
452.591	1.162	incorrect	generate	Run1	generate/STIM_018.jpg
457.723	1.116	incorrect	generate	Run1	generate/STIM_018.jpg
462.854	2.256	correct	generate	Run1	generate/STIM_018.jpg
467.838	1.826	correct	generate	Run1	generate/STIM_018.jpg
472.329	0.953	correct	generate	Run1	generate/STIM_018.jpg
476.756	2.175	correct	generate	Run1	generate/STIM_019.jpg
481.934	2.554	correct	generate	Run1	generate/STIM_019.jpg
488.126	1.992	correct	generate	Run1	generate/STIM_019.jpg
492.905	1.808	incorrect	generate	Run1	generate/STIM_019.jpg
498.671	2.189	correct	generate	Run1	generate/STIM_019.jpg
504.09	2.398	incorrect	generate	Run1	generate/STIM_020.jpg
510.393	1.818	correct	generate	Run1	generate/STIM_020.jpg
516.204	1.949	correct	generate	Run1	generate/STIM_020.jpg
520.738	1.882	correct	generate	Run1	generate/STIM_020.jpg
526.305	1.952	correct	generate	Run1	generate/STIM_020.jpg
531.813	2.757	incorrect	generate	Run1	generate/STIM_021.jpg
538.151	1.246	correct	generate	Run1	generate/STIM_021.jpg
542.814	1.527	correct	generate	Run1	generate/STIM_021.jpg
547.376	1.611	correct	generate	Run1	generate/STIM_021.jpg
551.707	1.017	incorrect	generate	Run1	generate/STIM_021.jpg
555.508	1.383	correct	generate	Run1	generate/STIM_022.jpg
560.174	2.54	correct	generate	Run1	generate/STIM_022.jpg
564.962	1.94	correct	generate	Run1	generate/STIM_022.jpg
569.851	1.184	incorrect	generate	Run1	generate/STIM_022.jpg
574.005	1.577	incorrect	generate	Run1	generate/STIM_022.jpg
578.398	1.263	correct	generate	Run1	generate/STIM_023.jpg
582.415	1.987	correct	generate	Run1	generate/STIM_023.jpg
588.144	1.873	correct	generate	Run1	generate/STIM_023.jpg
594.069	1.119	correct	generate	Run1	generate/STIM_023.jpg
597.624	1.9	incorrect	generate	Run1	generate/STIM_023.jpg
603.566	2.286	correct	generate	Run1	generate/STIM_024.jpg
609.949	1.185	correct	generate	Run1	generate/STIM_024.jpg
