participant_id	sex	age
sub-001	female	27.2
n/a	n/a	n/a
sub-003	male	19.5
sub-004	female	28.3
sub-005	male	23.6
sub-006	male	28.5
sub-007	male	23.6
sub-008	female	25.9
sub-009	female	28.4
sub-010	male	18.0
sub-011	female	25.9
sub-012	female	25.7
sub-013	female	18.0
sub-014	female	35.4
sub-015	female	34.8
n/a	n/a	n/a
sub-017	male	28.0
n/a	n/a	n/a
sub-019	male	23.0
sub-020	male	24.8
sub-021	female	32.4
n/a	n/a	n/a
sub-023	female	31.1
sub-024	female	25.9
sub-025	female	30.8
sub-026	non binary	20.4
sub-027	female	36.8
sub-028	female	25.8
sub-029	female	37.9
sub-030	female	21.9
sub-031	female	31.0
sub-032	female	34.0
sub-033	male	36.9
sub-034	female	26.3
sub-035	female	26.9
sub-036	female	18.0
sub-037	female	22.6
n/a	n/a	n/a
sub-039	female	21.2
sub-040	female	25.4
sub-041	male	43.5
sub-042	non binary	32.4
sub-043	female	23.2
sub-044	non binary	24.0
sub-045	female	18.1
sub-046	female	31.1
sub-047	male	32.1
sub-048	female	27.9
n/a	n/a	n/a
sub-050	female	28.5
sub-051	male	24.7
sub-052	male	23.2
sub-053	non binary	27.2
sub-054	male	26.8
sub-055	female	28.5
